N	3gram	Vygotskiy__5	Dialekti
1	это значит что	4	21
2	с точки зрения	9	14
3	тем не менее	1	10
4	не только не	3	7
5	что иное как	1	6
6	не может быть	3	6
7	не что иное	1	6
8	в самом деле	2	5
9	сам по себе	1	5
10	само по себе	2	5
11	о том что	4	5
12	подобно тому как	4	4
13	значит что он	2	4
14	на первый план	1	4
15	то время как	4	4
16	в то время	4	4
17	сама по себе	4	4
18	не есть просто	1	4
19	того что он	1	3
20	с одной стороны	3	3
21	в том что	11	3
22	есть не что	1	3
23	ни в каком	1	3
24	не есть нечто	1	3
25	ничего не говорит	1	3
26	одному тому что	1	2
27	в силу этого	1	2
28	по одному тому	1	2
29	тем что оно	1	2
30	это было бы	1	2
31	того или иного	1	2
32	из того что	4	2
33	в одинаковой мере	2	2
34	с этой точки	4	2
35	тем более не	1	2
36	в зависимости от	2	2
37	одно и то	1	2
38	так же как	7	2
39	есть в сущности	1	2
40	уже по одному	4	2
41	и то же	1	2
42	не могут быть	1	2
43	с другой стороны	2	2
44	что это не	1	2
45	во всяком случае	1	2
46	этой точки зрения	4	2
47	мы не можем	1	2
48	той или иной	1	2
49	в вопросе о	1	2
50	к тому что	1	2
51	таким образом что	2	1
52	том что в	2	1
53	на ту же	1	1
54	такой же мере	3	1
55	а потому что	2	1
56	это даже не	1	1
57	потому что в	2	1
58	только сказать что	1	1
59	и что только	1	1
60	и во всяком	1	1
61	и той же	1	1
62	имеем в виду	1	1
63	на самом деле	1	1
64	во всем ее	1	1
65	самом деле если	1	1
66	так что в	2	1
67	то же самое	4	1
68	не менее эта	1	1
69	одной стороны и	1	1
70	то что с	1	1
71	же как и	1	1
72	то что является	1	1
73	если так то	1	1
74	до сих пор	3	1
75	и не может	2	1
76	в лучшем случае	3	1
77	отношении не может	1	1
78	необходимо должно быть	2	1
79	на котором она	1	1
80	что она существует	1	1
81	в этом отношении	5	1
82	как это часто	1	1
83	и что можно	1	1
84	время как для	1	1
85	есть одно и	1	1
86	то как я	2	1
87	никто никогда не	1	1
88	что он должен	1	1
89	это и значит	1	1
90	понятий без которых	1	1
91	и в частности	2	1
92	знания не имеет	1	1
93	в применении к	1	1
94	и что в	1	1
95	он не в	1	1
96	в такой же	3	1
97	ни на что	1	1
98	эта точка зрения	2	1
99	мы никогда не	1	1
100	исходит из того	1	1
101	может идти не	1	1
102	только что существует	1	1
103	не знает ни	1	1
104	имели в виду	1	1
105	я не могу	1	1
106	так же невозможно	1	1
107	и таким образом	1	1
108	не менее чем	1	1
109	более или менее	1	1
110	что в сущности	1	1
111	спрашивается что же	1	1
112	от того что	2	1
113	том смысле что	1	1
114	как это и	1	1
115	заключается именно в	1	1
116	и никогда не	1	1
117	же в природе	1	1
118	в этом заключается	1	1
119	ничто не может	1	1
120	мы имеем в	1	1
121	и что оно	1	1
122	уже сама по	1	1
123	и здесь в	1	1
124	в то же	1	1
125	в связи с	1	1
126	несмотря на свою	1	1
127	факта что все	1	1
128	в том смысле	1	1
129	одной и той	1	1
130	показывает что в	1	1
131	тех или иных	1	1
132	мы до сих	1	1
133	и вопрос о	1	1
