N	3gram	Trubetskoy_1	Vladivir
1	в том что	3	9
2	в связи с	3	8
3	во всяком случае	6	6
4	в то время	1	6
5	тем не менее	3	6
6	по крайней мере	5	4
7	более или менее	5	3
8	с точки зрения	6	3
9	в отличие от	1	3
10	в то же	2	3
11	точно так же	3	3
12	не в том	1	3
13	на этот раз	1	3
14	в конце концов	3	3
15	так или иначе	3	3
16	то что он	2	3
17	у него в	1	3
18	то же время	2	3
19	о том что	4	3
20	сказать что в	1	2
21	на то что	2	2
22	в настоящее время	1	2
23	в данном случае	1	2
24	все существующее в	1	2
25	или по крайней	1	2
26	в свою очередь	1	2
27	не имеет никакого	1	2
28	а в том	1	2
29	ввиду того что	1	2
30	несмотря на все	1	2
31	после того как	1	2
32	и все же	1	2
33	не может не	1	1
34	что в этом	1	1
35	и прежде чем	1	1
36	ни к чему	1	1
37	потому что в	1	1
38	чуть ли не	1	1
39	том как бы	1	1
40	в том числе	5	1
41	крайней мере в	1	1
42	с представлением о	1	1
43	до сих пор	5	1
44	и в то	1	1
45	бы то ни	2	1
46	только то что	1	1
47	в этом отношении	2	1
48	точки зрения того	1	1
49	вместе с тем	8	1
50	может быть и	2	1
51	до известной степени	1	1
52	о его существовании	1	1
53	но в то	1	1
54	крайней мере до	1	1
55	что начиная с	1	1
56	но в общем	1	1
57	не только как	1	1
58	но вместе с	2	1
59	в первую очередь	1	1
60	из них не	1	1
61	не может быть	1	1
62	которой не было	1	1
63	ничего общего с	2	1
64	сих пор не	1	1
65	и если некоторые	1	1
66	но тем не	1	1
67	к чему не	1	1
68	что в этой	1	1
69	данном случае мы	1	1
70	человеку если он	1	1
71	с самого начала	2	1
72	в самом деле	1	1
73	ему в этом	1	1
74	но все же	4	1
75	можно сказать что	2	1
76	с тем и	2	1
77	только тогда когда	1	1
78	и к концу	1	1
79	самом деле если	1	1
80	в этот период	1	1
81	для того чтобы	5	1
82	может быть в	1	1
83	к тому же	4	1
84	том что духовная	1	1
85	не исключая и	1	1
