N	2gram	Bakhtin_KF_1	Tvorches
1	и в	24	20
2	не только	5	13
3	никогда не	5	11
4	как бы	9	11
5	в то	3	10
6	в его	40	10
7	и его	17	9
8	же с	1	9
9	и не	26	9
10	при этом	4	8
11	и с	1	8
12	в том	6	8
13	может быть	45	8
14	в этом	14	8
15	прежде всего	2	8
16	но и	9	8
17	то же	5	7
18	это не	10	7
19	же время	2	7
20	потому что	2	7
21	не может	27	7
22	что в	4	7
23	в целом	10	6
24	как и	5	6
25	в своей	10	6
26	что он	2	6
27	так и	2	6
28	именно в	5	6
29	а не	17	6
30	все это	10	6
31	еще не	4	5
32	и на	3	5
33	но не	12	5
34	все же	5	5
35	в этой	2	5
36	если он	1	5
37	в мире	6	5
38	то есть	1	5
39	о том	3	5
40	и даже	1	5
41	но это	6	5
42	мы не	3	4
43	все эти	10	4
44	отнюдь не	6	4
45	как в	2	4
46	хотя и	1	4
47	когда он	1	4
48	но в	5	4
49	за собой	1	4
50	не в	12	4
51	на его	1	4
52	что она	1	4
53	в принципе	2	4
54	об этом	1	4
55	соответствии с	2	4
56	если бы	8	4
57	тем самым	4	4
58	первая часть	1	4
59	ничего не	3	4
60	в духе	1	4
61	в чем	4	4
62	мы видим	1	4
63	в душе	1	4
64	а в	4	4
65	в соответствии	2	4
66	если не	2	4
67	и потому	2	4
68	и от	1	4
69	том что	4	4
70	а с	2	3
71	по отношению	26	3
72	отношению к	22	3
73	в себе	21	3
74	в нем	28	3
75	он не	6	3
76	а затем	1	3
77	его в	5	3
78	и мы	2	3
79	но уже	1	3
80	в самом	1	3
81	в котором	24	3
82	в их	8	3
83	место в	5	3
84	тем что	3	3
85	одна из	1	3
86	и это	12	3
87	с ним	5	3
88	любви к	1	3
89	между тем	4	3
90	уже не	7	3
91	для него	8	3
92	так как	1	3
93	то что	7	3
94	и др	1	3
95	что не	3	3
96	превращается в	1	3
97	вместе с	1	3
98	нет ничего	1	3
99	один из	2	3
100	не является	1	3
101	жизни в	5	3
102	одной из	1	3
103	в своих	3	3
104	к этому	2	3
105	ни во	1	2
106	самом деле	3	2
107	и есть	9	2
108	проникает в	5	2
109	говорить о	2	2
110	этот факт	2	2
111	я не	6	2
112	и он	1	2
113	в ее	16	2
114	они имеют	1	2
115	нет и	3	2
116	в истории	1	2
117	и наконец	1	2
118	в этот	1	2
119	но эта	5	2
120	для которого	3	2
121	в которой	1	2
122	из жизни	1	2
123	бы не	3	2
124	но ведь	5	2
125	а скорее	1	2
126	едва ли	2	2
127	и по	1	2
128	том же	1	2
129	особенно в	1	2
130	к миру	1	2
131	что жить	1	2
132	которой он	2	2
133	такой же	1	2
134	что я	5	2
135	их в	1	2
136	влечет за	1	2
137	что этот	3	2
138	не менее	3	2
139	эта мысль	1	2
140	как о	1	2
141	я буду	3	2
142	в процессе	2	2
143	а во	1	2
144	целом и	3	2
145	могут быть	3	2
146	более не	1	2
147	же не	1	2
148	приводит к	1	2
149	только через	1	2
150	сводится к	2	2
151	познания и	4	2
152	не стоит	1	2
153	и только	6	2
154	всяком случае	1	2
155	в ту	2	2
156	в литературе	1	2
157	с ними	3	2
158	только в	16	2
159	в стороне	1	2
160	наше время	1	2
161	и ее	2	2
162	философии но	2	2
163	себя в	8	2
164	в виде	2	2
165	и других	2	2
166	его и	2	2
167	в одном	4	2
168	вовсе не	7	2
169	может служить	1	2
170	друг друга	1	2
171	только с	3	2
172	другом в	1	2
173	этой задачи	1	2
174	рядом с	3	2
175	с другим	1	2
176	не было	8	2
177	зависит от	1	2
178	в первой	1	2
179	него в	1	2
180	но прежде	1	2
181	только для	1	2
182	это уже	2	2
183	в основе	5	2
184	ни к	2	2
185	связь с	1	2
186	было показано	1	2
187	отказаться от	2	2
188	включает в	2	2
189	но эти	1	2
190	а я	1	2
191	в искусстве	1	2
192	во всяком	1	2
193	ту же	1	1
194	можно говорить	1	1
195	как его	4	1
196	не остается	2	1
197	бытия а	3	1
198	и должно	1	1
199	это и	2	1
200	ты и	1	1
201	мы говорим	1	1
202	в первом	1	1
203	поэтому он	1	1
204	из его	3	1
205	видеть в	1	1
206	действительности и	1	1
207	и за	2	1
208	хотя эта	1	1
209	мы уже	1	1
210	той же	1	1
211	из всех	1	1
212	со всех	1	1
213	и тут	1	1
214	не делает	1	1
215	что уже	1	1
216	и абсолютная	1	1
217	не была	1	1
218	оба эти	2	1
219	но такое	1	1
220	эстетики и	1	1
221	как я	1	1
222	движении в	1	1
223	себя из	1	1
224	всех сторон	1	1
225	свою очередь	1	1
226	быть в	4	1
227	не был	1	1
228	с его	1	1
229	во всех	11	1
230	связи между	1	1
231	этих миров	1	1
232	но как	5	1
233	а только	1	1
234	к которой	2	1
235	и всякий	1	1
236	сознания не	2	1
237	менее всего	6	1
238	него с	1	1
239	в жизни	2	1
240	отношение к	5	1
241	или иное	2	1
242	стал бы	2	1
243	с этим	1	1
244	и как	2	1
245	я должен	7	1
246	а мои	1	1
247	не являются	1	1
