N	2gram	Bakhtin_Pr_2	Hudozhes
1	и в	43	28
2	в рассказе	3	21
3	том что	2	19
4	и не	29	18
5	в ее	1	18
6	в том	6	15
7	а не	7	14
8	не в	11	13
9	в этом	13	13
10	о том	5	12
11	как и	14	11
12	в его	10	11
13	при этом	6	11
14	не только	11	11
15	перед нами	7	11
16	уже не	3	10
17	не случайно	1	10
18	в себе	5	9
19	но и	14	9
20	так и	3	8
21	в жизни	3	8
22	между тем	3	8
23	о чем	1	8
24	себя в	3	8
25	может быть	23	8
26	что он	13	8
27	отношению к	5	7
28	и все	6	7
29	с ним	3	7
30	как это	1	7
31	об этом	2	7
32	к тому	4	7
33	по отношению	5	7
34	в мире	1	7
35	я не	4	7
36	что она	1	7
37	и с	5	6
38	можно сказать	1	6
39	жизни и	1	6
40	для себя	2	6
41	в котором	6	6
42	не было	1	6
43	я и	2	6
44	в своей	4	6
45	а в	5	6
46	это не	3	6
47	то что	7	6
48	в то	7	6
49	тем что	3	6
50	то же	8	6
51	если бы	3	6
52	не могла	1	5
53	не менее	3	5
54	рядом с	5	5
55	что это	2	5
56	и другие	1	5
57	у него	6	5
58	что в	4	5
59	для него	8	5
60	к чужой	1	5
61	с ее	1	5
62	в своем	4	5
63	и его	8	5
64	да и	5	5
65	она не	3	5
66	ничего не	3	5
67	его жизни	2	5
68	в этой	1	5
69	в самом	7	5
70	с его	4	5
71	и сам	7	5
72	никогда не	9	5
73	как в	2	5
74	только на	3	5
75	как бы	22	5
76	вот он	1	4
77	говорит о	1	4
78	не может	18	4
79	как раз	4	4
80	рассказа в	3	4
81	то и	2	4
82	того чтобы	1	4
83	а между	2	4
84	в художественном	3	4
85	бы и	2	4
86	то в	1	4
87	но не	5	4
88	же время	5	4
89	превращается в	2	4
90	и сама	1	4
91	и т	13	4
92	в других	1	4
93	в качестве	1	4
94	своей жизни	2	4
95	и о	2	4
96	тем не	2	4
97	только в	4	4
98	что и	3	4
99	и уже	1	4
100	как будто	1	4
101	человека в	4	4
102	он не	9	4
103	со своим	1	3
104	в них	4	3
105	для нас	2	3
106	еще не	9	3
107	есть и	3	3
108	с нею	1	3
109	или в	8	3
110	одной из	1	3
111	так же	2	3
112	прежде всего	10	3
113	и ее	3	3
114	но при	3	3
115	в ответ	1	3
116	к нему	5	3
117	бы не	2	3
118	с другими	1	3
119	что на	2	3
120	в нем	12	3
121	и он	5	3
122	в одном	12	3
123	с одной	1	3
124	все его	2	3
125	не могу	2	3
126	раз в	1	3
127	в этих	6	3
128	на него	3	3
129	к чужому	7	3
130	к себе	7	3
131	героя и	5	3
132	мы с	2	3
133	все время	1	3
134	человека и	2	3
135	своего я	1	3
136	что у	2	3
137	что было	2	3
138	как он	2	3
139	на себя	2	3
140	человек в	1	3
141	что все	1	3
142	по поводу	1	3
143	с ними	2	3
144	одной стороны	1	3
145	была бы	2	3
146	мы уже	3	3
147	и тех	1	3
148	перед глазами	1	3
149	чтобы не	2	3
150	и на	10	3
151	о них	1	3
152	в человеке	3	3
153	в это	1	3
154	несмотря на	1	3
155	о себе	7	3
156	с другой	4	3
157	все они	1	3
158	все это	5	3
159	самом деле	5	3
160	среди других	2	3
161	было бы	5	3
162	и это	4	3
163	на фоне	5	3
164	а с	2	3
165	можно было	3	3
166	же самое	1	3
167	все что	1	3
168	с женой	1	2
169	произведения не	1	2
170	о которых	1	2
171	который и	1	2
172	ибо в	1	2
173	а вот	2	2
174	приводит к	6	2
175	без другого	1	2
176	все же	3	2
177	в последней	1	2
178	в другом	7	2
179	точки зрения	13	2
180	в двух	1	2
181	ни одного	4	2
182	и для	3	2
183	о его	1	2
184	т д	4	2
185	как на	1	2
186	одно это	1	2
187	обращенной к	1	2
188	здесь не	6	2
189	т п	9	2
190	любви к	1	2
191	она может	1	2
192	себя с	1	2
193	вовсе не	5	2
194	в виде	3	2
195	он знает	1	2
196	т е	26	2
197	с самим	8	2
