N	3gram	Nazirov_Tv_1	Komedia
1	до сих пор	1	9
2	в том что	6	9
3	в свою очередь	1	6
4	в то же	13	4
5	о том что	5	4
6	то же время	12	4
7	с самого начала	3	4
8	к тому же	1	4
9	по отношению к	1	3
10	и т п	2	3
11	вместе с тем	1	3
12	в связи с	1	3
13	и в самом	1	3
14	с одной стороны	1	3
15	тем не менее	2	3
16	то же самое	1	3
17	хотя и не	1	2
18	что он не	1	2
19	бы то ни	1	2
20	в этой связи	2	2
21	то ни было	1	2
22	в конце концов	1	2
23	с другой стороны	1	2
24	в конечном счете	4	2
25	в чем он	1	1
26	все тот же	1	1
27	чуть ли не	1	1
28	и как раз	1	1
29	равно как и	1	1
30	имеем в виду	1	1
31	приходит к мысли	1	1
32	в соответствии с	3	1
33	отношении к ней	1	1
34	и в то	2	1
35	в отличие от	1	1
36	в первую очередь	1	1
37	к человеку и	1	1
38	свою вину и	1	1
39	за то что	1	1
40	по крайней мере	2	1
41	и в герое	1	1
42	и далеко не	1	1
43	до того в	1	1
44	в ужас от	1	1
45	приходит в ужас	1	1
46	в настоящее время	1	1
47	таким образом и	1	1
48	но при этом	1	1
49	само собой разумеющимся	1	1
50	в этот момент	1	1
51	в моей жизни	1	1
52	и в свою	1	1
53	можно сказать что	2	1
54	что у него	1	1
55	мы находим у	1	1
56	мы имеем в	1	1
57	к тому что	1	1
58	в отношении к	1	1
59	человека и его	2	1
60	в том же	1	1
61	и т д	1	1
