N	2gram	Medvedev_B_1	Analitik
1	не только	1	22
2	и в	1	18
3	так и	1	14
4	и не	2	12
5	что в	1	9
6	а не	1	9
7	с другой	1	7
8	еще не	1	6
9	прежде всего	1	5
10	другой стороны	1	5
11	и на	1	4
12	отнюдь не	1	4
13	таким образом	1	4
14	в пределах	1	4
15	крайней мере	1	4
16	далеко не	1	4
17	по крайней	1	4
18	в данном	1	4
19	все же	1	4
20	его не	1	3
21	говорить о	1	3
22	литературных произведений	2	3
23	все это	2	3
24	было бы	1	3
25	не было	1	3
26	в ней	2	2
27	видеть в	2	2
28	значительной степени	1	2
29	представляется нам	1	2
30	об этом	1	2
31	в значительной	1	2
32	и ее	1	2
33	всяком случае	1	2
34	и потому	1	2
35	совершенно не	1	2
36	во всяком	1	2
37	также что	1	1
38	на самом	1	1
39	вопрос о	1	1
40	никак не	1	1
41	не все	1	1
42	ведет по	1	1
43	за пределы	1	1
44	произведений является	1	1
45	не следует	1	1
46	имеющихся в	1	1
47	в своей	1	1
48	более что	1	1
49	как будто	1	1
50	у нас	3	1
51	и о	1	1
52	тем более	1	1
53	одной из	1	1
54	не о	1	1
55	было и	1	1
56	по нашему	1	1
57	забывать что	1	1
58	в книге	1	1
59	об исторических	1	1
60	будто бы	1	1
61	а о	1	1
62	между ними	1	1
