N	3gram	Tiupa_Narr_1	Marksizm
1	с точки зрения	1	20
2	не может быть	4	13
3	в самом деле	2	9
4	и не может	1	9
5	до сих пор	2	8
6	бы то ни	1	8
7	то ни было	1	8
8	в связи с	2	7
9	и того же	1	5
10	одного и того	1	5
11	в отличие от	2	5
12	языка как системы	1	5
13	с другой стороны	1	5
14	то же самое	2	3
15	в этом отношении	3	3
16	может быть и	1	3
17	и тот же	1	3
18	один и тот	1	3
19	то же время	4	3
20	в первом случае	3	3
21	и т.п в	1	3
22	связи с этим	1	3
23	но все же	1	3
24	можно сказать что	2	3
25	в то же	4	3
26	для того чтобы	3	3
27	в том что	5	3
28	же как и	1	2
29	но при этом	1	2
30	в том числе	1	2
31	с установкой на	2	2
32	как и все	1	2
33	людей так и	1	2
34	том числе и	1	2
35	как если бы	2	2
36	во всяком случае	2	2
37	по отношению к	3	2
38	в свою очередь	2	2
39	тем не менее	3	2
40	первого лица в	1	1
41	место лишь в	1	1
42	результате чего в	1	1
43	большей или меньшей	1	1
44	но именно это	1	1
45	подобно тому как	3	1
46	как она есть	1	1
47	во внутренний мир	1	1
48	и иных форм	1	1
49	опоры в действительности	1	1
50	между историей и	1	1
51	до известной степени	1	1
52	сами по себе	2	1
53	совершается переход от	1	1
54	но и в	2	1
55	не видим и	1	1
56	чем иным как	2	1
57	к жизни и	1	1
58	в предыдущей главе	1	1
59	в значительной степени	1	1
60	в нашем случае	1	1
61	с одной стороны	1	1
62	не существует ни	1	1
63	в результате чего	1	1
64	во втором случае	1	1
65	связаны между собой	1	1
66	и как бы	1	1
67	в большей или	1	1
68	мы не видим	1	1
69	какой бы то	1	1
70	в следующей главе	1	1
71	как мы увидим	1	1
72	не утрачивая своей	1	1
73	и та же	1	1
74	одна и та	1	1
75	а не в	1	1
76	хотя они и	1	1
77	мы уже знаем	1	1
78	более или менее	1	1
79	одного из этих	1	1
80	его жизни и	1	1
81	само по себе	1	1
82	что и для	1	1
83	и в самом	1	1
84	и мышления в	1	1
85	во времени и	6	1
86	не только в	6	1
87	друг от друга	1	1
88	к тому что	1	1
89	на самом деле	1	1
90	видим и не	1	1
91	друг с другом	1	1
92	друг для друга	2	1
93	как мы видели	1	1
94	той или иной	4	1
