N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	46
2	в том	9	32
3	и в	14	30
4	может быть	5	28
5	то же	9	23
6	не только	17	21
7	только в	7	21
8	для нас	2	20
9	но и	6	19
10	того что	2	18
11	том что	4	18
12	то что	4	18
13	не есть	1	17
14	что в	4	17
15	в себе	3	16
16	по себе	4	16
17	и не	12	15
18	не в	5	15
19	а не	2	15
20	что и	1	13
21	если бы	4	12
22	вместе с	1	12
23	а в	4	12
24	что оно	1	11
25	в этом	10	10
26	в душе	1	10
27	как и	1	10
28	в то	7	10
29	и что	1	10
30	мы не	3	9
31	из этих	1	9
32	в нем	3	9
33	было бы	6	9
34	тогда когда	1	9
35	между тем	3	9
36	и то	1	8
37	в ней	6	8
38	в самом	1	8
39	что не	1	8
40	что мы	3	8
41	только что	1	8
42	есть не	2	7
43	с одной	3	7
44	но не	3	7
45	с тем	3	7
46	и без	3	7
47	тем самым	3	7
48	с другой	5	7
49	например в	2	6
50	с этим	2	6
51	не имеет	1	6
52	и теперь	1	6
53	те же	1	6
54	из них	2	6
55	не может	4	6
56	и т	3	5
57	еще не	1	5
58	в своем	4	5
59	и как	3	5
60	есть для	1	5
61	думать что	2	5
62	заключает в	2	5
63	одно и	1	5
64	и тем	2	5
65	в них	2	5
66	же время	7	5
67	как на	2	5
68	в каком	1	5
69	не менее	2	5
70	мысль о	2	5
71	уже в	1	5
72	одно из	1	5
73	должно быть	2	5
74	только как	1	5
75	тем же	1	4
76	столь же	3	4
77	не все	1	4
78	что именно	1	4
79	не было	2	4
80	что это	1	4
81	не к	2	4
82	и по	1	4
83	и наоборот	1	4
84	и при	1	4
85	в котором	4	4
86	есть нечто	2	4
87	для того	3	4
88	и это	2	4
89	об отношении	1	4
90	в его	2	4
91	далеко не	1	4
92	не дается	1	4
93	и потому	4	4
94	все это	2	4
95	в смысле	6	4
96	тем более	2	4
97	мы должны	4	4
98	другой стороны	1	4
99	я и	3	3
100	и есть	2	3
101	говорить о	2	3
102	оно есть	1	3
103	бы ни	2	3
104	и на	1	3
105	более или	1	3
106	т д	1	3
107	в силу	2	3
108	в каждом	1	3
109	что все	1	3
110	его в	1	3
111	или менее	1	3
112	как бы	4	3
113	представить себе	1	3
114	место в	1	3
115	что при	1	3
