N	2gram	Vinokur_St_1	KFilosof
1	может быть	15	43
2	в его	9	39
3	в нем	5	31
4	не может	8	27
5	и не	16	26
6	по отношению	3	25
7	и в	44	22
8	в себе	2	21
9	в котором	5	21
10	отношению к	3	21
11	и его	8	17
12	в ее	4	17
13	а не	16	17
14	только в	10	16
15	в этом	21	13
16	точки зрения	11	13
17	и это	2	12
18	но не	3	12
19	ни в	3	12
20	для него	6	12
21	все эти	5	11
22	в своей	6	11
23	не в	12	11
24	к нему	2	11
25	во всех	8	10
26	в своем	2	10
27	это не	8	10
28	с точки	8	10
29	от себя	1	10
30	все это	5	10
31	и есть	1	9
32	в целом	5	9
33	но и	10	9
34	как бы	4	9
35	и для	3	9
36	и все	2	9
37	момент его	1	8
38	лишь в	3	8
39	было бы	17	8
40	если бы	9	8
41	со стороны	6	8
42	не было	4	8
43	жизни и	5	8
44	я должен	1	7
45	то что	18	7
46	должен быть	3	7
47	на основе	1	7
48	что и	6	7
49	себя в	1	7
50	конечно не	2	7
51	вовсе не	19	7
52	я не	7	6
53	отношение к	2	6
54	и я	3	6
55	он не	2	6
56	не значит	3	6
57	и только	3	6
58	совершенно не	5	6
59	уже не	1	6
60	и их	2	6
61	но это	6	6
62	в том	36	6
63	мы имеем	2	5
64	но как	1	5
65	все же	8	5
66	но в	10	5
67	не только	18	5
68	но ведь	8	5
69	то же	5	5
70	но все	4	5
71	его в	2	5
72	как и	9	5
73	что я	1	5
74	но эта	1	5
75	не имеет	4	5
76	никогда не	5	5
77	я действительно	1	5
78	для себя	3	5
79	ни одно	1	5
80	именно в	6	5
81	там где	5	5
82	в основе	3	5
83	хотя бы	6	5
84	не знает	2	5
85	быть в	2	4
86	в чем	3	4
87	при этом	2	4
88	время и	1	4
89	не как	1	4
90	бы быть	1	4
91	входит в	1	4
92	места в	2	4
93	место в	1	4
94	тем самым	2	4
95	к ним	1	4
96	не по	3	4
97	чем не	1	4
98	о нем	1	4
99	в каком	3	4
100	времени и	1	4
101	между тем	3	4
102	во всей	1	4
103	могло бы	2	4
104	нисколько не	2	4
105	в одном	1	4
106	том что	29	4
107	для нас	7	4
108	а в	17	4
109	что в	30	4
110	в своих	2	4
111	самом деле	11	3
112	на самом	6	3
113	из его	1	3
114	должна быть	3	3
115	и этот	1	3
116	мы не	2	3
117	что это	4	3
118	в ней	3	3
119	во мне	1	3
120	еще не	3	3
121	и на	1	3
122	не могу	1	3
123	нет и	1	3
124	и этим	1	3
125	бы и	4	3
126	бы не	2	3
127	всех этих	2	3
128	для того	10	3
129	в корне	1	3
130	в каждом	3	3
131	могла бы	1	3
132	в другом	3	3
133	этом смысле	1	3
134	не должно	1	3
135	что этот	2	3
136	не менее	5	3
137	тогда когда	1	3
138	меня не	2	3
139	я буду	1	3
140	на язык	1	3
141	ничего не	2	3
142	и делает	1	3
143	могут быть	5	3
