N	2gram	Nazirov_Tv_2	slovoVRo
1	в романе	15	46
2	и в	20	39
3	может быть	8	37
4	и т	13	35
5	и его	9	33
6	т п	2	33
7	то есть	5	26
8	не только	13	24
9	и не	9	22
10	но и	8	21
11	не может	7	20
12	в нем	3	19
13	в этом	8	16
14	все это	6	16
15	так и	6	15
16	а не	6	14
17	человек и	1	14
18	отличие от	2	13
19	как в	4	13
20	в процессе	2	13
21	в пределах	1	13
22	во всех	1	12
23	в отличие	2	12
24	в истории	2	11
25	художественного изображения	1	11
26	вовсе не	2	10
27	и с	8	9
28	не в	4	9
29	со своим	1	9
30	таким образом	10	8
31	себя в	2	8
32	прежде всего	8	8
33	еще не	5	7
34	с его	1	7
35	при этом	8	7
36	в этих	1	7
37	для него	3	7
38	с ним	3	7
39	никогда не	11	7
40	могут быть	2	7
41	как мы	1	7
42	в его	10	7
43	и даже	5	7
44	и потому	4	7
45	как бы	11	7
46	но не	5	6
47	все же	5	6
48	и к	1	6
49	но в	4	6
50	все эти	4	6
51	так сказать	2	6
52	в них	1	6
53	как и	6	6
54	она не	1	6
55	в большинстве	1	6
56	человек в	1	6
57	например в	5	5
58	героя и	2	5
59	в быту	2	5
60	человека в	3	5
61	это не	7	5
62	том что	4	5
63	по себе	1	5
64	мышления и	1	5
65	не могут	1	5
66	той или	1	5
67	с другой	2	5
68	романа в	1	5
69	один из	3	5
70	в том	8	5
71	с ними	2	5
72	с одной	1	5
73	уже не	3	5
74	и их	1	5
75	или иной	1	5
76	в плане	3	5
77	остается в	1	5
78	и для	1	5
79	только в	2	5
80	романа и	3	5
81	для нас	1	5
82	от него	1	5
83	и наконец	2	5
84	и на	5	4
85	по отношению	3	4
86	отношение к	1	4
87	сливается с	1	4
88	то же	7	4
89	слова не	1	4
90	художественный образ	1	4
91	его в	3	4
92	входит в	1	4
93	с другими	2	4
94	ни в	1	4
95	не менее	2	4
96	в то	10	4
97	одна из	3	4
98	в основе	2	4
99	же время	7	4
100	что оно	1	4
101	на образ	1	4
102	и других	2	4
103	так как	3	4
104	и др	3	4
105	на фоне	1	4
106	и мир	1	4
107	xix века	7	4
108	в основном	6	4
109	а в	4	4
110	отношении к	1	4
111	отношению к	3	4
112	в таком	3	4
113	ту же	1	3
114	как это	1	3
115	той же	1	3
116	человека и	3	3
117	говорить о	2	3
118	роман в	1	3
119	в чем	4	3
120	стороны и	1	3
121	перед нами	1	3
122	и как	1	3
123	с их	1	3
124	не с	1	3
125	лишь в	1	3
126	не столько	2	3
127	точку зрения	2	3
128	не была	1	3
129	связи с	1	3
130	романе в	1	3
131	и дальше	1	3
132	между тем	3	3
133	что и	1	3
134	в бытовой	6	3
135	в свете	3	3
136	или даже	2	3
137	у него	6	3
138	в роман	2	3
139	рядом с	2	3
