N	2gram	Kanaev_Sov_1	Formalny
1	и не	6	30
2	вовсе не	1	28
3	и в	7	27
4	может быть	12	25
5	не может	17	24
6	и его	1	19
7	в этом	7	18
8	таким образом	11	18
9	а не	3	17
10	самом деле	2	16
11	точки зрения	12	16
12	то же	3	15
13	в нем	3	15
14	в процессе	1	15
15	и пр	2	15
16	между ними	1	15
17	на самом	1	14
18	как и	6	14
19	с точки	5	14
20	не в	3	12
21	если бы	1	12
22	в самом	2	11
23	и от	1	11
24	не могут	2	10
25	в действительности	1	9
26	не только	4	9
27	как его	1	9
28	так как	4	9
29	так же	1	9
30	отнюдь не	3	8
31	с помощью	4	8
32	как бы	4	8
33	при этом	3	8
34	ни в	1	8
35	как мы	2	8
36	только в	1	8
37	и все	3	8
38	что в	2	8
39	тем же	2	7
40	не менее	2	7
41	же время	1	7
42	его в	1	7
43	в его	2	7
44	в том	4	7
45	для них	1	7
46	если мы	4	7
47	там где	1	7
48	все это	3	7
49	совершенно не	2	7
50	в то	1	7
51	здесь и	1	6
52	еще не	3	6
53	но в	3	6
54	все эти	5	6
55	всяком случае	2	6
56	все время	1	6
57	было бы	3	6
58	с другой	1	6
59	вместе с	4	6
60	в данном	1	6
61	все же	3	6
62	и для	1	6
63	в своих	1	6
64	во всяком	2	6
65	в зависимости	4	5
66	зависимости от	4	5
67	совсем не	1	5
68	но не	1	5
69	независимо от	1	5
70	так сказать	2	5
71	в каждом	8	5
72	ни было	1	5
73	если же	2	5
74	в ней	1	5
75	в дальнейшем	4	5
76	никогда не	1	5
77	связи с	1	5
78	и их	1	5
79	и потому	3	5
80	что же	5	5
81	не является	1	5
82	в результате	6	5
83	можно говорить	1	4
84	мы не	9	4
85	бы то	1	4
86	в целом	4	4
87	и те	1	4
88	но ведь	1	4
89	на ее	1	4
90	в корне	1	4
91	то ни	2	4
92	данном случае	1	4
93	мы знаем	2	4
94	том что	1	4
95	по себе	1	4
96	она не	1	4
97	мы можем	6	4
98	могут быть	2	4
99	роль в	2	4
100	о том	1	4
101	конечно не	1	4
102	уже в	3	4
103	в большинстве	1	4
104	только на	1	4
105	каждый элемент	1	4
106	прежде всего	5	4
107	в связи	1	4
108	мы видели	4	4
109	между собой	3	4
110	жизни и	4	4
111	они не	1	4
112	же как	1	3
113	функции в	1	3
114	того же	1	3
115	мы уже	1	3
116	той же	2	3
117	во всех	1	3
118	то он	1	3
119	нет и	4	3
120	что это	2	3
121	в себе	3	3
122	вследствие этого	1	3
123	этот процесс	1	3
124	те же	1	3
125	это не	4	3
126	раз и	1	3
127	от его	1	3
128	и более	1	3
129	по отношению	1	3
130	для нас	3	3
131	ничто не	1	3
132	же самое	2	3
133	ясно что	3	3
134	еще в	1	3
135	и что	2	3
136	их в	4	3
137	его осуществления	1	3
138	и следовательно	1	3
139	в какой	1	3
140	одни и	1	3
141	уже не	2	3
142	его и	1	3
143	и навсегда	1	3
144	в конце	3	3
145	у нас	3	3
146	может стать	1	3
147	отношению к	1	3
148	дело идет	1	3
149	в условиях	5	3
150	жизни в	1	3
151	сказать что	1	3
152	равно как	1	3
153	и эта	1	3
154	человека и	1	2
155	в такой	1	2
156	он может	3	2
157	ее роль	1	2
158	это и	1	2
159	к другому	1	2
160	отдельных элементов	1	2
161	что уже	1	2
162	говорить о	2	2
163	мы без	1	2
164	научной работы	1	2
165	с его	1	2
166	видели что	3	2
167	отличие от	2	2
168	и речи	1	2
169	чем же	1	2
170	в своем	1	2
171	стороны и	1	2
172	метод в	1	2
173	увидим что	1	2
174	из этих	2	2
175	в этой	3	2
176	только один	2	2
177	как он	3	2
178	что она	3	2
179	какой бы	1	2
180	одной и	1	2
181	на этом	2	2
182	форма в	2	2
183	в основу	1	2
184	человека в	1	2
185	это значит	1	2
186	уже знаем	1	2
187	этом смысле	1	2
188	ведь если	1	2
189	для чего	1	2
190	такой же	2	2
191	и тогда	1	2
192	в эту	1	2
193	том как	1	2
194	таким же	1	2
195	бы к	1	2
196	то его	1	2
197	в отличие	2	2
198	знаем что	2	2
199	но эта	1	2
200	xviii века	1	2
201	дело в	1	2
202	одна из	3	2
203	и именно	2	2
204	и снова	1	2
205	только не	1	2
206	вытекает из	1	2
207	ровно ничего	1	2
208	тем не	2	2
209	из одного	2	2
