N	3gram	Tiupa_Lite_2	SlovoVZh
1	по отношению к	3	11
2	не может быть	7	7
3	в том что	5	4
4	и не может	1	3
5	тем не менее	2	3
6	бы то ни	1	3
7	этой точки зрения	1	3
8	то ни было	1	3
9	и то же	2	2
10	в такой же	1	2
11	на самом деле	1	2
12	с другой стороны	4	2
13	что не может	1	2
14	то же самое	1	2
15	одной стороны и	1	2
16	с точки зрения	3	2
17	одно и то	2	2
18	эти и подобные	1	2
19	и подобные им	1	2
20	в данном случае	3	2
21	с одной стороны	6	2
22	тех или иных	1	1
23	не перестает быть	1	1
24	том что в	1	1
25	или иных приемов	1	1
26	здесь слово не	1	1
27	строит свое высказывание	1	1
28	имеем дело с	1	1
29	в нашем случае	1	1
30	мы имеем дело	1	1
31	руках у нас	1	1
32	в руках у	1	1
33	в частности в	1	1
34	дело и с	1	1
35	в свою очередь	1	1
36	же время не	1	1
37	о том что	2	1
38	только то что	1	1
39	ничего общего с	1	1
40	в этом отношении	3	1
41	никогда не бывает	1	1
42	обстоит дело и	1	1
43	в конечном счете	5	1
44	и прежде всего	1	1
45	можно было бы	1	1
46	внутренней и внешней	1	1
47	то же время	9	1
48	подобно тому как	2	1
49	в русской литературе	2	1
50	в основе своей	1	1
51	по крайней мере	2	1
52	в то же	9	1
53	это прежде всего	2	1
54	может быть ни	1	1
