N	2gram	Kanaev_Sov_1	PoTuStor
1	может быть	12	17
2	и в	7	16
3	и пр	2	12
4	в этом	7	9
5	таким образом	11	9
6	и только	1	9
7	мы можем	6	9
8	прежде всего	5	9
9	точки зрения	12	8
10	и его	1	8
11	не может	17	8
12	совершенно не	2	8
13	с его	1	7
14	не только	4	7
15	сказать что	1	7
16	самом деле	2	6
17	конечно не	1	6
18	при этом	3	6
19	с точки	5	6
20	и это	1	6
21	и к	3	6
22	еще не	3	5
23	все эти	5	5
24	что такое	2	5
25	ни в	1	5
26	как бы	4	5
27	на самом	1	4
28	отнюдь не	3	4
29	и наконец	5	4
30	но в	3	4
31	в этой	3	4
32	в нем	3	4
33	и может	1	4
34	его в	1	4
35	в один	2	4
36	все это	3	4
37	самого начала	3	4
38	как мы	2	4
39	с ее	1	4
40	с самого	3	4
41	но мы	3	4
42	в его	2	4
43	а потому	1	4
44	только в	1	4
45	и их	1	4
46	так как	4	4
47	и даже	2	4
48	и не	6	4
49	и все	3	4
50	все что	1	4
51	во всех	1	3
52	и есть	2	3
53	на две	3	3
54	их в	4	3
55	на этом	2	3
56	на этой	3	3
57	этом смысле	1	3
58	том что	1	3
59	сих пор	1	3
60	в одном	3	3
61	по крайней	1	3
62	до сих	1	3
63	те же	1	3
64	на язык	1	3
65	в конечном	1	3
66	крайней мере	1	3
67	в том	4	3
68	в большинстве	1	3
69	только на	1	3
70	мы знаем	2	3
71	всяком случае	2	3
72	в области	3	3
73	вместе с	4	3
74	и потому	3	3
75	могут быть	2	3
76	что в	2	3
77	а в	4	3
78	между ними	1	3
79	жизни и	4	3
80	во всяком	2	3
81	же как	1	2
82	в самом	2	2
83	мы уже	1	2
84	мы не	9	2
85	говорить о	2	2
86	того же	1	2
87	на них	1	2
88	между собой	3	2
89	из этих	2	2
90	совсем не	1	2
91	но как	1	2
92	друг на	1	2
93	конечном счете	1	2
94	нет и	4	2
95	с этим	2	2
96	в этот	1	2
97	что это	2	2
98	но ведь	1	2
99	он не	1	2
100	и по	2	2
101	то же	3	2
102	и мы	3	2
103	было бы	3	2
104	почти совершенно	1	2
105	как и	6	2
106	почти не	1	2
107	знаем что	2	2
108	можем сказать	1	2
109	и вся	1	2
110	не менее	2	2
111	в науке	2	2
112	никогда не	1	2
113	только и	1	2
114	так называемый	1	2
115	понятия и	1	2
116	не могут	2	2
117	этот остаток	1	2
118	он ищет	1	2
119	не будет	1	2
120	по аналогии	1	2
121	и вообще	1	2
122	с ним	1	2
123	о том	1	2
124	аналогии с	1	2
125	для нас	3	2
126	во всей	1	2
127	может иметь	2	2
128	один из	1	2
129	мы видим	2	2
130	и действительно	1	2
131	со всеми	2	2
132	да еще	1	2
133	не можем	7	2
134	если мы	4	2
135	в начале	1	2
136	у него	2	2
137	и т.п	1	2
138	а на	2	2
139	на друга	1	2
140	в развитии	4	2
141	с помощью	4	2
142	так же	1	2
143	в область	1	2
144	в свое	1	2
145	но это	1	2
146	это последнее	1	2
147	и для	1	2
148	но отнюдь	1	2
149	ни было	1	2
150	нет никаких	1	2
151	это делает	1	2
152	не знает	1	2
153	а может	1	2
154	к этому	1	2
155	можно назвать	2	2
156	они не	1	2
157	переносятся на	1	1
158	потом и	1	1
159	человека и	1	1
160	приходится сказать	1	1
161	совершенно готовом	1	1
162	он может	3	1
163	шаг за	1	1
164	это и	1	1
165	жизни мы	2	1
166	обходиться без	1	1
167	случае только	1	1
168	не имеют	1	1
169	и могут	1	1
170	мы имеем	1	1
171	теперь мы	1	1
172	современной нам	1	1
173	вопрос о	4	1
174	совершенно так	1	1
175	другую и	1	1
176	зависимости от	4	1
177	живое существо	1	1
178	в ней	1	1
179	иное как	1	1
180	бы то	1	1
181	что его	1	1
182	но не	1	1
183	через некоторое	2	1
184	достаточно для	1	1
185	с совершенно	2	1
186	для объяснения	1	1
187	мы снова	1	1
188	в течение	1	1
189	помним что	1	1
190	дает нам	2	1
191	некоторое время	2	1
192	все же	3	1
193	хотя и	1	1
194	это просто	1	1
195	увидим что	1	1
196	чего же	1	1
197	к чему	2	1
198	уже не	2	1
199	организм если	1	1
200	та же	1	1
201	точку зрения	4	1
202	в нашем	2	1
203	как он	3	1
204	переоценить все	1	1
205	по мнению	2	1
206	на его	2	1
207	что она	3	1
208	быть поняты	1	1
209	по самому	1	1
210	наконец мы	1	1
211	в корне	1	1
212	свое время	1	1
213	объяснения всех	1	1
214	этого направления	1	1
215	человека в	1	1
216	по его	1	1
217	то ни	2	1
218	в мире	1	1
219	конечно в	2	1
220	той же	2	1
221	может стать	1	1
222	уже знаем	1	1
223	форму и	1	1
224	весь мир	1	1
225	признать за	1	1
226	для них	1	1
227	одна и	1	1
228	несмотря на	1	1
229	жизни но	1	1
230	их на	1	1
231	и еще	1	1
232	искать в	1	1
233	но если	1	1
234	теоретического познания	1	1
235	и благодаря	1	1
236	в биологии	1	1
237	его мнению	1	1
238	никакому сомнению	1	1
239	сведен без	1	1
240	но эта	1	1
241	не будем	2	1
242	которые в	1	1
243	времени не	1	1
244	быть сведен	1	1
245	на другую	1	1
246	так называемое	1	1
247	общего не	1	1
248	же мы	2	1
249	она по	1	1
250	дело в	1	1
251	одна из	3	1
252	только из	1	1
253	без остатка	1	1
254	и снова	1	1
255	что иное	1	1
256	в стадии	5	1
257	только не	1	1
258	вытекает из	1	1
259	не имеет	1	1
260	и всегда	1	1
261	жизненные отношения	1	1
262	ничего не	6	1
263	эта сторона	1	1
264	этих двух	2	1
265	очень мало	1	1
266	нам важен	1	1
267	связи с	1	1
268	ничто не	1	1
269	с другом	2	1
270	не давая	1	1
271	в духе	1	1
272	а три	1	1
273	отличается от	3	1
274	же самое	2	1
275	мы по	1	1
276	органических процессов	1	1
277	той или	1	1
278	для его	2	1
279	что при	2	1
280	на это	1	1
281	она не	1	1
282	как известно	2	1
283	ничего общего	1	1
284	своего развития	1	1
285	может совершенно	1	1
286	на другой	1	1
287	данном случае	1	1
288	приводит к	2	1
289	роль в	2	1
290	и что	2	1
291	в другом	1	1
292	можно было	1	1
293	времени и	2	1
294	каждого из	2	1
295	виде мы	1	1
296	еще в	1	1
297	этой высшей	1	1
298	это только	1	1
299	если бы	1	1
300	не опирается	1	1
301	из одного	2	1
302	мы вправе	1	1
303	и начало	1	1
304	развития в	2	1
305	и т.д	3	1
306	и та	1	1
307	вражда к	1	1
308	это маленькое	1	1
309	давая себе	1	1
310	возможного и	1	1
311	говорить об	2	1
312	отметить что	1	1
313	не более	1	1
314	нельзя сказать	1	1
315	все время	1	1
316	человека как	1	1
317	в которую	2	1
318	от объективной	1	1
319	к нему	1	1
320	быть при	1	1
321	себе даже	1	1
322	сомнению что	1	1
323	тот же	2	1
324	может оказаться	1	1
325	прикрепляется к	1	1
326	с одной	2	1
327	уже в	3	1
328	и они	2	1
329	то и	2	1
330	а это	1	1
331	не дает	2	1
332	конечно нет	1	1
333	его и	1	1
334	центр тяжести	1	1
335	пока не	1	1
336	ведь это	3	1
337	свои построения	1	1
338	ним и	1	1
339	в конце	3	1
340	вовсе не	1	1
341	как его	1	1
342	не случайно	1	1
343	случае не	1	1
344	и им	1	1
345	свой основной	1	1
346	науки в	1	1
347	уже совершенно	1	1
348	несводимый к	1	1
349	или иной	2	1
350	с другой	1	1
351	на ее	1	1
352	здесь в	1	1
353	и прежде	1	1
354	в свою	2	1
355	на которые	1	1
356	в некоторых	2	1
357	у нас	3	1
358	основной вопрос	3	1
359	одной стороны	1	1
360	на этот	2	1
361	а не	3	1
362	но никогда	1	1
363	ведь именно	1	1
364	в связи	1	1
365	всех трех	1	1
366	метод до	1	1
367	же делает	1	1
368	и особенно	1	1
369	биологическое значение	1	1
370	жизнь человека	1	1
371	в данном	1	1
372	что же	5	1
373	а потом	1	1
374	быть только	1	1
375	друг с	2	1
376	счете только	1	1
377	несколько слов	1	1
378	есть то	1	1
379	зародыша в	2	1
380	это уже	1	1
381	только одна	6	1
382	при таком	3	1
383	она может	2	1
384	не подлежит	3	1
385	органической жизни	9	1
386	в эту	1	1
387	еще более	2	1
388	и ни	1	1
389	наконец все	1	1
390	мы должны	4	1
391	на такой	1	1
392	же в	1	1
393	всеми его	1	1
394	жизни в	1	1
395	ищет для	1	1
396	но этим	1	1
397	не что	1	1
398	за шагом	1	1
399	в своих	1	1
400	зрения может	1	1
401	к логическому	1	1
402	и эта	1	1
