N	3gram	Berdyaev_N_1	Marksizm
1	не может быть	4	13
2	и не может	1	9
3	до сих пор	1	8
4	и того же	1	5
5	в отличие от	1	5
6	одного и того	1	5
7	с другой стороны	2	5
8	в большинстве случаев	1	3
9	и пр в	1	3
10	в том что	1	3
11	в высшей степени	6	3
12	это и есть	1	2
13	не могут быть	1	2
14	так же как	2	2
15	в том числе	1	2
16	вопрос о том	2	2
17	во всяком случае	1	2
18	в этом смысле	2	2
19	со всех сторон	3	2
20	же как и	1	2
21	том числе и	1	2
22	в нем нет	2	2
23	можно было бы	1	2
24	вообще не существует	1	1
25	подобно тому как	3	1
26	значит что в	2	1
27	с одной стороны	2	1
28	и должно быть	2	1
29	от того чтобы	1	1
30	и не менее	1	1
31	в новое время	1	1
32	в ней нет	1	1
33	прежде всего как	1	1
34	в недрах этой	1	1
35	равно как и	2	1
36	все эти формы	2	1
37	к жизни и	1	1
38	не менее чем	1	1
39	xix века и	2	1
40	совершенно так же	1	1
41	это значит что	1	1
42	в политической жизни	1	1
43	по природе своей	1	1
44	не имеет никакой	1	1
45	в значительной степени	1	1
46	не только в	1	1
47	сами по себе	1	1
48	и в большинстве	1	1
49	в социальной жизни	1	1
50	может быть только	1	1
51	и быть не	1	1
52	есть прежде всего	1	1
53	нет уже никакой	1	1
54	ней нет ничего	1	1
55	в наше время	3	1
56	выходит за пределы	1	1
57	но и в	1	1
58	а не в	1	1
59	и к новому	1	1
60	это не значит	2	1
