N	2gram	Medvedev_V_1	Istorich
1	и в	26	26
2	т е	18	22
3	мы имеем	3	14
4	никогда не	4	13
5	потому что	1	13
6	в этом	26	12
7	это представление	1	12
8	таким образом	31	12
9	в том	15	12
10	что в	10	12
11	мы видели	3	11
12	может быть	22	11
13	и т	23	10
14	не только	25	10
15	том что	8	10
16	в образе	2	10
17	с другой	11	10
18	и не	19	10
19	еще не	2	9
20	а именно	1	9
21	что он	4	9
22	но и	10	9
23	и это	1	8
24	все эти	6	8
25	все же	5	8
26	в нем	6	8
27	т д	14	8
28	с ним	1	8
29	вместе с	7	8
30	другой стороны	8	8
31	например в	3	7
32	но в	2	7
33	здесь можно	1	7
34	и его	6	7
35	о том	10	7
36	с одной	2	7
37	уже не	1	7
38	у него	6	7
39	одной стороны	2	7
40	как в	1	6
41	как он	2	6
42	в ином	1	6
43	в виде	1	6
44	то что	6	6
45	в более	1	6
46	ее в	4	6
47	не может	17	6
48	то же	10	5
49	в ней	2	5
50	как и	7	5
51	представление что	1	5
52	и эти	1	5
53	и что	1	5
54	в то	6	5
55	то это	2	5
56	очень часто	1	5
57	так и	5	5
58	в его	14	5
59	показывают что	3	5
60	мы видим	1	5
61	только в	7	5
62	тем что	1	5
63	связаны с	1	5
64	у нас	2	5
65	как это	12	5
66	его в	3	5
67	как мы	1	4
68	и он	2	4
69	с его	3	4
70	что оно	3	4
71	но как	3	4
72	из этих	7	4
73	имеем в	1	4
74	на его	1	4
75	после этого	2	4
76	и по	3	4
77	это не	7	4
78	с тем	3	4
79	не всегда	1	4
80	не имели	1	4
81	а также	1	4
82	что и	3	4
83	себе в	1	4
84	до сих	1	4
85	прежде всего	13	4
86	связано с	1	4
87	зависит от	2	4
88	как бы	5	4
89	сих пор	1	4
90	в книге	2	4
91	у них	2	4
92	но это	1	4
93	есть и	1	4
94	на своем	1	4
95	же как	2	3
96	и через	2	3
97	связана с	2	3
98	и то	1	3
99	время как	1	3
100	из которых	2	3
101	видели что	3	3
102	или иное	1	3
103	когда он	3	3
104	и наконец	2	3
105	в себе	6	3
106	если он	1	3
107	что она	2	3
108	главным образом	7	3
109	если бы	3	3
110	так например	2	3
111	в них	4	3
112	в своей	4	3
113	и ее	4	3
114	в одном	4	3
115	не в	6	3
116	их в	6	3
117	она не	3	3
118	того как	1	3
119	например у	2	3
120	могут быть	5	3
121	вот почему	4	3
122	приходит к	1	3
123	и другие	1	3
124	данном случае	1	3
125	то время	1	3
126	если они	1	3
127	только через	1	3
128	показывает что	1	3
129	от него	1	3
130	стороны он	1	3
131	один из	5	3
132	том как	3	3
133	в качестве	11	3
134	при помощи	3	3
135	и других	1	3
136	от того	2	3
137	далеко не	2	3
138	не было	7	3
139	попал в	2	3
140	в частности	11	3
141	в него	1	3
142	в данном	1	3
143	как будто	1	3
144	и от	3	3
145	кроме того	1	3
146	или в	3	3
147	вопрос о	1	3
148	а в	3	3
149	еще в	1	3
150	сказать что	5	3
151	как на	3	3
152	в своих	2	3
153	к этому	9	3
154	во сне	21	3
155	они не	2	3
156	ту же	2	2
157	из его	3	2
158	оно может	1	2
159	что эти	1	2
160	всех его	2	2
161	он был	1	2
162	но не	2	2
163	по отношению	7	2
164	в свои	1	2
165	на то	1	2
166	относится к	2	2
167	с этим	3	2
168	в своем	8	2
169	то или	1	2
170	перед нами	4	2
171	целый ряд	1	2
172	и как	3	2
173	в этой	4	2
174	но он	1	2
175	он не	2	2
176	это явление	1	2
177	из него	1	2
178	с этой	1	2
179	можно было	2	2
180	человека в	2	2
181	же не	1	2
182	его не	3	2
183	было бы	7	2
184	приходит в	1	2
185	кажется что	1	2
186	смерть и	1	2
187	ни в	1	2
188	ни одной	1	2
189	вовсе не	3	2
190	и некоторые	1	2
191	или вообще	1	2
192	в которых	3	2
193	знаем что	2	2
194	образом и	1	2
195	которые в	2	2
196	что этот	1	2
197	на эти	2	2
198	даже в	5	2
199	можно указать	2	2
200	которых он	1	2
201	не имеет	1	2
202	одна из	4	2
203	на него	1	2
204	не могло	1	2
205	это мы	3	2
206	не вполне	2	2
207	это то	1	2
208	или как	1	2
209	сообщает что	1	2
210	нет ни	2	2
211	зависимости от	5	2
212	отличается от	2	2
213	об одном	1	2
214	должны быть	2	2
215	к тому	4	2
216	к утверждению	1	2
217	что при	2	2
218	утверждать что	4	2
219	этим самым	1	2
220	здесь не	1	2
221	только то	2	2
222	и сам	1	2
223	что у	2	2
224	о котором	1	2
225	сводится к	3	2
226	после того	1	2
227	можно сказать	4	2
228	как у	2	2
229	это указание	1	2
230	отметить что	2	2
231	говорит он	1	2
232	в форме	3	2
233	того что	3	2
234	самого себя	2	2
235	еще одну	1	2
236	мы знаем	3	2
237	всяком случае	1	2
238	себя это	1	2
239	их можно	1	2
240	что они	3	2
241	и др	9	2
242	что не	3	2
243	такое понимание	2	2
244	не означает	1	2
245	а не	7	2
246	о чем	2	2
247	что из	1	2
248	он и	2	2
249	может иметь	1	2
250	него в	3	2
251	так же	3	2
252	имеются в	1	2
253	совершенно точно	1	2
254	отношению к	7	2
255	стороны и	2	2
256	значит что	2	2
257	и формы	2	2
258	что мы	2	2
259	но для	2	2
260	последний этап	1	2
261	мира и	3	2
262	не представляет	1	2
263	для нас	1	2
264	только что	4	2
265	в этих	1	2
266	но вот	1	2
267	е в	2	2
268	с ними	4	2
269	в последнем	2	2
270	жизни и	3	2
271	во всяком	1	2
272	с новыми	1	1
273	вряд ли	1	1
274	также что	2	1
275	речь идет	1	1
276	соответствии с	1	1
277	одним из	5	1
278	также и	2	1
279	в движение	1	1
280	таком случае	1	1
281	в связи	3	1
282	силы и	1	1
283	и есть	5	1
284	старика и	1	1
285	очень много	1	1
286	этого мира	1	1
287	говорит так	1	1
288	все те	1	1
289	в зависимости	6	1
290	и этот	2	1
291	несколько иной	1	1
292	а как	2	1
293	со всех	1	1
294	пока он	1	1
295	или наоборот	1	1
296	очень точно	1	1
297	что если	1	1
298	воздух и	1	1
299	ответить на	1	1
300	именно к	1	1
301	имеет свою	3	1
302	равно как	4	1
303	но она	1	1
304	но то	2	1
305	не получил	1	1
306	бы с	1	1
307	всех сторон	1	1
308	месте в	1	1
309	так или	1	1
310	а другие	1	1
311	по этому	9	1
312	как один	1	1
313	не создает	1	1
314	за это	1	1
315	что его	2	1
316	во всех	6	1
317	своей работе	1	1
318	это видно	2	1
319	только тогда	1	1
320	не все	1	1
321	состоял в	1	1
322	которые не	1	1
