N	3gram	Tiupa_Hudo_1	VeschiIm
1	и т д	3	20
2	не может быть	2	18
3	может быть только	1	6
4	в том что	6	6
5	на то что	2	6
6	содержит в себе	1	5
7	в свою очередь	1	5
8	тем не менее	3	5
9	с точки зрения	3	4
10	не только в	2	4
11	то же время	8	4
12	в то же	8	4
13	более или менее	1	3
14	в самом деле	4	3
15	и в то	1	3
16	можно было бы	4	3
17	то и другое	2	3
18	все же не	1	3
19	не может не	1	2
20	этой точки зрения	1	2
21	уже не может	1	2
22	о том как	2	2
23	с этой точки	1	2
24	в данном случае	1	2
25	в первом случае	1	2
26	только один из	1	2
27	к тому что	4	2
28	она не может	1	2
29	так или иначе	2	2
30	но еще и	1	2
31	но тут же	1	1
32	отождествление с ним	1	1
33	как она есть	1	1
34	то что я	1	1
35	что она не	1	1
36	только потому что	2	1
37	прежде всего на	1	1
38	ничего не было	1	1
39	в этом смысле	1	1
40	не годится в	1	1
41	том что он	1	1
42	одной стороны и	1	1
43	не имеют никакого	1	1
44	в ней есть	1	1
45	до сих пор	2	1
46	предстают перед нами	1	1
47	в сущности в	1	1
48	сами по себе	1	1
49	самом деле не	1	1
50	что он не	2	1
51	вбирая в себя	1	1
52	в себе и	1	1
53	ни с какой	1	1
54	и так что	1	1
55	как раз в	2	1
56	потому что он	1	1
57	не потому что	1	1
58	но в то	3	1
59	мы не знаем	1	1
60	с одной стороны	1	1
61	в конце концов	1	1
62	к другому человеку	2	1
63	и потому что	1	1
64	и в этом	1	1
65	они предстают перед	1	1
66	не в том	2	1
67	с такими ее	1	1
68	для себя и	1	1
69	еще и потому	1	1
70	речь идет о	2	1
71	а в том	1	1
72	во всяком случае	1	1
73	не только потому	1	1
74	о том что	9	1
75	не только не	1	1
76	вместо того чтобы	2	1
77	но все же	1	1
78	в том смысле	1	1
79	друг с другом	1	1
80	на то чтобы	2	1
81	не я сам	1	1
