N	3gram	Tiupa_Narr_2	RusskieA
1	в том что	8	15
2	в xix в	1	10
3	состоит в том	4	8
4	о том что	4	4
5	к тому что	3	4
6	и в других	1	4
7	в связи с	1	4
8	с точки зрения	2	3
9	тем не менее	4	3
10	в большинстве случаев	1	2
11	не что иное	1	2
12	в равной степени	2	2
13	что иное как	1	2
14	в е годы	1	2
15	и у нас	2	2
16	подобно тому как	2	1
17	себя но и	1	1
18	в таком случае	1	1
19	точно так же	2	1
20	при всех их	1	1
21	здесь мы имеем	1	1
22	с таким же	1	1
23	можно сказать что	3	1
24	что в первой	1	1
25	и т п	2	1
26	и объяснить его	1	1
27	что она в	1	1
28	в противном случае	1	1
29	иметь в виду	1	1
30	по своему происхождению	1	1
31	не означает что	1	1
32	тогда как в	2	1
33	и того же	1	1
34	так же как	2	1
35	никак не может	1	1
36	только по отношению	1	1
37	только себя но	1	1
38	в то время	1	1
39	можно было бы	1	1
40	на самом деле	2	1
41	по отношению к	5	1
42	ничего не знает	1	1
43	в отличие от	5	1
44	во всяком случае	1	1
45	не только в	6	1
46	в нашем сознании	1	1
47	в этом отношении	3	1
48	одного и того	1	1
49	дело не только	1	1
50	представляет собой как	1	1
51	на другой день	1	1
52	на этот вопрос	1	1
53	в данном случае	6	1
54	по его словам	1	1
55	хотя и не	2	1
