N	2gram	Medvedev_B_1	formyVre
1	и в	1	50
2	прежде всего	1	15
3	и не	2	14
4	так и	1	12
5	таким образом	1	11
6	не только	1	9
7	и на	1	8
8	не было	1	7
9	и во	1	7
10	все же	1	6
11	еще не	1	5
12	что в	1	5
13	отнюдь не	1	5
14	в пределах	1	5
15	было и	1	4
16	кроме того	1	4
17	до конца	1	4
18	все это	2	4
19	в ней	2	4
20	во всяком	1	3
21	и ее	1	3
22	одной из	1	3
23	между ними	1	3
24	и потому	1	3
25	а не	1	3
26	в значительной	1	2
27	вопрос о	1	2
28	в своей	1	2
29	было бы	1	2
30	совершенно не	1	2
31	к ней	1	2
32	не о	1	2
33	что все	1	2
34	нет но	1	2
35	далеко не	1	2
36	с другой	1	2
37	и нет	1	2
38	об этом	1	2
39	необходимо отметить	1	2
40	в данном	1	2
41	переходя к	1	1
42	забывать что	1	1
43	и полно	1	1
44	у нас	3	1
45	для которой	1	1
46	всяком случае	1	1
47	значительной степени	1	1
48	в эпоху	1	1
49	работа по	1	1
50	не вполне	1	1
51	по этим	1	1
52	исторических условиях	1	1
53	тем более	1	1
54	является только	1	1
55	всего в	1	1
56	не следует	1	1
57	исторической поэтике	1	1
58	литературных произведений	2	1
59	и более	1	1
