N	2gram	Medvedev_S_1	Tvorches
1	и в	3	20
2	не только	3	13
3	никогда не	1	11
4	как бы	2	11
5	таким образом	2	10
6	в его	3	10
7	в то	1	10
8	и не	1	9
9	и его	1	9
10	прежде всего	1	8
11	в том	5	8
12	но и	2	8
13	в этом	5	8
14	может быть	2	8
15	же время	1	7
16	не может	1	7
17	что в	2	7
18	то же	2	7
19	это не	1	7
20	как и	1	6
21	так и	1	6
22	в конце	2	6
23	в своей	1	6
24	у него	1	6
25	в целом	1	6
26	именно в	1	6
27	все это	7	6
28	что он	1	6
29	но не	1	5
30	все же	1	5
31	еще не	2	5
32	в этой	1	5
33	в мире	1	5
34	о том	1	5
35	все эти	1	4
36	отнюдь не	1	4
37	не в	3	4
38	мы не	1	4
39	а в	1	4
40	что она	1	4
41	в чем	1	4
42	и потому	1	4
43	ничего не	1	4
44	том что	2	4
45	место в	1	3
46	в область	1	3
47	отношению к	2	3
48	его в	1	3
49	с ним	1	3
50	между тем	1	3
51	один из	1	3
52	тем что	1	3
53	и мы	2	3
54	то что	2	3
55	в котором	1	3
56	по отношению	2	3
57	а с	1	3
58	наше время	1	2
59	и наконец	1	2
60	может служить	1	2
61	крайней мере	1	2
62	не было	1	2
63	со своими	1	2
64	зависит от	1	2
65	вовсе не	1	2
66	в виде	1	2
67	к которому	2	2
68	можно принять	1	2
69	на ней	1	2
70	и есть	1	2
71	ли не	1	2
72	или даже	2	2
73	же не	1	2
74	и только	3	2
75	во всяком	1	2
76	более не	1	2
77	что на	1	2
78	всяком случае	1	2
79	только в	2	2
80	идей и	2	2
81	по крайней	1	2
82	не мешает	1	2
83	и что	2	2
84	в процессе	1	2
85	в наше	1	2
86	но ведь	3	2
87	с другой	1	2
88	в частности	2	2
89	только для	1	2
90	на этот	1	2
91	опираясь на	1	2
92	и по	1	2
93	главным образом	2	1
94	что творчество	1	1
95	в любой	1	1
96	для нас	3	1
97	характера это	1	1
98	в связи	1	1
99	же это	1	1
100	только как	2	1
101	героя который	1	1
102	не из	1	1
103	даже не	1	1
104	строить догадки	1	1
105	у которых	1	1
106	это как	1	1
107	связи с	1	1
108	факта что	1	1
109	бы он	1	1
110	писателя не	1	1
111	наукой в	1	1
112	даже в	1	1
113	дает нам	1	1
114	этом не	1	1
115	что это	1	1
116	по себе	1	1
117	не дает	1	1
118	а между	1	1
119	или нет	1	1
120	не без	1	1
121	между собой	1	1
122	а тем	1	1
123	но только	1	1
124	между ними	1	1
125	в таких	1	1
126	он ни	1	1
127	против этого	1	1
128	его собственная	1	1
129	и о	1	1
130	может не	1	1
131	в этих	1	1
132	хотелось бы	1	1
133	необходимости их	1	1
134	что автор	1	1
135	она должна	1	1
136	происходящее в	1	1
137	это и	2	1
138	но как	1	1
139	конечном счете	1	1
140	в силу	1	1
141	остается в	1	1
142	только то	1	1
143	объекта и	1	1
144	как будто	2	1
145	их на	1	1
146	том как	1	1
147	как только	2	1
148	психологии и	1	1
149	что все	1	1
150	в каждом	1	1
151	образом в	1	1
152	это происходит	1	1
153	в них	1	1
154	в конечном	1	1
155	но сам	1	1
156	вряд ли	1	1
157	с одной	1	1
158	входящие в	1	1
159	тому что	1	1
160	он говорит	1	1
161	им не	2	1
162	в результате	2	1
163	мы понимаем	1	1
164	наука о	1	1
165	столь же	1	1
166	происходит не	1	1
167	в области	1	1
168	и должно	1	1
169	представляется нам	1	1
170	было бы	2	1
171	перед нами	1	1
172	чуть ли	1	1
173	без этого	1	1
174	и как	1	1
175	литературы и	2	1
176	и более	1	1
