N	3gram	Tiupa_Hudo_2	VrazhdaK
1	тургенева и достоевского	1	8
2	и все же	1	5
3	то же время	4	4
4	в то же	4	4
5	с точки зрения	2	2
6	по нашему убеждению	1	2
7	не может быть	3	2
8	в том что	11	2
9	не должна заслонять	1	1
10	а между тем	3	1
11	да и в	1	1
12	то что я	1	1
13	в котором он	1	1
14	в ответ на	1	1
15	в соответствии с	3	1
16	что это за	1	1
17	это за человек	1	1
18	до сих пор	2	1
19	при этом он	1	1
20	в этом отношении	1	1
21	и это было	1	1
22	точно так же	1	1
23	как он сам	2	1
24	и то что	1	1
25	а п скафтымов	3	1
26	и в то	2	1
27	в это время	1	1
28	о том как	2	1
29	едва ли не	1	1
30	так же как	2	1
31	о том же	1	1
32	тем что он	1	1
33	но при этом	3	1
34	и в этом	2	1
35	а с другой	1	1
36	все же не	1	1
37	с другой стороны	1	1
38	как бы в	1	1
39	тем не менее	3	1
40	у него в	1	1
41	заключается в том	1	1
42	в то время	1	1
43	в это же	1	1
44	о том что	7	1
45	и в самом	1	1
46	не только не	2	1
47	способности к самостоятельному	1	1
48	и о которой	1	1
49	и все что	1	1
