N	4gram	Tiupa_Narr_2	Problema
1	в той или иной	1	7
2	и с точки зрения	1	3
3	не что иное как	1	2
4	здесь мы имеем дело	1	2
5	уж во всяком случае	1	2
6	в то время как	1	2
7	есть не что иное	1	2
8	том смысле как мы	1	1
9	и в то же	1	1
10	той или иной области	1	1
11	свидетельствует о том что	1	1
12	мы имеем дело с	2	1
13	одной из этих сторон	1	1
14	все это свидетельствует о	1	1
15	с этой точки зрения	1	1
16	в том смысле как	1	1
17	тип в том смысле	1	1
18	ни в чем не	1	1
19	и не может существовать	1	1
