N	4gram	Bakhtin_fo_2	FransuaR
1	в то же время	4	9
2	но в то же	1	5
3	в связи с этим	2	3
4	как и во всех	1	2
5	в том числе и	2	2
6	до сих пор еще	1	2
7	той или иной форме	1	1
8	может быть и речи	1	1
9	для того чтобы не	1	1
10	мы уже говорили что	1	1
11	что в основе их	1	1
12	особенно важное значение имеет	1	1
13	мы еще вернемся к	1	1
14	шута и дурака от	1	1
15	в средние века и	2	1
16	и в то же	2	1
17	одна и та же	2	1
18	средние века и в	1	1
19	тела и телесной жизни	1	1
20	только во время еды	1	1
21	не может быть и	1	1
22	как мы уже сказали	3	1
23	в эпизоде с великаном	1	1
24	без него не обходится	1	1
25	бы он ни был	1	1
26	в той или иной	1	1
27	к самой природе его	1	1
28	в эпизоде воспитания гаргантюа	1	1
29	одного и того же	1	1
30	о таких высоких материях	1	1
31	что от его стихов	1	1
32	кн i гл xxiii	1	1
33	принадлежит к самой природе	1	1
34	в этом выражении за	1	1
35	переплетаются друг с другом	1	1
36	таких высоких материях и	1	1
