N	2gram	Tiupa_Anal_3	StatiiOP
1	и в	18	29
2	том что	12	27
3	в том	9	27
4	в этом	14	21
5	для пушкина	2	21
6	не только	22	19
7	но и	13	19
8	что в	9	19
9	пушкина в	1	18
10	о том	6	17
11	что пушкин	2	15
12	в его	7	13
13	что он	4	13
14	у пушкина	3	12
15	между прочим	1	12
16	то что	2	11
17	все это	3	11
18	таким образом	4	10
19	к тому	6	10
20	в своем	4	9
21	он не	6	9
22	пушкина и	2	9
23	потому что	1	9
24	так и	14	9
25	этом отношении	3	9
26	и не	12	9
27	как на	1	9
28	но в	2	8
29	как раз	7	8
30	по поводу	3	8
31	я не	1	7
32	в ней	2	7
33	в самом	5	7
34	в г	1	7
35	в своей	1	7
36	не столько	3	7
37	для того	1	7
38	с тем	2	7
39	вместе с	2	7
40	вопрос о	1	6
41	и на	4	6
42	все же	4	6
43	факт что	1	6
44	вовсе не	1	6
45	того чтобы	1	6
46	и его	13	6
47	об этом	2	6
48	пушкина не	1	6
49	в одном	4	6
50	до сих	1	6
51	в течение	1	6
52	в свет	1	5
53	пушкина к	1	5
54	было бы	3	5
55	точки зрения	3	5
56	в русской	7	5
57	того что	1	5
58	между тем	5	5
59	в качестве	12	5
60	своего рода	8	5
61	обратить внимание	1	5
62	прежде всего	5	5
63	а не	9	5
64	о чем	4	5
65	в той	2	5
66	как бы	10	5
67	сих пор	1	5
68	речь идет	1	4
69	хотя и	2	4
70	и к	4	4
71	в нем	2	4
72	что у	1	4
73	в другом	1	4
74	не в	6	4
75	дело в	2	4
76	ничего не	3	4
77	у шекспира	1	4
78	и о	1	4
79	внимание на	4	4
80	но с	2	4
81	связи с	1	4
82	для него	6	4
83	с другой	7	4
84	именно в	3	4
85	в частности	12	4
86	тот факт	1	4
87	в романе	2	4
88	к этому	3	4
89	например в	2	3
90	самом деле	2	3
91	на самом	1	3
92	идет о	1	3
93	в году	3	3
94	в их	6	3
95	по его	3	3
96	его не	3	3
97	хотя бы	1	3
98	и он	2	3
99	но не	7	3
100	в общем	2	3
101	как в	3	3
102	с этим	3	3
103	в полном	1	3
104	не было	3	3
105	в известном	1	3
106	тому же	3	3
107	в начале	6	3
108	этой поэмы	1	3
109	самого пушкина	3	3
110	не мог	2	3
111	в эту	1	3
112	и сейчас	1	3
113	одном из	1	3
114	по себе	4	3
115	не менее	4	3
116	одной из	1	3
117	не могло	1	3
118	никогда не	5	3
119	на себя	2	3
120	и по	2	3
121	тем что	2	3
122	у нас	1	3
123	оно не	1	3
124	ни у	1	3
125	действующие лица	1	3
126	и здесь	2	3
127	как у	1	3
128	должно было	1	3
129	наконец в	1	3
130	но это	1	3
131	так что	1	3
132	с нею	2	3
133	ни одного	1	3
134	всяком случае	2	3
135	из нее	1	3
136	что на	1	3
137	и даже	8	3
138	в предисловии	1	3
139	еще и	3	3
140	а с	1	3
141	сколько в	1	3
142	другой стороны	5	3
143	не является	5	3
144	другое дело	1	3
145	пушкина он	1	3
146	во всяком	2	3
147	как известно	1	2
148	того же	5	2
149	думал о	1	2
150	тем же	1	2
151	из его	1	2
152	то же	3	2
153	на первом	1	2
154	в полной	1	2
155	действующего лица	2	2
156	в сочетании	3	2
157	далее в	1	2
158	с его	8	2
159	тогда как	20	2
160	тому времени	1	2
161	отличие от	2	2
162	что они	3	2
163	на то	1	2
164	там где	2	2
165	в истории	1	2
166	мере в	2	2
167	и как	4	2
168	по пути	4	2
169	и пушкин	1	2
170	все эти	2	2
171	в этой	6	2
172	в себе	2	2
173	на его	2	2
174	в статье	1	2
175	при этом	11	2
176	если бы	1	2
177	тем не	2	2
178	видел в	1	2
179	первой части	1	2
180	значительной степени	2	2
181	а затем	1	2
182	тем в	1	2
183	его в	3	2
184	это было	1	2
185	на почве	1	2
186	борьбе за	2	2
187	о которых	2	2
188	как и	14	2
189	во внимание	1	2
190	несмотря на	2	2
191	в москве	1	2
192	в один	1	2
193	сочетании с	3	2
194	к истории	1	2
195	с точки	2	2
196	с политической	1	2
197	в отличие	2	2
198	от его	2	2
199	времени не	1	2
200	что было	1	2
201	в устах	1	2
202	даже в	2	2
203	но они	2	2
204	в то	3	2
205	дело не	3	2
206	только не	3	2
207	и теперь	1	2
208	не может	2	2
209	искусства и	1	2
210	к печати	1	2
211	в ее	3	2
212	него самого	1	2
213	и сам	4	2
214	особенно в	1	2
215	к первому	2	2
216	он был	1	2
217	а также	2	2
218	никак не	1	2
219	в значительной	2	2
220	что и	5	2
221	отметить что	1	2
222	судить по	1	2
223	в заключительной	4	2
224	чем он	1	2
225	и дело	1	2
226	этот вопрос	1	2
227	только в	2	2
228	бы ни	1	2
229	по этому	1	2
230	раз в	1	2
231	северной пчелы	1	2
232	очевидно что	2	2
233	в конце	5	2
234	случае не	1	2
235	на меня	2	2
236	может быть	9	2
237	в них	2	2
238	в особенности	3	2
239	со стороны	9	2
240	о своей	2	2
241	обращении к	1	2
242	и др	1	2
243	только к	2	2
244	говорит о	2	2
245	только по	1	2
246	на этот	1	2
247	его как	3	2
248	или с	1	2
249	как говорит	3	2
250	связь с	2	2
251	и потому	2	2
252	как это	3	2
253	по своему	2	2
254	в данном	4	2
255	такого рода	5	2
256	в тех	2	2
257	сравнении с	2	2
258	с этой	1	2
259	ее в	1	2
260	столько в	1	2
261	в результате	5	2
262	не должен	2	2
263	сказать что	2	2
264	вольному воля	1	2
265	совершенно не	2	2
266	и другие	1	2
267	они не	1	2
268	а между	1	1
269	произведения но	1	1
270	остающимся в	1	1
271	северная пчела	1	1
272	сам по	1	1
273	это и	2	1
274	в первом	2	1
275	по преимуществу	2	1
276	и до	1	1
277	не имеют	1	1
278	в зависимости	1	1
279	той же	5	1
280	мы не	3	1
281	и прозаических	1	1
282	в сущности	5	1
283	совпадает с	1	1
284	говорить о	3	1
285	на свою	1	1
286	в составе	2	1
287	еще не	6	1
288	на них	1	1
289	он сам	1	1
290	как мелодрама	1	1
291	столько как	1	1
292	суда над	1	1
293	сомневаться что	1	1
294	б с	1	1
295	о смерти	3	1
296	но как	3	1
297	ответ на	3	1
298	по отношению	7	1
299	отношение к	1	1
300	были глубоко	1	1
301	произведение не	1	1
302	евгений онегин	1	1
303	знакомства с	1	1
304	достаточно обратить	1	1
305	более чем	2	1
306	что во	1	1
307	русского и	1	1
308	независимо от	1	1
309	сцены и	1	1
310	царском селе	1	1
311	такова его	1	1
312	что касается	3	1
313	к обновлению	1	1
314	еще больше	1	1
315	когда он	2	1
316	даже так	1	1
317	говорит что	1	1
318	из письма	1	1
319	силе и	1	1
320	и хотя	1	1
321	для которого	1	1
322	к другому	1	1
323	так или	1	1
324	представляет собой	5	1
325	в ответ	2	1
326	из этих	3	1
327	с тех	1	1
328	всего к	1	1
329	с их	3	1
330	данном контексте	1	1
331	и тот	1	1
332	зависимости от	1	1
333	о ее	1	1
334	главы евгения	1	1
335	что она	2	1
336	не следует	1	1
337	вследствие этого	1	1
338	выше уже	1	1
339	которой не	1	1
340	с именем	1	1
341	и еще	1	1
342	свою собственную	1	1
343	в принципе	2	1
344	не как	2	1
345	например как	2	1
346	в сей	1	1
347	свое время	2	1
348	к тексту	2	1
349	связанных с	1	1
350	те же	2	1
351	говорил об	1	1
352	а по	1	1
353	пушкина являются	1	1
354	заключается в	1	1
355	не умеет	1	1
356	с другими	1	1
357	евгения онегина	1	1
358	этом смысле	1	1
359	роль в	3	1
360	еще одно	1	1
361	основания для	1	1
362	позволяет ему	1	1
363	нет в	1	1
364	а за	1	1
365	воспоминания в	1	1
366	воображения и	1	1
367	на таких	1	1
368	но я	1	1
369	в связь	1	1
370	но если	1	1
371	во второй	7	1
372	от своего	1	1
373	и их	1	1
374	еще предстоит	1	1
375	это делает	1	1
376	место в	1	1
377	говорил о	1	1
378	вплоть до	2	1
379	и той	2	1
380	однако сам	1	1
381	не будем	1	1
382	которые конечно	1	1
383	как драматург	1	1
384	как видим	1	1
385	нас к	1	1
386	несовместимое с	1	1
387	сущности говоря	1	1
388	смешно как	1	1
389	с теми	1	1
390	принадлежат к	1	1
391	одна из	2	1
392	на два	2	1
393	у кого	1	1
394	на него	1	1
395	тех пор	2	1
396	в основе	1	1
397	которого он	2	1
398	героев и	1	1
399	трагедии или	1	1
400	можно судить	1	1
401	и автор	1	1
402	для всего	1	1
403	и без	3	1
404	же время	3	1
405	этих двух	1	1
406	пушкина что	2	1
407	в текст	1	1
408	как будто	1	1
409	в бою	1	1
410	в стиле	1	1
411	и далее	1	1
412	по нашему	1	1
413	в момент	2	1
414	уже о	1	1
415	части являются	1	1
416	не могут	1	1
417	он и	3	1
418	похож на	1	1
419	его за	2	1
420	заметил что	1	1
421	с полной	1	1
422	служить и	1	1
423	в поле	1	1
424	слова с	1	1
425	что при	1	1
426	как мы	1	1
427	в свое	2	1
428	свою очередь	4	1
429	здесь не	3	1
430	данном случае	3	1
431	общения между	1	1
432	только при	1	1
433	были бы	3	1
434	мысль о	3	1
435	реальной действительности	1	1
436	русской поэзии	2	1
437	в пределах	4	1
438	так в	3	1
439	разговора с	1	1
440	не за	1	1
441	не с	2	1
442	именно вследствие	1	1
443	с самим	2	1
444	в борьбе	2	1
445	восходящих к	1	1
446	разного рода	1	1
447	что хотят	1	1
448	поэтому в	2	1
449	жанра в	1	1
450	и всякого	1	1
451	к языку	1	1
452	образом в	1	1
453	со всех	1	1
454	быть ни	1	1
455	именно потому	1	1
456	о в	2	1
457	столь же	4	1
458	пушкина а	2	1
459	голоса в	1	1
460	одного из	1	1
461	под маской	1	1
462	можно сказать	4	1
463	на всех	1	1
464	связь между	1	1
465	что описание	1	1
466	или иначе	1	1
467	от них	1	1
468	три дня	1	1
469	во втором	4	1
470	нуждается в	2	1
471	в форме	2	1
472	поэтического текста	1	1
473	статье о	1	1
474	я был	1	1
475	не случайно	8	1
476	один из	2	1
477	тот же	1	1
478	места в	1	1
479	пушкин мог	1	1
480	с ними	1	1
481	лишь на	3	1
482	сколь бы	1	1
483	будто бы	1	1
484	который в	3	1
485	сколько как	1	1
486	к числу	2	1
487	которых в	1	1
488	том чтобы	1	1
489	не будет	3	1
490	да еще	1	1
491	уже в	3	1
492	от других	1	1
493	совпадения с	1	1
494	последнее утверждение	1	1
495	нее в	1	1
496	одно из	1	1
497	себе в	1	1
498	ведь это	1	1
499	могло бы	1	1
500	не для	2	1
501	а в	10	1
502	относится не	1	1
503	не о	1	1
504	мы можем	2	1
505	у него	1	1
506	никакой надобности	1	1
507	сюжетное движение	1	1
508	в каждом	3	1
509	новым словом	1	1
510	следует подчеркнуть	1	1
511	однако что	4	1
512	за пределы	1	1
513	к которому	1	1
514	журнале благонамеренный	1	1
515	себя и	1	1
516	в живых	1	1
517	из наиболее	1	1
518	за год	1	1
519	мы и	1	1
520	одну из	2	1
521	литература в	1	1
522	его собственной	1	1
523	на эту	2	1
524	жизнь в	1	1
525	в связи	1	1
526	известные ему	1	1
527	в пушкинском	2	1
