N	3gram	Nazirov_Tr_1	Problema
1	и т п	1	13
2	не может быть	1	11
3	в отличие от	2	5
4	в высшей степени	1	5
5	в данном случае	2	4
6	в самом деле	1	3
7	в применении к	1	3
8	то же время	5	3
9	в том что	2	3
10	в то же	5	3
11	тем не менее	1	3
12	и не может	1	2
13	и в частности	2	2
14	не могут быть	1	2
15	так и в	3	2
16	в известной степени	1	2
17	а между тем	1	1
18	и теперь еще	1	1
19	вообще не имеет	1	1
20	во всех видах	1	1
21	хотя бы и	1	1
22	и должна быть	1	1
23	но несмотря на	1	1
24	в известной мере	1	1
25	отнюдь не является	1	1
26	может быть понят	1	1
27	отношение к нему	1	1
28	бы и в	1	1
29	принципиальный отказ от	1	1
30	но в то	2	1
31	смысле этого слова	1	1
32	и должно быть	1	1
33	и в этом	1	1
34	по сравнению с	1	1
35	и как бы	2	1
36	необходимо подчеркнуть что	1	1
37	в связи с	1	1
38	первого же взгляда	1	1
39	уже не к	1	1
40	это и есть	1	1
41	она как бы	1	1
42	без которой не	1	1
43	и в самом	2	1
44	быть отнесены к	1	1
45	это как бы	1	1
46	к тому что	1	1
47	как и в	1	1
48	отметить что в	1	1
49	с первого же	2	1
