N	2gram	Savitsky_E_1	Istorich
1	и в	37	28
2	и т	1	25
3	может быть	6	25
4	т д	1	22
5	а не	2	15
6	не может	9	15
7	никогда не	3	14
8	мы должны	2	13
9	для нас	4	13
10	то же	15	12
11	не только	18	12
12	что в	21	12
13	мы видим	2	11
14	только в	9	11
15	мы не	4	10
16	все же	1	10
17	и что	2	10
18	мы увидим	1	10
19	но и	14	10
20	прежде всего	9	10
21	т е	9	10
22	не в	5	9
23	так и	10	9
24	о том	3	9
25	то что	6	9
26	в том	11	9
27	и не	14	9
28	в этом	12	8
29	но в	14	8
30	что это	2	8
31	таким образом	2	8
32	если бы	2	8
33	в ней	4	7
34	этот вопрос	2	7
35	что мы	1	7
36	так же	9	7
37	том что	6	7
38	было бы	8	7
39	в этих	2	7
40	а в	2	7
41	в этой	2	6
42	не менее	1	6
43	к тому	8	6
44	что и	3	6
45	вслед за	6	6
46	так как	7	6
47	в исторической	1	6
48	с другой	7	6
49	вместе с	2	6
50	когда он	3	6
51	например в	1	5
52	должна быть	2	5
53	вопрос о	4	5
54	мы будем	1	5
55	в своем	14	5
56	более или	1	5
57	увидим что	1	5
58	в силу	2	5
59	или менее	1	5
60	на основе	2	5
61	можно было	3	5
62	в его	2	5
63	но не	5	5
64	в качестве	14	5
65	в одном	2	5
66	к которому	1	5
67	или в	2	5
68	сказать что	4	5
69	другой стороны	2	5
70	ее в	3	5
71	и даже	6	4
72	и для	3	4
73	и на	6	4
74	между собой	2	4
75	то мы	1	4
76	чем это	1	4
77	с этим	2	4
78	представляет собой	3	4
79	все эти	1	4
80	на то	6	4
81	но все	1	4
82	об этом	1	4
83	и с	2	4
84	с тем	3	4
85	как и	7	4
86	даже в	4	4
87	в основе	1	4
88	связи с	1	4
89	должны быть	1	4
90	в пределах	25	4
91	означает что	1	4
92	того что	7	4
93	с одной	8	4
94	потому что	3	4
95	в большинстве	2	4
96	большинстве случаев	3	4
97	мы знаем	1	4
98	к ним	3	4
99	а именно	2	4
100	пока ты	1	4
101	один из	1	4
102	связь с	1	4
103	установить что	1	4
104	одной стороны	8	4
105	могут быть	2	4
106	там где	3	4
107	друг с	3	4
108	как будто	2	4
109	в связи	1	4
110	это так	3	4
111	хотя бы	15	4
112	но это	1	4
113	обстоит дело	3	4
114	и другие	1	4
115	также и	7	3
116	чтобы не	1	3
117	мы здесь	1	3
118	исходит из	1	3
119	время как	1	3
120	то это	1	3
121	видели что	1	3
122	по отношению	1	3
123	могли бы	1	3
124	при этом	1	3
125	не как	1	3
126	и по	5	3
127	на этом	1	3
128	из них	3	3
129	в котором	2	3
130	в их	11	3
131	выше мы	1	3
132	по себе	4	3
133	в то	16	3
134	дело в	3	3
135	с другом	3	3
136	есть только	1	3
137	утверждать что	2	3
138	как мы	5	3
139	бы дать	1	3
140	для этого	1	3
141	или на	1	3
142	связь между	1	3
143	в которую	1	3
144	ли он	1	3
145	в какой	2	3
146	во всем	1	3
147	в стороне	3	3
148	случаи когда	1	3
149	и его	1	3
150	уже не	1	3
151	не можем	2	3
152	если мы	1	3
153	следовало бы	2	3
154	в начале	1	3
155	и их	1	3
156	то время	1	3
157	тем что	3	3
158	именно в	4	3
159	как это	4	3
160	наряду с	2	3
161	что же	2	3
162	к сожалению	1	3
163	с природой	1	2
164	же как	5	2
165	мы привели	1	2
166	и потому	5	2
167	вопрос мы	1	2
168	оно может	1	2
169	из всех	3	2
170	что если	2	2
171	большую роль	1	2
172	а для	1	2
173	в некотором	4	2
174	когда мы	1	2
175	на них	2	2
176	столь же	5	2
177	бы то	4	2
178	во всех	6	2
179	точка зрения	2	2
180	значение и	1	2
181	отличие от	1	2
182	относится к	1	2
183	как в	3	2
184	однако не	1	2
185	и как	2	2
186	от этого	5	2
187	производства в	2	2
188	он в	1	2
189	в тех	1	2
190	которые в	1	2
191	не более	3	2
192	и тот	1	2
193	в себе	9	2
194	во многих	4	2
195	и если	2	2
196	как оно	2	2
197	в нем	1	2
198	он не	2	2
199	всех этих	1	2
200	это один	1	2
201	то ни	4	2
202	а затем	1	2
203	при помощи	2	2
204	и мы	3	2
205	и тем	3	2
206	мы видели	3	2
207	здесь можно	1	2
208	должно быть	1	2
209	для него	1	2
210	но если	5	2
211	в такой	1	2
212	в отличие	1	2
213	но они	1	2
214	эти две	1	2
215	и другое	1	2
216	тогда когда	2	2
217	одна из	1	2
218	по своей	2	2
219	не могут	2	2
220	всего в	2	2
221	в области	11	2
222	не есть	2	2
223	отказаться от	1	2
224	на вопрос	1	2
225	всех случаях	3	2
226	в ее	8	2
227	мысль о	1	2
228	и когда	1	2
229	еще в	1	2
230	поэтому в	1	2
231	с ним	1	2
232	в глубине	1	2
233	не выходит	1	2
234	нас в	1	2
235	между тем	8	2
236	во всей	2	2
237	и только	3	2
238	в ту	1	2
239	мы хотим	1	2
240	большей или	1	2
241	с той	1	2
242	но так	1	2
243	тот же	1	2
244	одной из	5	2
245	дело с	1	2
246	этих народов	3	2
247	по этому	1	2
248	для всех	1	2
249	то и	1	2
250	ни было	4	2
251	борьбы с	1	2
252	это значение	1	2
253	в данной	3	2
254	был бы	1	2
255	вовсе не	6	2
256	само по	4	2
257	со стороны	5	2
258	даже не	1	2
259	которые можно	1	2
260	с ней	1	2
261	один и	1	2
262	что не	1	2
263	говорит о	3	2
264	в некоторых	2	2
265	связано с	3	2
266	на этот	2	2
267	же обстоит	1	2
268	не на	4	2
269	не означает	2	2
270	зависит от	1	2
271	конечно не	1	2
272	этих случаях	1	2
273	как бы	6	2
274	некоторое время	1	2
275	рассматривать как	1	2
276	вопрос в	1	2
277	и от	3	2
278	бы в	2	2
279	или меньшей	1	2
280	не дает	3	2
281	между ними	2	2
282	в рамках	1	2
283	в виде	5	2
284	в частности	5	2
285	можно назвать	1	2
286	также что	1	1
287	речь идет	1	1
288	в русских	1	1
289	связана с	1	1
290	и то	2	1
291	сомнения что	1	1
292	отметим что	1	1
293	добавить что	1	1
294	не делает	1	1
295	тех же	1	1
296	но тем	1	1
297	ту же	1	1
298	которую они	1	1
299	в глубь	1	1
300	те же	1	1
301	противном случае	1	1
302	ведь и	2	1
303	помощи которого	1	1
304	и этот	2	1
305	есть не	2	1
306	из всего	1	1
307	которую мы	5	1
308	та же	1	1
309	берегу моря	1	1
310	ответить на	1	1
311	ее частей	1	1
312	есть нечто	1	1
313	говорить о	1	1
314	историческое явление	1	1
315	народы как	1	1
316	этот факт	3	1
317	на себя	3	1
318	и народов	3	1
319	в полной	4	1
320	но даже	4	1
321	бы с	1	1
322	меньшей степени	2	1
323	об их	1	1
324	изменение в	1	1
325	вступлении в	1	1
326	время в	3	1
327	и всего	1	1
328	но как	2	1
329	древнего египта	1	1
330	в сторону	2	1
331	только тогда	1	1
332	более как	1	1
333	или иное	1	1
334	явление которое	1	1
335	отнюдь не	9	1
336	к какой	1	1
337	как по	1	1
338	в истории	2	1
339	отдельных стран	1	1
340	независимо от	4	1
341	поскольку они	2	1
342	дает нам	1	1
343	стороны и	6	1
344	стран и	1	1
345	что как	1	1
346	вспомним что	1	1
347	как нам	5	1
348	помнить что	2	1
349	в противном	1	1
350	в полном	1	1
351	целый ряд	2	1
352	и к	3	1
353	имеет в	2	1
354	в этот	1	1
355	страх перед	1	1
356	то в	4	1
357	мы получаем	1	1
358	в нашем	1	1
359	связанного с	1	1
360	упирается в	1	1
361	но его	1	1
362	тому же	1	1
363	это потому	1	1
364	мнение что	1	1
365	ли для	1	1
366	в свет	1	1
367	жизни вообще	1	1
368	своем развитии	1	1
369	экономическое развитие	2	1
370	к некоторому	1	1
371	на одну	2	1
372	и еще	2	1
373	или иному	2	1
374	какой бы	2	1
375	и будет	1	1
376	мы говорили	1	1
377	или иных	1	1
378	с такими	1	1
379	мы устанавливаем	1	1
380	значительной степени	1	1
381	культуры но	2	1
382	главным образом	2	1
383	в совершенно	1	1
384	же касается	1	1
385	том случае	1	1
386	которая при	1	1
387	на ту	1	1
388	около этого	1	1
389	того или	4	1
390	подходит к	2	1
391	эту же	1	1
392	окажется что	2	1
393	этом смысле	3	1
394	не служит	4	1
395	прибавим от	1	1
396	в жизни	1	1
397	кажется что	2	1
398	о характере	1	1
399	в них	3	1
400	ли за	1	1
401	соответствии с	1	1
402	пребывает в	1	1
403	дело идет	2	1
404	на основании	2	1
405	чем в	4	1
406	и некоторые	3	1
407	перед собой	1	1
408	не значит	1	1
409	в эту	2	1
410	и сейчас	2	1
411	в своей	8	1
412	как некую	1	1
413	лежат в	4	1
414	в южной	1	1
415	она в	3	1
416	представление о	2	1
417	в которых	3	1
418	от себя	1	1
419	для всякого	1	1
420	одном из	2	1
421	вплоть до	1	1
422	друг другу	1	1
423	войти в	1	1
424	и наоборот	1	1
425	тому чтобы	2	1
426	из числа	4	1
427	условия и	1	1
428	это вопрос	1	1
429	нас к	2	1
430	тому что	1	1
431	в отношении	32	1
432	можно ли	3	1
433	культурной жизни	4	1
434	что эта	1	1
435	она не	2	1
436	с теми	1	1
437	она никогда	1	1
438	и притом	4	1
439	можно судить	1	1
440	того чтобы	6	1
441	производства как	1	1
442	если ему	1	1
443	это мы	1	1
444	вопрос не	2	1
445	и культурной	1	1
446	именно с	1	1
447	продукты которые	1	1
448	можно усмотреть	1	1
449	к концу	1	1
450	к ней	4	1
451	на себе	1	1
452	связь и	1	1
453	заметить что	2	1
454	сев америки	2	1
