N	3gram	Propp_Morf_1	FransuaR
1	для того чтобы	2	6
2	в том что	3	6
3	в этом отношении	1	5
4	в связи с	8	5
5	а также и	3	4
6	до известной степени	1	4
7	на самом деле	4	4
8	до сих пор	1	3
9	связи с этим	4	3
10	в чем же	1	2
11	здесь перед нами	1	2
12	с точки зрения	2	2
13	о том как	1	2
14	в данном случае	1	2
15	в то время	3	2
16	не может быть	9	2
17	можно сказать что	1	2
18	в большинстве случаев	3	2
19	мы видим что	9	2
20	друг с другом	1	2
21	здесь как и	1	2
22	но кроме того	1	1
23	хотя и не	1	1
24	мы видим таким	1	1
25	под углом зрения	1	1
26	потому что в	1	1
27	далеко не все	3	1
28	по отношению к	4	1
29	это нисколько не	1	1
30	и как таковой	1	1
31	и где начинается	1	1
32	на этом кончается	1	1
33	заметить что в	1	1
34	сих пор не	1	1
35	тем что она	1	1
36	ни в коем	1	1
37	независимо от того	3	1
38	то что в	2	1
39	но это не	1	1
40	так например в	1	1
41	может быть и	2	1
42	в коем случае	1	1
43	они и были	1	1
44	ничего не получает	1	1
45	и в этой	1	1
46	в одном случае	1	1
47	для этой цели	1	1
48	со всеми другими	1	1
49	является одним из	1	1
50	был совершенно убежден	1	1
51	то перед нами	5	1
52	едой и питьем	1	1
53	гете прежде всего	1	1
54	оно по существу	1	1
55	и таким образом	2	1
56	дается в форме	1	1
57	как таковой он	1	1
58	мы не можем	1	1
59	как и в	2	1
60	того чтобы получить	1	1
61	на этом основании	1	1
62	о том что	1	1
63	видим таким образом	1	1
64	мы выделили в	1	1
65	видим что в	1	1
66	в другом случае	1	1
67	после того как	1	1
68	она дается в	1	1
69	тем не менее	4	1
70	что и в	1	1
71	тем как в	1	1
