N	2gram	Tiupa_Narr_1	EvropaiC
1	таким образом	1	32
2	в том	8	31
3	и в	11	24
4	том что	7	20
5	не может	8	18
6	то что	9	17
7	может быть	15	15
8	все же	4	15
9	точки зрения	5	13
10	самом деле	3	12
11	в своем	3	12
12	до сих	2	12
13	в этом	12	12
14	сих пор	2	12
15	с этим	1	11
16	между тем	3	11
17	все это	1	11
18	во всех	1	10
19	по отношению	3	10
20	так и	5	10
21	как бы	6	10
22	отношению к	3	10
23	все что	2	10
24	того же	1	9
25	на то	2	9
26	при этом	19	9
27	как и	13	9
28	с другом	1	9
29	друг с	1	9
30	в результате	2	9
31	что в	3	9
32	в самом	6	8
33	чем у	1	8
34	с точки	1	8
35	не в	6	8
36	ясно что	1	8
37	если бы	7	8
38	так же	1	8
39	и все	3	8
40	на самом	1	7
41	из этих	4	7
42	в силу	1	7
43	или менее	1	7
44	не менее	3	7
45	того чтобы	4	7
46	по своей	1	7
47	к тому	6	7
48	для этого	1	7
49	о том	4	7
50	что он	3	7
51	для того	3	7
52	но и	27	7
53	и не	23	7
54	более или	1	7
55	о котором	1	7
56	в каждый	1	6
57	начало и	3	6
58	еще не	4	6
59	и на	5	6
60	тогда как	10	6
61	что касается	2	6
62	в этой	6	6
63	в мире	4	6
64	в сознании	4	6
65	от друга	1	6
66	с ним	2	6
67	что и	1	6
68	народов и	1	6
69	того что	4	6
70	только в	12	6
71	все они	1	6
72	так как	1	6
73	мы можем	2	6
74	друг от	1	6
75	с другой	2	6
76	вместе с	2	6
77	отличается от	1	6
78	у них	1	6
79	между двумя	5	5
80	из всех	1	5
81	столь же	5	5
82	и к	1	5
83	но в	7	5
84	в которой	1	5
85	что это	1	5
86	в целом	3	5
87	в себе	6	5
88	тому же	6	5
89	не только	31	5
90	но все	1	5
91	не будет	2	5
92	и с	3	5
93	лишь в	3	5
94	его в	1	5
95	в то	4	5
96	как будто	3	5
97	в его	6	5
98	потому что	5	5
99	у него	7	5
100	именно в	3	5
101	далеко не	1	5
102	другой стороны	2	5
103	по своему	2	5
104	быть и	2	5
105	и для	2	5
106	и от	2	5
107	случае если	1	5
108	к этому	1	5
109	одним из	1	4
110	и то	3	4
111	то же	8	4
112	мы уже	1	4
113	та же	2	4
114	из того	1	4
115	между собой	2	4
116	отношение к	1	4
117	хотя и	4	4
118	ни один	1	4
119	он не	3	4
120	в одну	1	4
121	том случае	1	4
122	из них	4	4
123	иначе говоря	8	4
124	и конец	3	4
125	в их	1	4
126	оказывается что	1	4
127	тем не	3	4
128	из которых	1	4
129	что эта	1	4
130	связи с	2	4
131	никогда не	4	4
132	и т.д	6	4
133	выше и	1	4
134	и у	1	4
135	а потому	1	4
136	в конце	2	4
137	в области	2	4
138	а с	1	4
139	течением времени	1	4
140	которых мы	1	4
141	в европейской	1	4
142	хотя бы	2	4
143	совершенно не	1	4
144	в таком	2	4
145	как известно	3	3
146	же как	1	3
147	национальной и	1	3
148	не вполне	2	3
149	но даже	1	3
150	в данном	11	3
151	мы будем	1	3
152	которые не	1	3
153	целый ряд	1	3
154	и наконец	1	3
155	в нашем	3	3
156	в тех	1	3
157	в нем	4	3
158	на земле	1	3
159	и по	1	3
160	это не	3	3
161	в жизни	3	3
162	с тем	1	3
163	и того	2	3
164	одного и	1	3
165	в этих	2	3
166	даже в	1	3
167	освободиться от	1	3
168	для нас	1	3
169	во всем	1	3
170	за ними	3	3
171	у нас	3	3
172	как для	1	3
173	то ни	1	3
174	данном случае	8	3
175	и вообще	1	3
176	с одной	1	3
177	то они	2	3
178	подлежит сомнению	1	3
179	различия между	1	3
180	тот же	1	3
181	даже если	1	3
182	в начале	3	3
183	различия в	1	3
184	может служить	3	3
185	каждый из	2	3
186	отличие от	2	3
187	как у	2	3
188	прежде всего	4	3
189	в связи	2	3
190	и потому	1	3
191	случаях когда	1	3
192	не подлежит	2	3
193	ее и	1	3
194	не то	1	3
195	тем более	1	3
196	только что	2	3
197	а в	13	3
198	что мы	2	3
199	тех же	1	2
200	в котором	1	2
201	и до	1	2
202	со своей	1	2
203	по его	1	2
204	также и	3	2
205	и состоит	4	2
206	в сущности	2	2
207	а для	3	2
208	с ее	2	2
209	и ее	3	2
210	мы и	1	2
211	в ней	4	2
212	свою очередь	2	2
213	двух или	2	2
214	бы то	1	2
215	тем как	1	2
216	во всяком	2	2
217	но как	3	2
218	же мало	1	2
219	и где	1	2
220	то в	4	2
221	в общий	1	2
222	но на	1	2
223	что она	1	2
224	то есть	9	2
225	нашем случае	1	2
226	в глазах	3	2
227	только одно	1	2
228	со своими	1	2
229	и уже	1	2
230	мы видели	1	2
231	в один	1	2
232	представить себе	1	2
233	можно ли	1	2
234	в которых	1	2
235	точку зрения	1	2
236	тому что	1	2
237	она не	2	2
238	тем самым	5	2
239	одна из	4	2
240	вся его	1	2
241	невозможно но	1	2
242	этих двух	2	2
243	заключает в	2	2
244	что на	4	2
245	всех прочих	1	2
246	понять что	1	2
247	имеет место	4	2
248	если же	1	2
249	о них	3	2
250	должен быть	1	2
251	как мы	2	2
252	как не	1	2
253	быть вполне	1	2
254	на том	1	2
255	и сам	1	2
256	что у	4	2
257	на нее	1	2
258	из одного	1	2
259	в виду	1	2
260	сводится к	3	2
261	в другом	1	2
262	же время	4	2
263	к нему	4	2
264	во втором	6	2
265	они могут	2	2
266	между этими	1	2
267	жизни и	6	2
268	этом что	1	2
269	то и	1	2
270	ни было	1	2
271	для него	4	2
272	всяком случае	2	2
273	к ним	2	2
274	при отсутствии	2	2
275	которые могут	1	2
276	и только	2	2
277	не было	3	2
278	однако это	1	2
279	что для	1	2
280	по тем	1	2
281	одной стороны	1	2
282	одну из	1	2
283	отнюдь не	2	2
284	ближе к	1	2
285	в частности	14	2
286	но не	4	2
287	в точке	1	2
288	только то	1	2
289	при условии	1	2
290	к двум	2	2
291	ни для	1	2
292	но для	3	2
293	при таком	1	2
