N	3gram	Vinokur_Vv_1	VeschiIm
1	и т д	37	20
2	не может быть	8	18
3	бы то ни	1	9
4	то ни было	1	9
5	не что иное	4	8
6	что иное как	4	8
7	т д и	1	7
8	т е в	4	7
9	в том что	12	6
10	по крайней мере	4	6
11	в чем же	3	5
12	и то же	1	5
13	есть не что	2	5
14	тем не менее	8	5
15	в свою очередь	1	5
16	одно и то	1	5
17	от того что	1	4
18	т е не	2	4
19	и то что	2	4
20	не только в	4	4
21	в то же	5	4
22	то же время	5	4
23	с точки зрения	2	4
24	подобно тому как	1	3
25	сам по себе	1	3
26	из того что	1	3
27	тем что не	2	3
28	значит не только	1	3
29	но что такое	1	3
30	можно было бы	3	3
31	только то что	1	3
32	в самом деле	5	3
33	вместе с тем	3	3
34	сама по себе	3	3
35	в собственном смысле	2	3
36	само по себе	3	3
37	можно говорить о	1	2
38	заключается в том	3	2
39	так или иначе	4	2
40	можно сказать что	3	2
41	нужно было бы	1	2
42	что в ней	1	2
43	не есть еще	1	2
44	что это есть	1	2
45	к тому что	1	2
46	в первом случае	2	2
47	этой точки зрения	1	2
48	а так как	2	2
49	то без чего	1	2
50	дело в том	2	2
51	а есть только	1	2
52	в данном случае	4	2
53	с этой точки	1	2
54	о том что	12	1
55	а в том	1	1
56	со стороны ее	1	1
57	а потому что	1	1
58	в общем итоге	1	1
59	в этом смысле	10	1
60	так же как	1	1
61	вопрос о том	5	1
62	только тогда когда	1	1
63	в ней есть	1	1
64	с одной стороны	4	1
65	до бесконечности все	1	1
66	нисколько не мешает	1	1
67	прежде всего к	1	1
68	в одном и	1	1
69	не просто как	1	1
70	это значит не	1	1
71	и не в	1	1
72	д таким образом	1	1
73	смысле этого слова	2	1
74	это однако не	2	1
75	раз уж мы	1	1
76	не есть и	1	1
77	бы оно было	1	1
78	в и в	1	1
79	но в то	3	1
80	также и то	1	1
81	и в результате	1	1
82	на вопрос о	4	1
83	тут нет еще	1	1
84	когда мы говорим	1	1
85	и даже просто	1	1
86	в этом случае	6	1
87	сам для себя	1	1
88	не потому что	1	1
89	в конце концов	2	1
90	тех или иных	3	1
91	с другой стороны	5	1
92	может быть и	2	1
93	до сих пор	5	1
94	это может быть	1	1
95	и в этом	3	1
96	то что у	1	1
97	хотя бы и	2	1
98	как это было	1	1
99	но также и	9	1
100	от целого к	1	1
101	и прежде всего	1	1
102	и того же	2	1
103	чем же отличие	1	1
104	есть только один	1	1
105	что несмотря на	2	1
106	того что в	1	1
107	и со стороны	1	1
108	и тем не	3	1
109	т д все	2	1
110	одного и того	2	1
111	не значит что	1	1
112	ответ на вопрос	2	1
113	как она есть	2	1
114	быть и речи	1	1
115	в применении к	6	1
116	ни к какому	1	1
117	одной стороны и	3	1
118	этом смысле и	1	1
119	так что мы	1	1
120	какой бы то	1	1
121	то что можно	1	1
122	с полной ясностью	1	1
123	но все же	3	1
124	т д хотя	1	1
125	в зависимости от	1	1
126	только потому что	1	1
127	потому что он	2	1
128	и что это	1	1
129	же это не	1	1
130	т д в	2	1
131	если бы оно	1	1
132	и говорить о	1	1
133	с этой стороны	1	1
134	в том чтобы	5	1
135	в принципиальном смысле	2	1
136	имеет дело с	2	1
137	для того чтобы	21	1
138	в подлинном смысле	1	1
139	е не только	1	1
140	он должен быть	1	1
141	д все это	1	1
142	что не только	1	1
143	не в том	2	1
144	не то что	1	1
145	потому что она	1	1
146	т е на	1	1
147	т д таким	1	1
148	во всяком случае	3	1
149	нужно сказать что	1	1
150	бы и не	1	1
151	между ними в	1	1
152	на то или	1	1
153	все же это	1	1
154	как раз в	1	1
155	имеется в виду	1	1
