N	2gram	Kanaev_Sov_1	Myslijsy
1	для нас	3	31
2	и в	7	24
3	может быть	12	23
4	и не	6	19
5	в том	4	18
6	а не	3	18
7	что в	2	16
8	не только	4	15
9	по себе	1	15
10	того же	1	14
11	при этом	3	13
12	не в	3	13
13	было бы	3	13
14	то же	3	12
15	но не	1	12
16	мы можем	6	12
17	не может	17	12
18	мы не	9	11
19	таким образом	11	11
20	вместе с	4	11
21	если бы	1	11
22	только в	1	11
23	в себе	3	10
24	так как	4	10
25	независимо от	1	9
26	в нем	3	9
27	вовсе не	1	9
28	то и	2	9
29	как бы	4	9
30	в этом	7	8
31	том что	1	8
32	могут быть	2	8
33	а в	4	8
34	во всех	1	7
35	с этим	2	7
36	как и	6	7
37	всяком случае	2	7
38	зрения и	1	7
39	или же	2	7
40	не могут	2	7
41	прежде всего	5	7
42	сами по	1	7
43	во всяком	2	7
44	между двумя	1	6
45	тем не	2	6
46	в то	1	6
47	не имеет	1	6
48	связи с	1	6
49	свою очередь	2	6
50	и только	1	6
51	не можем	7	6
52	в одном	3	6
53	с другой	1	6
54	не было	1	6
55	в свою	2	6
56	все же	3	5
57	уже в	3	5
58	есть не	1	5
59	не менее	2	5
60	по крайней	1	5
61	с ним	1	5
62	о том	1	5
63	а потому	1	5
64	крайней мере	1	5
65	тот же	2	5
66	из них	4	5
67	в природе	1	5
68	и их	1	5
69	же в	1	5
70	в которой	2	5
71	к другому	1	4
72	в самом	2	4
73	еще не	3	4
74	но в	3	4
75	уже не	2	4
76	из этих	2	4
77	только один	2	4
78	как он	3	4
79	так сказать	2	4
80	и если	1	4
81	заключает в	1	4
82	такой же	2	4
83	сих пор	1	4
84	они не	1	4
85	одна из	3	4
86	сравнительно с	1	4
87	в некоторых	2	4
88	так в	1	4
89	никогда не	1	4
90	и что	2	4
91	с одной	2	4
92	до сих	1	4
93	там где	1	4
94	это последнее	1	4
95	в таком	2	4
96	человека и	1	3
97	но тем	1	3
98	тем же	2	3
99	той же	2	3
100	мы называем	3	3
101	что его	1	3
102	если в	1	3
103	хотя и	1	3
104	что это	2	3
105	в целом	4	3
106	что она	3	3
107	человека в	1	3
108	и может	1	3
109	его в	1	3
110	это не	4	3
111	рядом с	1	3
112	и тогда	1	3
113	в эту	1	3
114	и при	1	3
115	себе в	1	3
116	ни было	1	3
117	в ней	1	3
118	мысли в	1	3
119	если мы	4	3
120	те же	1	3
121	том как	1	3
122	мы в	1	3
123	и вообще	1	3
124	но мы	3	3
125	и во	2	3
126	как например	1	3
127	и у	1	3
128	искать в	1	3
129	от другого	1	3
130	на ней	1	3
131	одной стороны	1	3
132	мы говорим	1	3
133	но это	1	3
134	и для	1	3
135	и от	1	3
136	и все	3	3
137	или нет	1	3
138	все что	1	3
139	ли мы	3	2
140	самом деле	2	2
141	на самом	1	2
142	и есть	2	2
143	нас на	1	2
144	на две	3	2
145	не имеют	1	2
146	вопрос о	4	2
147	с его	1	2
148	совсем не	1	2
149	по отношению	1	2
150	в действительности	1	2
151	все эти	5	2
152	в нашем	2	2
153	и тот	1	2
154	одной и	1	2
155	и по	2	2
156	на этом	2	2
157	но все	2	2
158	в каждом	8	2
159	факт что	1	2
160	в другом	1	2
161	же путем	1	2
162	может стать	1	2
163	само собою	3	2
164	этого не	1	2
165	мы знаем	2	2
