N	2gram	Vygotskiy__1	BTomashe
1	и не	9	2
2	все это	6	2
3	в ней	1	2
4	можно было	3	2
5	не то	1	2
6	крайней мере	1	1
7	более что	1	1
8	за пределы	2	1
9	тем более	5	1
10	остановиться на	1	1
11	говорить о	2	1
12	книги в	2	1
13	об этом	3	1
14	и в	23	1
15	не вполне	1	1
16	в речи	2	1
17	со всем	2	1
18	что все	4	1
19	с другой	10	1
20	в своей	4	1
21	значение слова	5	1
22	своей книге	1	1
23	теоретической и	1	1
24	на самом	1	1
25	на которой	2	1
26	как будто	1	1
27	сейчас в	1	1
28	точно и	2	1
29	было бы	4	1
30	от значения	1	1
31	все же	3	1
32	всяком случае	3	1
33	свести к	3	1
34	кроме того	1	1
35	никак не	1	1
36	между ними	2	1
37	еще не	1	1
38	и на	8	1
39	представляется нам	1	1
40	по нашему	1	1
41	одной из	1	1
42	систематического изложения	1	1
43	в значительной	2	1
44	прежде всего	10	1
45	в данном	2	1
46	так и	5	1
47	не было	1	1
48	то как	1	1
49	в книге	1	1
50	его не	3	1
51	является только	1	1
52	говоря такого	1	1
53	совершенно не	1	1
54	как таковому	2	1
55	всего в	2	1
56	до конца	1	1
57	этой книги	1	1
58	почти совершенно	1	1
59	а не	3	1
60	в научном	1	1
61	что в	14	1
62	в области	3	1
63	другой стороны	9	1
64	стороны изучение	1	1
65	также не	2	1
66	и ее	7	1
67	по крайней	1	1
68	отнюдь не	1	1
69	короче говоря	2	1
70	таким образом	26	1
71	вопрос о	7	1
72	и более	5	1
73	и потому	2	1
74	не только	16	1
75	значительной степени	2	1
76	и исторической	1	1
77	во всяком	3	1
