N	3gram	Berdyaev_N_1	Myslijsy
1	заключает в себе	1	8
2	в том что	1	7
3	о том что	1	5
4	не может быть	4	5
5	до сих пор	1	4
6	в том случае	1	3
7	когда мы говорим	2	3
8	вместе с тем	2	3
9	во всяком случае	1	3
10	подобно тому как	3	2
11	не было и	1	2
12	в большинстве случаев	1	2
13	вопрос о том	2	2
14	равно как и	2	2
15	и это есть	1	2
16	в том смысле	1	2
17	в своем развитии	1	2
18	только потому что	1	2
19	сами по себе	1	2
20	не могут быть	1	2
21	то что в	1	2
22	в том и	2	2
23	не в том	1	2
24	это не значит	2	2
25	и до сих	1	2
26	с одной стороны	2	1
27	но это есть	1	1
28	но нет и	1	1
29	нужно помнить что	1	1
30	в мире а	1	1
31	мысли но в	1	1
32	конечно не в	1	1
33	и не в	1	1
34	что в нем	2	1
35	с другой стороны	2	1
36	еще не было	1	1
37	лицом к лицу	3	1
38	как и в	1	1
39	и того же	1	1
40	большую роль в	2	1
41	том случае если	1	1
42	в том чтобы	1	1
43	и не может	1	1
44	лишь в том	1	1
45	смысле в каком	1	1
46	одного и того	1	1
47	в том числе	1	1
48	которые могут быть	1	1
49	может быть только	1	1
50	свободы и счастья	1	1
51	и вместе с	1	1
52	что совершается в	1	1
53	то что совершается	1	1
54	со всех сторон	3	1
55	сказать что все	1	1
56	но и в	1	1
57	том числе и	1	1
58	никогда еще не	1	1
59	и быть не	1	1
60	быть не может	1	1
61	а не в	1	1
62	потому что не	1	1
63	том смысле в	1	1
64	мы говорим что	1	1
65	мы говорим о	1	1
66	есть всегда процесс	1	1
67	в то время	1	1
