N	3gram	Trubetskoy_1	Sovremen
1	с точки зрения	8	5
2	в зависимости от	1	4
3	не может быть	3	4
4	не может не	3	3
5	мы видели что	1	3
6	с самого начала	1	3
7	тем не менее	4	2
8	друг с другом	9	2
9	во всяком случае	2	2
10	в свою очередь	2	2
11	не подлежит сомнению	3	2
12	может быть и	4	2
13	в настоящее время	2	2
14	то же самое	1	2
15	с одной и	1	1
16	и может быть	2	1
17	по крайней мере	1	1
18	уже знаем что	1	1
19	это не более	1	1
20	приспособления к среде	1	1
21	не в том	1	1
22	бы все это	1	1
23	в связи с	3	1
24	дело в том	1	1
25	по отношению к	9	1
26	то ни другое	1	1
27	на самом деле	7	1
28	и до сих	1	1
29	и той же	1	1
30	так же как	3	1
31	теперь мы должны	1	1
32	в этом случае	4	1
33	шаг за шагом	1	1
34	а потом и	1	1
35	с и т.д	1	1
36	до сих пор	8	1
37	и что следовательно	1	1
38	то же время	2	1
39	в первое время	1	1
40	тот или иной	1	1
41	они не могут	1	1
42	представление о том	1	1
43	все они одинаково	1	1
44	друг на друга	1	1
45	бы то ни	2	1
46	а может быть	1	1
47	таким образом все	1	1
48	мы не знаем	1	1
49	заключают в себе	1	1
50	совершенно так же	4	1
51	заключает в себе	2	1
52	можно было бы	1	1
53	и не может	1	1
54	в самом деле	5	1
55	по его мнению	1	1
56	но все же	2	1
57	мы знаем что	7	1
58	не более как	2	1
59	но мы знаем	1	1
60	ни то ни	1	1
61	в том случае	4	1
62	в то же	2	1
63	мы видим что	1	1
64	важную роль в	1	1
65	одной и той	1	1
66	что все они	1	1
67	все это делает	1	1
68	мы уже знаем	1	1
69	в том что	15	1
70	в этой области	4	1
71	в данном случае	3	1
72	может не быть	1	1
73	и у нас	1	1
74	то ни было	2	1
75	же самое что	1	1
76	с одной стороны	2	1
77	именно в том	1	1
78	что каждый раз	1	1
79	тот факт что	4	1
