N	3gram	Ircho_Kome_2	Formalny
1	с точки зрения	1	13
2	то же время	3	8
3	в то же	3	8
4	более или менее	1	6
5	до сих пор	2	6
6	в свою очередь	1	6
7	не может быть	1	5
8	по отношению к	3	4
9	с одной стороны	2	4
10	во всяком случае	2	4
11	так и в	1	4
12	и т п	2	4
13	бы то ни	2	3
14	и не менее	1	3
15	сводится к тому	1	2
16	в большинстве случаев	1	2
17	в связи с	3	2
18	в целом ряде	1	2
19	того или иного	1	2
20	связи с этим	1	2
21	друг от друга	1	2
22	как мы видели	1	2
23	и здесь нет	1	1
24	в чем же	1	1
25	однако едва ли	1	1
26	с этим же	1	1
27	не говоря уже	2	1
28	как и во	1	1
29	в этом смысле	2	1
30	так и не	1	1
31	и во всех	1	1
32	говоря уже о	2	1
33	в том что	5	1
34	но и в	1	1
35	вместо того чтобы	1	1
36	том числе и	1	1
37	вместе с тем	4	1
38	в это время	2	1
39	то ни было	2	1
40	и в то	1	1
41	в отличие от	2	1
42	по сравнению с	1	1
43	тот или другой	1	1
44	так или иначе	3	1
45	с другой стороны	1	1
46	и в том	1	1
47	в той же	2	1
48	и в свою	1	1
49	до тех пор	3	1
50	было ясно что	1	1
51	так и на	1	1
52	в самом начале	2	1
53	хотя бы в	1	1
54	с самого начала	1	1
55	но все эти	1	1
56	происходит и в	1	1
57	при ознакомлении с	1	1
58	но все же	1	1
59	именно в эту	1	1
60	как мы знаем	1	1
61	ко времени появления	1	1
62	каждой из них	1	1
63	в общественном сознании	1	1
64	концы с концами	1	1
65	в том числе	3	1
66	к тому что	2	1
67	тем не менее	1	1
68	независимо друг от	1	1
69	что и в	2	1
70	вслед за этим	1	1
71	может быть более	1	1
72	в пределах одного	1	1
