N	2gram	Nazirov_Tv_2	Formalny
1	и не	9	30
2	вовсе не	2	28
3	и в	20	27
4	может быть	8	25
5	не может	7	24
6	так и	6	21
7	и его	9	19
8	в этом	8	18
9	таким образом	10	18
10	а не	6	17
11	самом деле	2	16
12	то же	7	15
13	в нем	3	15
14	в процессе	2	15
15	между ними	1	15
16	как и	6	14
17	не в	4	12
18	если бы	4	12
19	и т	13	11
20	в самом	3	11
21	в жизни	1	11
22	и от	4	11
23	не могут	1	10
24	место в	3	10
25	но и	8	10
26	не только	13	9
27	лишь в	1	9
28	как его	1	9
29	так как	3	9
30	так же	5	9
31	отнюдь не	4	8
32	как бы	11	8
33	при этом	8	8
34	входит в	1	8
35	ни в	1	8
36	как мы	1	8
37	в пределах	1	8
38	только в	2	8
39	как раз	1	8
40	то что	3	8
41	что в	7	8
42	художественного произведения	1	7
43	не менее	2	7
44	же время	7	7
45	потому что	7	7
46	его в	3	7
47	между тем	3	7
48	в его	10	7
49	в том	8	7
50	для них	1	7
51	все это	6	7
52	совершенно не	1	7
53	в то	10	7
54	в искусстве	2	7
55	действительности и	1	6
56	еще не	5	6
57	но в	4	6
58	все эти	4	6
59	т д	11	6
60	в своей	6	6
61	и ее	2	6
62	всяком случае	2	6
63	произведения в	1	6
64	произведения как	1	6
65	все время	2	6
66	было бы	1	6
67	в литературе	2	6
68	что он	6	6
69	с другой	2	6
70	более того	2	6
71	вместе с	3	6
72	оценки и	1	6
73	все же	5	6
74	и для	1	6
75	в своих	3	6
76	во всяком	2	6
77	но не	5	5
78	в истории	2	5
79	в одной	3	5
80	так сказать	2	5
81	в каждом	1	5
82	сводится к	2	5
83	если же	1	5
84	что они	4	5
85	в дальнейшем	4	5
86	никогда не	11	5
87	в идеологическом	1	5
88	в литературу	1	5
89	связи с	1	5
90	и их	1	5
91	т п	2	5
92	друг друга	2	5
93	и между	1	5
94	тем что	3	5
95	и потому	4	5
96	что же	1	5
97	не является	3	5
98	в результате	1	5
99	другой стороны	2	5
100	можно говорить	1	4
101	не есть	1	4
102	мы не	4	4
103	он был	1	4
104	менее всего	1	4
105	как в	4	4
106	и как	1	4
107	в целом	6	4
108	но ведь	2	4
109	в ее	2	4
110	мы знаем	1	4
111	том что	4	4
112	жизнь не	1	4
113	по себе	1	4
114	она не	1	4
115	и является	1	4
116	в роман	2	4
117	могут быть	2	4
118	к тому	1	4
119	роль в	2	4
120	о том	5	4
121	уже в	2	4
122	в большинстве	1	4
123	со стороны	1	4
124	прежде всего	8	4
125	в связи	1	4
126	мы видели	1	4
127	как это	1	4
128	между собой	1	4
129	в романе	15	4
130	от всех	1	4
131	из этого	2	4
132	одним из	3	3
133	же как	3	3
134	мы уже	1	3
135	той же	1	3
136	мы и	1	3
137	в виду	1	3
138	литературы и	1	3
139	и на	5	3
140	в которых	3	3
141	столь же	1	3
142	во всех	1	3
