N	2gram	Berdyaev_V_1	Mirosoze
1	и в	16	46
2	в нем	4	22
3	у него	1	22
4	может быть	1	21
5	в этом	4	20
6	не только	2	18
7	и не	20	18
8	никогда не	3	18
9	для него	2	18
10	во имя	32	16
11	но и	5	15
12	человека в	1	14
13	как и	4	13
14	ведет к	1	13
15	иван карамазов	1	13
16	а не	7	13
17	не есть	6	13
18	к человеку	1	12
19	прежде всего	2	12
20	потому что	4	12
21	не было	3	11
22	в ней	4	11
23	у нас	1	11
24	но в	3	10
25	он был	1	9
26	не в	3	9
27	и есть	4	8
28	отношение к	1	8
29	в своем	1	8
30	на земле	7	8
31	любовь к	3	8
32	так как	9	8
33	если нет	1	8
34	она не	1	8
35	человека к	1	8
36	как бы	5	8
37	но это	3	8
38	человека и	6	7
39	ивана карамазова	2	7
40	любовь не	2	7
41	человеческой природы	1	7
42	в мире	5	7
43	как в	1	7
44	в этой	1	7
45	зла и	1	7
46	любви к	1	7
47	хотя бы	3	7
48	и потому	7	7
49	и для	3	7
50	что он	4	7
51	вопрос о	1	6
52	что это	1	6
53	хлеба земного	6	6
54	жизнь в	1	6
55	и зла	2	6
56	так же	1	6
57	во христе	3	6
58	того что	5	6
59	жизни и	3	6
60	то же	1	5
61	есть не	1	5
62	я не	1	5
63	в самом	1	5
64	бы и	3	5
65	и вот	1	5
66	что все	4	5
67	и подобие	1	5
68	бога и	5	5
69	в своей	3	5
70	в конце	3	5
71	есть прежде	1	5
72	во всем	1	5
73	к тому	3	5
74	и это	2	5
75	добра и	4	5
76	это не	2	5
77	один из	2	5
78	любовь есть	1	5
79	человеческого духа	1	5
80	в его	4	5
81	свою свободу	1	5
82	для того	1	5
83	то что	9	5
84	образ и	1	5
85	тот кто	2	5
86	и все	4	5
87	в духе	2	5
88	к чему	3	4
89	с его	3	4
90	вечной жизни	1	4
91	у них	1	4
92	его на	1	4
93	есть что-то	1	4
94	чем у	1	4
95	в жизни	3	4
96	том что	2	4
97	земного и	4	4
98	тому что	3	4
99	не имеет	3	4
100	свободы и	12	4
101	того чтобы	2	4
102	они и	2	4
103	так и	4	4
104	на путь	1	4
105	в русском	1	4
106	в социализме	3	4
107	уже не	2	4
108	что и	3	4
109	они не	1	4
110	в боге	5	4
111	самого себя	2	4
112	со свободой	1	4
113	в бога	2	4
114	великого инквизитора	36	4
115	нет бога	1	4
116	есть уже	2	4
117	человека не	1	4
118	что в	3	4
119	все что	4	4
120	и на	1	3
121	в чем	3	3
122	менее всего	1	3
123	что нет	1	3
124	со злом	1	3
125	духа и	2	3
126	в католичестве	1	3
127	зла не	1	3
128	восстает против	3	3
129	не будет	2	3
130	и с	1	3
131	мира сего	4	3
132	русской революции	1	3
133	ни в	3	3
134	в них	3	3
135	все равно	2	3
136	для чего	1	3
137	и тогда	2	3
138	что всякий	1	3
139	что было	2	3
140	своей свободы	2	3
141	не для	1	3
142	любви и	1	3
143	можно ли	1	3
144	и против	3	3
145	человека есть	1	3
146	того как	1	3
147	истинная любовь	1	3
148	и всегда	1	3
149	людей и	2	3
150	зло не	1	3
151	себя и	1	3
152	не существует	1	3
153	в образе	4	3
154	с ним	2	3
155	и во	2	3
156	нет у	4	3
157	должен привести	1	3
158	и можно	1	3
159	что они	7	3
160	в том	3	3
161	только в	2	3
162	не так	2	3
163	и никогда	2	3
164	тем что	2	3
165	с которым	1	3
166	для человека	2	3
167	от свободы	2	3
168	нет ничего	3	3
169	бунт против	1	3
170	жизни в	1	3
171	тех которые	3	3
172	и нет	1	3
173	и от	1	3
174	лишь как	1	3
175	социализма и	1	3
176	есть и	1	3
177	в своих	1	3
178	те которые	2	3
179	великом инквизиторе	5	2
180	нем нет	2	2
181	есть соблазн	3	2
182	взял все	1	2
183	что личность	1	2
184	от этой	1	2
185	к небытию	4	2
186	не имеют	1	2
187	и за	2	2
188	его не	2	2
189	который был	1	2
190	только это	1	2
191	но она	1	2
192	же что	1	2
193	дух небытия	1	2
194	не был	1	2
195	человека любовь	1	2
196	во всех	3	2
197	хлеба небесного	6	2
198	к богу	8	2
199	себе и	1	2
200	не хотел	2	2
201	более чем	2	2
202	хотя и	5	2
203	говорит что	1	2
204	от этого	3	2
205	от своей	2	2
206	в смысл	2	2
207	духа в	1	2
208	имя счастья	2	2
209	в которой	1	2
210	средство для	1	2
211	смысл мира	2	2
212	и если	1	2
213	не к	2	2
214	есть один	1	2
215	на этом	1	2
216	тут не	1	2
217	лишь в	3	2
218	царства мира	1	2
219	и безбожной	1	2
220	имя своей	1	2
221	не всегда	1	2
222	очень важное	1	2
223	должно быть	3	2
224	богу и	2	2
225	что путь	1	2
226	не будут	1	2
227	в этих	3	2
228	ее в	2	2
229	личное начало	1	2
230	мир и	2	2
231	бог есть	1	2
232	есть еще	1	2
233	что есть	5	2
234	в атмосфере	1	2
235	должна раскрыться	1	2
236	есть путь	1	2
237	ничего не	1	2
238	жизни не	1	2
239	природы в	1	2
240	будут счастливы	1	2
241	и любовь	1	2
242	было не	1	2
243	человека что	1	2
244	оно не	3	2
245	людей в	3	2
246	на вершине	1	2
247	верит в	2	2
248	он так	1	2
249	и человеческого	1	2
250	можно было	2	2
251	быть может	1	2
252	после того	1	2
253	в разных	1	2
