N	3gram	Potebnia_M_2	Problema
1	и т п	3	13
2	не может быть	2	11
3	в отличие от	1	5
4	между тем как	2	5
5	в большинстве случаев	1	5
6	имеет дело с	1	4
7	с другой стороны	2	4
8	на самом деле	2	3
9	в этом смысле	2	3
10	бы то ни	1	3
11	может быть только	1	3
12	в применении к	1	3
13	с одной стороны	3	3
14	и проч с	1	3
15	то же время	2	3
16	в том что	7	3
17	в то же	2	3
18	тем не менее	5	3
19	и проч но	2	3
20	там где оно	2	2
21	не во всех	1	2
22	имеет место в	1	2
23	со всех сторон	1	2
24	этом смысле мы	1	2
25	и во всех	2	2
26	и не может	1	2
27	то ни было	1	2
28	не могут быть	3	2
29	может и не	1	2
30	так и в	2	2
31	мы можем сказать	1	2
32	и тем самым	1	2
33	для того чтобы	2	2
34	и может быть	2	1
35	только в этих	1	1
36	а между тем	4	1
37	сказали бы что	1	1
38	содержание и форма	1	1
39	в подобных случаях	1	1
40	и в общем	1	1
41	что с ним	1	1
42	рядом с ними	1	1
43	прежде всего следует	1	1
44	восприятия и в	1	1
45	а не с	2	1
46	в свою очередь	6	1
47	тела и души	1	1
48	того что с	1	1
49	все они служат	1	1
50	далеко не все	1	1
51	место в целом	1	1
52	подобно тому как	4	1
53	о том как	1	1
54	одной стороны и	1	1
55	до сих пор	4	1
56	и в других	1	1
57	от одного к	2	1
58	в таких случаях	1	1
59	сами по себе	7	1
60	такое значение имеет	1	1
61	в одном и	1	1
62	бы ни было	1	1
63	которое может быть	1	1
64	и др и	1	1
65	не было бы	4	1
66	что в некоторых	1	1
67	с тем что	1	1
68	и за пределы	1	1
69	на то что	3	1
70	могли бы быть	1	1
71	не имели бы	1	1
72	занимает в нем	1	1
73	не может но	1	1
74	и не в	1	1
75	и тем не	1	1
76	можно найти в	1	1
77	бы и в	1	1
78	то время как	3	1
79	не о том	1	1
80	все что есть	1	1
81	смысле этого слова	3	1
82	которых мы говорим	1	1
83	может обойтись без	1	1
84	в некоторых случаях	2	1
85	и в этом	1	1
86	по сравнению с	1	1
87	им самим и	1	1
88	ли мы в	1	1
89	и как бы	1	1
90	во всех отношениях	1	1
91	не в том	2	1
92	в связи с	1	1
93	то есть не	3	1
94	в том смысле	4	1
95	не для того	1	1
96	у нас в	1	1
97	в том как	1	1
98	мы будем называть	1	1
99	содержание может быть	1	1
100	о которых мы	1	1
101	и независимо от	1	1
102	независимо от их	2	1
103	по себе не	3	1
104	а в том	1	1
105	и проч и	1	1
106	и в свою	4	1
107	таким образом в	2	1
108	то что в	2	1
109	одного к другому	2	1
110	том смысле что	1	1
111	из языка и	1	1
112	в то время	4	1
113	и т д	3	1
114	на этом основании	1	1
115	то есть в	1	1
116	его место в	1	1
117	и в самом	1	1
118	вопрос о том	1	1
119	не может обойтись	2	1
120	которые могут быть	1	1
121	это как бы	1	1
122	чувство может быть	1	1
123	если бы не	1	1
124	имеет для него	1	1
125	так относится к	1	1
126	к которому она	1	1
127	что у нас	1	1
128	как и в	1	1
129	дело в том	1	1
130	вбирает в себя	2	1
131	то есть к	1	1
