N	2gram	Medvedev_U_1	EvropaiE
1	и в	14	37
2	в пределах	1	25
3	что в	1	21
4	не только	10	18
5	в то	3	16
6	то же	5	15
7	хотя бы	5	15
8	в своем	1	14
9	но в	3	14
10	же время	3	14
11	в качестве	1	14
12	но и	4	14
13	и не	8	14
14	в этом	7	12
15	в их	4	11
16	в области	3	11
17	в том	2	11
18	так и	1	10
19	отнюдь не	1	9
20	в себе	2	9
21	только в	2	9
22	прежде всего	8	9
23	не может	7	9
24	было бы	3	8
25	в своей	3	8
26	между тем	2	8
27	с одной	1	8
28	одной стороны	1	8
29	того что	1	7
30	с другой	4	7
31	как и	3	7
32	может быть	6	6
33	на то	1	6
34	то есть	1	6
35	том что	2	6
36	в последние	1	6
37	и даже	1	6
38	то что	7	6
39	же как	1	5
40	но не	2	5
41	не в	2	5
42	в россии	4	5
43	но если	1	5
44	в виде	1	5
45	в частности	3	5
46	и потому	1	5
47	в течение	1	5
48	в той	1	5
49	как нам	1	5
50	мы не	2	4
51	но даже	2	4
52	в ней	1	4
53	независимо от	1	4
54	в самом	2	4
55	то ни	3	4
56	в процессе	1	4
57	бы то	3	4
58	по себе	2	4
59	можно сказать	1	4
60	тем более	1	4
61	ни было	3	4
62	само по	1	4
63	сказать что	1	4
64	в сфере	1	3
65	бы и	2	3
66	всего лишь	1	3
67	в известном	1	3
68	мы можем	1	3
69	этом смысле	2	3
70	с тем	1	3
71	она в	1	3
72	в которых	1	3
73	никогда не	1	3
74	с другом	1	3
75	по нашему	3	3
76	бы ни	1	3
77	тем в	1	3
78	о том	1	3
79	что и	2	3
80	и только	5	3
81	очевидно что	3	3
82	культурная ценность	1	3
83	последние годы	1	3
84	тем что	2	3
85	этом отношении	2	3
86	и прежде	1	3
87	в данном	1	3
88	друг с	1	3
89	и для	2	3
90	на своем	1	3
91	ее в	1	3
92	как на	1	3
93	в таком	1	3
94	и то	3	2
95	должна быть	2	2
96	именно к	1	2
97	меньшей степени	2	2
98	в сторону	2	2
99	более чем	2	2
100	его на	1	2
101	есть ли	1	2
102	в этой	4	2
103	этот процесс	1	2
104	но именно	1	2
105	он не	1	2
106	таким образом	2	2
107	это значит	1	2
108	и с	2	2
109	далеко не	1	2
110	в не	1	2
111	иначе говоря	1	2
112	или точнее	3	2
113	в котором	1	2
114	тому чтобы	1	2
115	она не	1	2
116	тогда когда	1	2
117	в порядке	1	2
118	не могут	2	2
119	могут быть	2	2
120	но также	1	2
121	но по	1	2
122	данном случае	1	2
123	ценность в	1	2
124	если бы	2	2
125	и что	1	2
126	в значительной	1	2
127	в его	2	2
128	только к	3	2
129	в некоторых	2	2
130	нашему мнению	3	2
131	а не	10	2
132	что все	2	2
133	относятся к	1	2
134	или по	1	2
135	что же	1	2
136	поскольку он	1	2
137	и все	1	2
138	бы в	1	2
139	стороны в	1	2
140	же в	1	2
141	не есть	2	2
142	другой стороны	3	2
143	и эта	1	2
144	своей совокупности	1	1
145	такой момент	1	1
146	не делает	1	1
147	и это	1	1
148	противном случае	2	1
149	той же	1	1
150	признание что	1	1
151	сводится именно	1	1
152	а для	1	1
153	мы получаем	2	1
154	как самостоятельной	1	1
155	чем то	1	1
156	быть в	1	1
157	нам представляется	2	1
158	с его	2	1
159	конечно это	1	1
160	к которой	1	1
161	находящихся в	1	1
162	за пределы	1	1
163	к сожалению	3	1
164	относится к	1	1
165	все же	3	1
166	в противном	2	1
167	смысле этого	2	1
168	могли бы	2	1
