N	3gram	Berdyaev_O_1	Problema
1	в том что	1	8
2	сам по себе	1	6
3	во всяком случае	1	4
4	о том что	1	3
5	хотя и не	1	2
6	можно ли сказать	2	2
7	как будто бы	1	2
8	для того чтобы	3	2
9	хотя бы даже	1	2
10	в вечном муже	1	2
11	и прежде всего	1	2
12	о великом инквизиторе	6	1
13	легенда о великом	2	1
14	это было бы	2	1
15	и все эти	1	1
16	ли сказать что	2	1
17	о том как	1	1
18	по сравнению с	1	1
19	и не в	1	1
20	и не может	1	1
21	преступлении и наказании	3	1
22	достоевский прежде всего	2	1
23	униженные и оскорбленные	1	1
24	чтобы все эти	1	1
25	и то что	1	1
26	в эпоху возрождения	1	1
27	у достоевского не	1	1
28	он прежде всего	2	1
29	не в том	1	1
30	бы и не	1	1
31	в самой жизни	1	1
32	прежде всего в	1	1
33	друг к другу	1	1
34	все это было	1	1
35	лучше сказать с	1	1
36	само по себе	1	1
37	в преступлении и	3	1
38	бросается в глаза	1	1
39	то что в	1	1
40	всякого человека и	1	1
41	в романах достоевского	3	1
42	на то что	1	1
43	тысячи лет назад	1	1
44	у достоевского нет	1	1
45	в братьях карамазовых	1	1
46	но и тут	1	1
47	не в ней	1	1
48	человека в этом	1	1
49	или лучше сказать	1	1
50	там и здесь	1	1
51	как и в	1	1
52	и не очень	1	1
53	вовсе не так	1	1
54	по себе есть	1	1
55	не есть просто	1	1
