N	2gram	Tiupa_Hudo_1	Istorich
1	в лесу	1	26
2	и в	19	22
3	мы имеем	6	19
4	в этом	11	17
5	что в	6	15
6	не только	16	14
7	в лес	1	12
8	но и	10	12
9	и не	15	12
10	в этих	3	11
11	может быть	14	11
12	и пр	1	11
13	или в	2	11
14	но в	7	10
15	после чего	1	10
16	таким образом	3	10
17	еще не	3	10
18	в нем	5	9
19	что и	2	9
20	в том	18	9
21	что он	3	9
22	вместе с	1	9
23	как мы	1	8
24	мы видим	1	8
25	что они	1	8
26	том что	8	8
27	пребывания в	1	7
28	но не	11	7
29	то что	4	7
30	и здесь	1	7
31	уже не	4	7
32	из них	1	7
33	так как	1	7
34	с другой	7	7
35	другой стороны	5	7
36	этих случаях	1	7
37	то же	10	6
38	не вполне	2	6
39	не все	2	6
40	это не	2	6
41	связи с	1	6
42	так в	4	6
43	если бы	3	6
44	в них	2	6
45	а не	9	6
46	а в	12	6
47	он не	4	5
48	что она	2	5
49	здесь мы	1	5
50	в этой	2	5
51	тем не	3	5
52	не менее	3	5
53	могут быть	4	5
54	к нему	3	5
55	того что	4	5
56	один из	2	5
57	так что	1	5
58	в частности	13	5
59	этом случае	1	5
60	одним из	1	4
61	и на	2	4
62	все эти	2	4
63	отношение к	5	4
64	не в	7	4
65	имеем в	3	4
66	на этом	1	4
67	не всегда	1	4
68	у нас	1	4
69	как это	5	4
70	но он	3	4
71	и его	12	4
72	тем что	1	4
73	в пределах	3	4
74	в другой	1	4
75	только в	5	4
76	представляют собой	1	4
77	нарушение запрета	1	4
78	а именно	2	4
79	они не	1	4
80	в данном	4	4
81	в свою	3	4
82	на смену	1	4
83	не может	7	4
84	и другие	2	4
85	что иное	1	3
86	я не	2	3
87	и ее	3	3
88	иное как	1	3
89	в чем	2	3
90	со стороны	2	3
91	в одной	1	3
92	и как	3	3
93	и к	3	3
94	в целом	3	3
95	представляет собой	10	3
96	из этих	3	3
97	на его	1	3
98	их в	3	3
99	могло быть	2	3
100	а затем	1	3
101	его в	2	3
102	дома и	2	3
103	было бы	1	3
104	должен был	1	3
105	далеко не	2	3
106	как и	2	3
107	состоит в	16	3
108	в русской	3	3
109	никогда не	2	3
110	потому что	3	3
111	однако это	1	3
112	он и	1	3
113	к тому	4	3
114	о том	2	3
115	здесь не	2	3
116	смерти в	1	3
117	на нее	1	3
118	можно только	1	3
119	особого рода	5	3
120	в его	9	3
121	эти два	1	3
122	с ними	1	3
123	вступить в	1	3
124	за ним	1	3
125	прежде всего	4	3
126	а через	1	3
127	у него	1	3
128	превращается в	2	3
129	в связи	1	3
130	вступает в	1	3
131	о себе	2	3
132	так же	2	3
133	быть и	2	3
134	и от	1	3
135	сказать что	4	3
136	не что	1	3
137	ее в	2	3
138	все что	1	3
139	ту же	1	2
140	например в	3	2
141	и то	4	2
142	говорилось выше	1	2
143	и есть	1	2
144	здесь и	1	2
145	в котором	1	2
146	той же	1	2
147	же как	1	2
148	время от	1	2
149	от своих	1	2
150	но она	2	2
151	из того	1	2
152	как правило	2	2
153	к жизни	2	2
154	в сторону	2	2
155	по отношению	9	2
156	в качестве	24	2
157	вступают в	1	2
158	как в	2	2
159	в своем	2	2
160	хотя и	3	2
161	мы рассмотрим	1	2
162	образом и	2	2
163	то время	1	2
164	во многих	1	2
165	тому же	1	2
166	если он	1	2
167	не могла	1	2
168	при этом	13	2
169	так и	11	2
170	ни в	5	2
171	вовсе не	2	2
172	и для	2	2
173	и некоторые	2	2
174	точки зрения	10	2
175	друг другу	1	2
176	и более	2	2
177	даже в	3	2
178	в то	6	2
179	не имеет	1	2
180	одна из	2	2
181	это еще	1	2
182	имеются и	2	2
183	в русском	1	2
184	как будто	1	2
185	на это	1	2
186	время они	1	2
187	и это	2	2
188	и о	3	2
189	говорит и	3	2
190	роль в	1	2
191	в другом	3	2
192	не с	2	2
193	нам уже	1	2
194	после того	1	2
195	и что	3	2
196	за это	1	2
197	в силу	1	2
198	а также	5	2
199	между тем	4	2
200	с матерью	1	2
201	которую в	1	2
202	же в	1	2
203	дело с	1	2
204	они могут	1	2
205	а после	1	2
206	с одной	2	2
207	из которого	4	2
208	в жизни	2	2
209	что не	1	2
210	себе в	1	2
211	в одном	2	2
212	никто не	2	2
213	у нее	1	2
214	в особенности	1	2
215	и даже	1	2
216	и др	2	2
217	к более	2	2
218	не было	1	2
219	одной стороны	2	2
220	всю жизнь	1	2
221	означало бы	1	2
222	нет никаких	1	2
223	и потому	2	2
224	в малой	1	2
225	можно сказать	5	2
226	если не	1	2
227	происходит в	1	2
228	от него	1	2
229	за него	1	2
230	не дает	1	2
231	героя не	1	2
232	отношению к	9	2
233	жизни и	1	2
234	точно так	1	2
235	кто бы	1	1
236	также и	1	1
237	таком случае	1	1
238	начинается с	1	1
239	и через	1	1
240	бы для	1	1
241	не признает	1	1
242	этого мира	1	1
243	жизни ср	1	1
244	действительности и	1	1
245	со своей	3	1
246	от таких	1	1
247	несколько иной	1	1
248	есть не	1	1
249	как способ	1	1
250	значении в	1	1
251	случае это	1	1
252	человека и	1	1
253	существенно отличается	1	1
254	это всегда	1	1
255	принадлежит к	3	1
256	это отношение	3	1
257	к общему	1	1
258	начало и	2	1
259	на них	1	1
260	между собой	2	1
261	внимание и	1	1
262	столь же	1	1
263	что его	1	1
264	в различных	1	1
265	но как	2	1
266	действия и	1	1
267	со всеми	1	1
268	к ним	1	1
269	отнюдь не	2	1
270	как говорит	3	1
271	более чем	1	1
272	если на	1	1
273	можно предположить	1	1
274	такова же	1	1
275	перед нами	1	1
276	к мужу	1	1
277	говорят о	1	1
278	что это	1	1
279	жизни так	1	1
280	бы не	1	1
281	он состоит	1	1
282	животного в	1	1
283	право на	2	1
284	что автор	1	1
285	прослеживается в	1	1
286	говорит не	1	1
287	друг от	1	1
288	и те	1	1
289	на то	1	1
290	исходит из	1	1
291	не следует	4	1
292	свою собственную	1	1
293	не как	2	1
294	ему на	1	1
295	подобно тому	1	1
296	и по	2	1
297	все с	1	1
298	и наоборот	1	1
299	по своему	2	1
300	за свою	1	1
301	могла бы	2	1
302	не будет	2	1
303	свое имя	1	1
304	в мире	21	1
305	об этом	2	1
306	бы быть	1	1
307	а как	1	1
308	входит в	4	1
309	заключается в	2	1
310	речи кто	1	1
311	с другими	4	1
312	но их	3	1
313	и тем	2	1
314	одной из	2	1
315	случае мы	1	1
316	соответствии с	1	1
317	не узнает	1	1
318	ведет к	1	1
319	над его	1	1
320	перед собой	1	1
321	противопоставлены в	1	1
322	и становится	1	1
323	как реальная	1	1
324	но если	1	1
325	в своей	5	1
326	что такое	1	1
327	художественного творчества	4	1
328	в такой	1	1
329	с точки	3	1
330	однако этот	1	1
331	своего рода	5	1
332	любовь и	1	1
333	для данного	1	1
334	которые в	1	1
335	жизни является	1	1
336	не могли	1	1
337	как организация	1	1
338	по себе	2	1
339	говорит ему	1	1
340	в таких	1	1
341	из нас	1	1
342	не принадлежит	2	1
343	например не	1	1
344	всегда имеется	1	1
345	казалось бы	1	1
346	имеем дело	2	1
347	стола и	1	1
348	не говорит	1	1
349	является также	1	1
350	как я	1	1
351	до того	1	1
352	из условий	1	1
353	в каком	2	1
354	перед ним	1	1
355	начиная с	2	1
356	героев и	1	1
357	его за	1	1
358	хранится в	1	1
359	отличается от	2	1
360	картину в	1	1
361	и другим	1	1
362	всего что	1	1
363	не есть	1	1
364	для героя	1	1
365	и поэтому	1	1
366	тем и	1	1
367	с ее	5	1
368	от друга	1	1
369	свою очередь	2	1
370	меня в	1	1
371	жизнью в	1	1
372	как один	1	1
373	в ее	5	1
374	к нам	1	1
375	здесь также	1	1
376	только то	1	1
377	в себя	2	1
378	вопрос что	1	1
379	и сам	1	1
380	случаях обычно	1	1
381	и делают	1	1
382	для этого	1	1
383	с ним	2	1
384	мире в	1	1
385	означает что	1	1
386	эта сторона	1	1
387	в порядке	2	1
388	это происходит	1	1
389	при котором	1	1
390	за пределами	3	1
391	что каждый	2	1
392	времени в	2	1
393	восходит к	1	1
394	мы понимаем	1	1
395	тем как	1	1
396	связаны с	1	1
397	из своего	1	1
398	соединении с	2	1
399	перед тем	1	1
400	также в	1	1
401	говорит в	2	1
402	своему собственному	1	1
403	они хотят	1	1
404	и дает	1	1
405	тот же	1	1
406	особенно если	1	1
407	ему и	1	1
408	может оказаться	2	1
409	который в	2	1
410	по этому	1	1
411	не входит	2	1
412	с нею	1	1
413	или даже	3	1
414	героев или	1	1
415	дает ему	1	1
416	одно из	2	1
417	мы находим	1	1
418	случае не	2	1
419	тогда как	13	1
420	как у	1	1
421	или иначе	4	1
422	и прежде	1	1
