N	2gram	Medvedev_B_1	DiskursI
1	не только	1	28
2	а не	1	22
3	и в	1	16
4	еще не	1	14
5	прежде всего	1	11
6	и не	2	11
7	далеко не	1	10
8	с другой	1	10
9	так и	1	8
10	отнюдь не	1	8
11	не было	1	7
12	в своей	1	5
13	и на	1	5
14	в эпоху	1	5
15	в данном	1	5
16	одной из	1	4
17	что в	1	4
18	и о	1	4
19	все же	1	3
20	таким образом	1	3
21	и потому	1	3
22	другой стороны	1	3
23	в значительной	1	2
24	об этом	1	2
25	и ее	1	2
26	крайней мере	1	2
27	и во	1	2
28	не следует	1	2
29	во всяком	1	2
30	значительной степени	1	2
31	нельзя не	1	2
32	а о	1	2
33	по крайней	1	2
34	будто бы	1	2
35	за пределы	1	2
36	в пределах	1	2
37	теорию литературы	1	1
38	было бы	1	1
39	вопрос о	1	1
40	говорить о	1	1
41	было и	1	1
42	выходит за	1	1
43	в области	1	1
44	точке зрения	1	1
45	литературных произведений	2	1
46	в трактовке	1	1
47	на самом	1	1
48	стоит на	1	1
49	следовало бы	1	1
50	не то	2	1
51	не все	1	1
52	всяком случае	1	1
53	литературы как	1	1
54	видеть в	2	1
55	не о	1	1
56	в книге	1	1
57	этой книги	1	1
58	словесного творчества	1	1
59	не вполне	1	1
60	также не	1	1
61	о них	1	1
62	тем более	1	1
63	и нет	1	1
64	всего в	1	1
65	говорить не	1	1
66	до конца	1	1
67	и более	1	1
68	как будто	1	1
69	исторической поэтике	1	1
70	необходимо отметить	1	1
