N	3gram	Losev_Vlad_1	Sovremen
1	не может быть	3	4
2	тем не менее	2	2
3	во всяком случае	2	2
4	в свою очередь	1	2
5	так как он	2	2
6	в настоящее время	1	2
7	не будет ли	1	1
8	что иное как	1	1
9	и в этом	1	1
10	через несколько времени	1	1
11	а в конце	1	1
12	в которой он	1	1
13	в связи с	1	1
14	в течение нескольких	1	1
15	дело в том	4	1
16	не только своей	1	1
17	в этом смысле	4	1
18	и той же	1	1
19	в свое время	5	1
20	один и тот	2	1
21	в дальнейшем мы	1	1
22	и ни в	1	1
23	то же время	4	1
24	раз и навсегда	1	1
25	и в то	2	1
26	есть не что	1	1
27	бы то ни	1	1
28	но отнюдь не	1	1
29	в науке и	1	1
30	и не может	1	1
31	в самом деле	1	1
32	мы знаем что	2	1
33	заключать в себе	1	1
34	и ничего не	1	1
35	этот раз из	1	1
36	и что она	1	1
37	в то же	4	1
38	ничего не имеют	1	1
39	одной и той	1	1
40	не что иное	1	1
41	не имеют против	1	1
42	со всеми его	1	1
43	мы уже знаем	1	1
44	в том что	7	1
45	в этой области	1	1
46	на другой день	1	1
47	то ни было	1	1
48	с одной стороны	1	1
49	на этот раз	4	1
50	и тот же	2	1
