N	2gram	Vinokur_Ku_2	Tragedij
1	и в	23	18
2	в году	2	9
3	в этом	18	9
4	не только	20	8
5	и с	7	7
6	и на	6	7
7	может быть	15	7
8	как бы	4	7
9	и не	16	7
10	но в	11	6
11	и его	3	6
12	же время	3	6
13	что он	5	6
14	у него	3	6
15	то же	6	5
16	все же	7	5
17	что это	7	5
18	это не	6	5
19	как и	2	5
20	несмотря на	5	5
21	в то	4	5
22	так и	4	5
23	не может	9	5
24	у достоевского	1	5
25	я не	5	4
26	еще не	5	4
27	в себе	1	4
28	в целом	1	4
29	в этой	6	4
30	в нем	4	4
31	об этом	5	4
32	том что	11	4
33	что я	4	4
34	и что	8	4
35	но и	7	4
36	и даже	2	4
37	прежде всего	8	4
38	так же	4	4
39	но это	3	4
40	все это	5	4
41	что в	10	4
42	и все	2	4
43	то что	9	4
44	и он	1	3
45	своего рода	4	3
46	отнюдь не	4	3
47	как в	3	3
48	в своем	2	3
49	и как	1	3
50	все эти	12	3
51	при этом	2	3
52	должно быть	4	3
53	тем самым	2	3
54	что вы	1	3
55	с ее	1	3
56	мог бы	1	3
57	к нему	2	3
58	в его	5	3
59	один из	5	3
60	уже в	3	3
61	для него	1	3
62	в конце	4	3
63	как будто	2	3
64	как это	5	3
65	что за	2	3
66	вряд ли	4	2
67	и до	2	2
68	а как	1	2
69	никогда не	2	2
70	и то	5	2
71	он был	1	2
72	не был	1	2
73	столь же	1	2
74	с его	1	2
75	автора но	1	2
76	отношение к	1	2
77	отличие от	2	2
78	не просто	2	2
79	так что	1	2
80	и я	1	2
81	перед нами	4	2
82	говорит что	1	2
83	в самом	12	2
84	бы и	4	2
85	то и	3	2
86	по словам	2	2
87	он не	3	2
88	что же?	1	2
89	что она	3	2
90	но все	4	2
91	что все	5	2
92	знает что	3	2
93	в глазах	2	2
94	в это	1	2
95	ни в	4	2
96	нет в	1	2
97	с тем	2	2
98	не мог	1	2
99	в отличие	2	2
100	вопрос о	9	2
101	не в	8	2
102	что этот	1	2
103	одна из	1	2
104	не имеет	4	2
105	в русском	10	2
106	не могут	5	2
107	он и	2	2
108	к тому	4	2
109	и это	3	2
110	году в	1	2
111	в ее	1	2
112	данном случае	2	2
113	первого же	2	2
114	как у	2	2
115	а что	1	2
116	ничего не	4	2
117	и здесь	5	2
118	о том	1	2
119	теперь и	1	2
120	что и	3	2
121	в том	19	2
122	по мнению	1	2
123	уже не	8	2
124	в виде	1	2
125	не так	1	2
126	в одном	1	2
127	не случайно	1	2
128	тем что	3	2
129	чем он	1	2
130	до конца	3	2
131	с первого	2	2
132	в данном	4	2
133	еще раз	1	2
134	потому что	25	2
135	в ресторане	1	2
136	в частности	2	2
137	только о	2	2
138	по поводу	2	2
139	да здравствует	5	2
140	точно так	3	2
141	ту же	6	1
142	также что	2	1
143	и т	39	1
144	в сфере	3	1
145	сам по	1	1
146	и др	1	1
147	самом деле	9	1
148	это и	3	1
149	на деле	1	1
150	же по	1	1
151	и есть	2	1
152	что когда	3	1
153	смысл этого	1	1
154	сам автор	1	1
155	исходит из	1	1
156	должна быть	5	1
157	объясняется и	1	1
158	той же	2	1
159	то для	3	1
160	и новые	1	1
161	вместо того	1	1
162	в разговоре	4	1
163	а теперь	1	1
164	в виду	3	1
165	подчеркнуть что	1	1
166	в ней	3	1
167	в чем	1	1
168	но не	6	1
169	могло быть	1	1
170	отказ от	2	1
171	но как	1	1
172	свою жизнь	1	1
173	к сожалению	1	1
174	материалом для	2	1
175	что именно	1	1
176	вот как	1	1
177	то вряд	1	1
178	не любят	1	1
179	но лицо	1	1
180	власть и	1	1
181	выглядит в	1	1
182	стиля и	1	1
183	чего же	1	1
184	то в	1	1
185	оттого что	1	1
186	в которой	1	1
187	лишний раз	1	1
188	и отношения	1	1
189	общеизвестно что	1	1
190	фраза с	1	1
