N	3gram	Medvedev_U_1	Freidism
1	не может быть	4	7
2	в самом деле	2	6
3	и прежде всего	1	5
4	в то же	3	4
5	можно сказать что	1	4
6	то же время	3	4
7	в данном случае	1	4
8	бы то ни	3	3
9	в конечном счете	4	3
10	с одной стороны	1	2
11	но в то	1	2
12	до сих пор	2	2
13	то ни было	3	2
14	в конце концов	2	2
15	в этом отношении	2	2
16	не могут быть	2	2
17	то же самое	2	2
18	не может обойтись	1	1
19	или по крайней	1	1
20	по меньшей мере	1	1
21	т.е в конечном	2	1
22	мы полагаем что	1	1
23	равно как и	1	1
24	хотя бы и	2	1
25	в этом смысле	2	1
26	имеем в виду	1	1
27	содержания и формы	1	1
28	в том что	2	1
29	в этом случае	1	1
30	не было бы	1	1
31	все же остается	1	1
32	что он и	1	1
33	т.е то что	1	1
34	мы имеем в	1	1
35	это было бы	1	1
36	конечно не приходится	1	1
37	и быть не	1	1
38	в широком и	1	1
39	конечно не в	1	1
40	сводится к следующему	1	1
41	на своем месте	1	1
42	оно все же	1	1
43	быть не может	1	1
44	является одним из	1	1
45	но прежде всего	1	1
46	уже знакомый нам	1	1
47	по крайней мере	2	1
48	но даже и	2	1
49	на первый взгляд	1	1
