N	2gram	Losev_Dial_4	Sotsiolo
1	все это	9	7
2	в том	11	5
3	в этом	11	5
4	и только	2	3
5	как же	5	3
6	не только	8	3
7	и в	15	3
8	но ведь	1	3
9	не в	8	3
10	в его	4	3
11	за пределы	3	2
12	диалектический материализм	2	2
13	как только	5	2
14	но и	4	2
15	конце концов	1	2
16	и мы	7	2
17	было бы	9	2
18	в смысле	5	2
19	она может	1	2
20	исторического развития	1	2
21	должна быть	7	2
22	только в	7	2
23	дело не	1	2
24	по природе	1	2
25	в результате	6	2
26	тем более	6	2
27	том что	10	2
28	в частности	2	2
29	как будто	2	2
30	то что	16	2
31	главным образом	2	2
32	и что	9	2
33	еще не	4	2
34	таким образом	5	2
35	это и	9	2
36	в конце	1	2
37	что в	7	2
38	может быть	17	2
39	как бы	14	2
40	очевидно что	1	2
41	и заключается	1	2
42	по существу	1	2
43	то же	9	2
44	не из	1	1
45	друг от	1	1
46	крайней мере	7	1
47	тотчас же	3	1
48	что все	4	1
49	я и	1	1
50	же не	1	1
51	быть не	2	1
52	нашей работы	1	1
53	по себе	13	1
54	даже в	1	1
55	сама по	5	1
56	не должна	1	1
57	границы и	1	1
58	в этой	4	1
59	индивидуальность и	1	1
60	отнюдь не	4	1
61	более не	3	1
62	данный субъект	1	1
63	эти два	2	1
64	и должны	1	1
65	даже не	2	1
66	на все	2	1
67	нельзя мыслить	1	1
68	и самые	1	1
69	с другой	1	1
70	его в	1	1
71	что личность	2	1
72	только для	3	1
73	ровно ничего	7	1
74	и какие	1	1
75	с ним	3	1
76	наукой в	1	1
77	лучшем случае	1	1
78	это не	12	1
79	на этот	1	1
80	не наука	1	1
81	именно в	5	1
82	в чем	8	1
83	все же	2	1
84	один из	4	1
85	и есть	19	1
86	перед нами	6	1
87	в то	6	1
88	это дает	1	1
89	и наконец	3	1
90	какой же	1	1
91	только то	1	1
92	том как	2	1
93	тем что	2	1
94	эстетику и	1	1
95	в наше	1	1
96	и как	4	1
97	бы видеть	2	1
98	в процессе	1	1
99	на ней	1	1
100	что он	7	1
101	не пошел	1	1
102	прежде всего	11	1
103	слова но	1	1
104	объекта и	1	1
105	в них	2	1
106	так и	5	1
107	не было	2	1
108	те же	1	1
109	но только	5	1
110	и не	30	1
111	из себя	1	1
112	никогда не	2	1
113	на основании	3	1
114	мы не	9	1
115	это как	2	1
116	же время	6	1
117	ничего не	17	1
118	переходим к	1	1
119	как то	1	1
120	между собою	2	1
121	мы еще	2	1
122	не мешает	2	1
123	и о	8	1
124	все эти	3	1
125	далеко еще	1	1
126	именно на	1	1
127	как и	7	1
128	или нет	3	1
129	бы в	4	1
130	без этого	1	1
131	для этого	2	1
132	она должна	2	1
133	мы должны	4	1
134	первый план	1	1
135	в сущности	5	1
136	в труде	1	1
137	но она	1	1
138	образом в	1	1
139	конечно не	2	1
140	в связи	1	1
141	развивается сама	1	1
142	на первый	1	1
143	и его	7	1
144	место в	1	1
145	связи с	1	1
146	от друга	1	1
147	или не	4	1
148	в лучшем	1	1
149	хотя бы	4	1
150	наука но	2	1
151	мы переходим	1	1
152	стало быть	15	1
153	не может	11	1
154	в своей	3	1
155	только тогда	5	1
156	и должно	1	1
157	не от	1	1
158	а в	1	1
159	что она	5	1
160	можно будет	1	1
161	о том	5	1
162	не дает	2	1
163	именно и	1	1
164	в области	3	1
165	и потому	3	1
166	же это	5	1
167	исследования так	1	1
168	в него	1	1
169	но именно	2	1
170	в котором	2	1
171	никак не	2	1
172	невозможно никакое	1	1
173	из тех	1	1
174	положения в	1	1
175	на что	2	1
176	поставить и	1	1
177	может не	1	1
178	нет а	1	1
179	где же	1	1
180	когда мы	1	1
181	в силу	4	1
182	мы понимаем	1	1
183	в область	1	1
184	ни на	6	1
185	наука о	1	1
186	должно было	1	1
187	что это	13	1
188	вовсе не	6	1
189	новое и	1	1
190	ли не	1	1
191	жизни он	1	1
192	с одной	1	1
193	а между	1	1
194	в заключение	1	1
195	в виде	3	1
196	этого и	1	1
197	в данном	3	1
198	но как	2	1
199	и по	2	1
200	что на	2	1
201	по крайней	7	1
202	и более	1	1
203	и стало	4	1
204	во всяком	2	1
205	и будет	2	1
206	что данный	1	1
207	это значит	8	1
