N	3gram	Savitsky_P_1	Myshleni
1	в том что	4	17
2	вместе с тем	1	10
3	заключается в том	2	7
4	для того чтобы	1	7
5	в отличие от	1	6
6	так же как	1	6
7	в собственном смысле	1	6
8	с одной стороны	3	5
9	друг с другом	1	5
10	во всяком случае	1	4
11	сами по себе	3	3
12	по сравнению с	1	3
13	с другой стороны	1	3
14	та или иная	1	3
15	в том виде	1	2
16	в этом смысле	1	2
17	и в этом	1	2
18	заключает в себе	2	2
19	и то что	1	2
20	вопрос об отношении	1	2
21	было бы неправильно	1	2
22	в известном смысле	1	2
23	не может быть	1	2
24	само по себе	1	2
25	на пути к	1	2
26	том что в	1	1
27	да и не	1	1
28	более или менее	1	1
29	в том числе	2	1
30	во многих случаях	1	1
31	и в качестве	1	1
32	не связаны с	1	1
33	с точки зрения	3	1
34	тот или иной	1	1
35	с тем же	1	1
36	хотя бы и	1	1
37	в естественных условиях	1	1
38	в основном и	1	1
39	том числе и	1	1
40	за то что	1	1
41	в гораздо большей	4	1
42	что дело идет	1	1
43	в применении к	1	1
44	не только в	4	1
45	мы не сумеем	1	1
46	и наряду с	1	1
47	выражается в том	1	1
48	сменяют друг друга	1	1
49	если бы мы	1	1
50	можем представить себе	1	1
51	что уже в	1	1
