N	2gram	Trubetskoy_1	RusskieA
1	и в	14	29
2	том что	9	22
3	в том	17	22
4	что в	4	22
5	как бы	4	18
6	состоит в	2	15
7	в других	2	15
8	так как	4	13
9	может быть	9	13
10	во время	2	12
11	в этом	17	11
12	как и	4	11
13	одна из	3	11
14	не только	9	10
15	и с	7	10
16	все это	6	10
17	во многих	2	9
18	а на	1	9
19	о том	7	9
20	в некоторых	2	9
21	а в	5	9
22	его в	4	8
23	но и	10	8
24	ее в	2	8
25	данном случае	3	7
26	или в	3	7
27	через них	1	7
28	мы не	1	6
29	еще не	3	6
30	и на	5	6
31	при этом	5	6
32	таким образом	11	6
33	того чтобы	8	6
34	для нас	2	6
35	для того	6	6
36	с тем	6	6
37	вместе с	4	6
38	в данном	7	6
39	этом случае	3	6
40	и т	3	5
41	но не	4	5
42	но в	2	5
43	на земле	4	5
44	это не	1	5
45	не может	22	5
46	представление о	1	5
47	потому что	5	5
48	для этого	3	5
49	и что	2	5
50	то что	13	5
51	с ней	1	5
52	к этому	1	5
53	же как	1	4
54	то же	11	4
55	вопрос о	5	4
56	на них	1	4
57	что по	1	4
58	уже не	2	4
59	их в	2	4
60	том же	2	4
61	а за	1	4
62	в которых	1	4
63	не в	4	4
64	тогда когда	4	4
65	к нему	2	4
66	так что	2	4
67	то и	1	4
68	в виде	3	4
69	из них	3	4
70	именно в	3	4
71	а не	2	4
72	так же	2	4
73	как это	1	4
74	этих случаях	1	4
75	по существу	5	4
76	это делалось	1	4
77	и все	1	4
78	в таком	2	4
79	и о	2	3
80	в ее	1	3
81	только тогда	1	3
82	что ее	1	3
83	что это	3	3
84	все эти	2	3
85	в этой	4	3
86	главным образом	3	3
87	и по	3	3
88	и других	1	3
89	с другими	1	3
90	церковь и	1	3
91	не всегда	1	3
92	на первый	1	3
93	в этих	2	3
94	в котором	2	3
95	она не	2	3
96	в таких	2	3
97	как мы	1	3
98	должно было	1	3
99	под именем	1	3
100	во всех	5	3
101	в свете	1	3
102	того что	3	3
103	между тем	5	3
104	в качестве	3	3
