N	3gram	Trubetskoy_1	VeschiIm
1	не может быть	3	18
2	бы то ни	2	9
3	то ни было	2	9
4	а и в	7	7
5	по крайней мере	1	6
6	в том что	15	6
7	на то что	7	6
8	одно и то	1	5
9	и то же	1	5
10	в свою очередь	2	5
11	тем не менее	4	5
12	с точки зрения	8	4
13	и то что	3	4
14	то же время	2	4
15	в то же	2	4
16	есть как бы	1	3
17	более или менее	7	3
18	в самом деле	5	3
19	из того что	1	3
20	можно было бы	1	3
21	вместе с тем	2	3
22	если мы возьмем	1	3
23	все же не	3	3
24	только то что	2	3
25	не может не	3	2
26	этой точки зрения	1	2
27	дело в том	1	2
28	а затем и	1	2
29	как бы ни	1	2
30	мы находим в	1	2
31	для этого нужно	1	2
32	а так как	1	2
33	и в в	1	2
34	не есть ли	1	2
35	с этой точки	1	2
36	в данном случае	3	2
37	того что именно	1	2
38	и ничем не	1	2
39	и таким образом	1	2
40	между нею и	1	2
41	заключается в том	2	2
42	что это есть	1	2
43	ни тем более	1	2
44	к тому что	1	2
45	так или иначе	5	2
46	и того же	3	1
47	и может быть	2	1
48	а потому что	1	1
49	и тому же	1	1
50	с другом они	1	1
51	что несмотря на	2	1
52	и более или	1	1
53	того что в	1	1
54	и тут уже	1	1
55	всех своих частей	1	1
56	а не в	1	1
57	это было бы	1	1
58	мы уже сказали	1	1
59	то ясно что	4	1
60	при таких условиях	1	1
61	том что он	2	1
62	в каждый момент	1	1
63	в этом случае	4	1
64	он все же	2	1
65	таким образом получается	1	1
66	которых идет речь	3	1
67	до сих пор	8	1
68	и не может	1	1
69	тот или иной	1	1
70	в зависимости от	1	1
71	также и то	1	1
72	в себе и	1	1
73	если она не	1	1
74	о них мы	1	1
75	зрения в истории	1	1
76	в себе никаких	1	1
77	в своем уме	1	1
78	может быть и	4	1
79	то время как	1	1
80	так же как	3	1
81	которые совершенно не	1	1
82	то что составляет	1	1
83	то что для	1	1
84	мы не знаем	1	1
85	таким образом и	1	1
86	быть потому что	1	1
87	с одной стороны	2	1
88	в конце концов	4	1
89	смысле этого слова	1	1
90	а в с	1	1
91	они должны быть	2	1
92	не в том	1	1
93	о которых идет	3	1
94	с другой стороны	4	1
95	то что у	2	1
96	есть ли это	1	1
97	что они не	1	1
98	а в том	1	1
99	по тем же	1	1
100	во всяком случае	2	1
101	в то время	2	1
102	говорили выше что	1	1
103	то из этого	1	1
104	о том что	4	1
105	хотя бы в	1	1
106	не только не	1	1
107	вместо того чтобы	1	1
108	своих частей и	1	1
109	именно потому что	2	1
110	но все же	2	1
111	одного и того	3	1
112	уже сказали что	1	1
113	для того чтобы	7	1
114	самого себя и	1	1
115	мы видим что	1	1
116	мы сказали что	2	1
117	друг с другом	9	1
118	и в нем	1	1
119	это может быть	1	1
120	свидетельствует о том	1	1
121	одному и тому	1	1
122	только тогда когда	1	1
123	несмотря на все	1	1
