N	4gram	Voloshinov_1	Problemy
1	в то же время	3	12
2	бы то ни было	8	4
3	но в то же	2	3
4	не может до конца	1	2
5	какой бы то ни	1	1
6	может быть и речи	2	1
7	как и во всякой	1	1
8	уже с самого начала	1	1
9	ибо как мы знаем	1	1
10	одного и того же	5	1
11	на самом же деле	2	1
12	один и тот же	3	1
13	и прежде всего в	1	1
14	или во всяком случае	1	1
15	не может быть и	2	1
16	они становятся как бы	1	1
17	в большей или меньшей	1	1
18	не чем иным как	1	1
19	все более и более	1	1
20	в прямо противоположных направлениях	1	1
21	какого бы то ни	2	1
22	и в другом направлении	1	1
23	как к своему центру	1	1
24	может войти в мир	1	1
