N	2gram	Potebnia_M_2	Morfolog
1	может быть	23	52
2	и т	6	49
3	т д	3	47
4	таким образом	11	20
5	не может	12	17
6	в этих	3	16
7	могут быть	8	15
8	с этим	7	14
9	эта форма	1	13
10	и в	24	13
11	в этом	8	13
12	так как	10	12
13	и др	1	12
14	перед нами	1	11
15	связи с	6	11
16	мы видим	2	11
17	заметить что	6	10
18	то же	12	9
19	так и	5	9
20	этом случае	1	9
21	не всегда	1	9
22	прежде всего	7	9
23	а не	18	9
24	в связи	2	9
25	и не	19	9
26	при помощи	1	8
27	что и	11	8
28	с другой	6	8
29	вопрос о	2	7
30	имеем в	1	7
31	или же	7	7
32	все же	5	7
33	но если	2	7
34	но не	12	6
35	это не	3	6
36	во время	4	6
37	подобно тому	4	6
38	не могут	7	6
39	и здесь	2	6
40	в том	18	6
41	а в	8	6
42	мы не	11	5
43	во всех	7	5
44	не все	2	5
45	тому как	4	5
46	то что	20	5
47	в ходе	1	5
48	далеко не	3	5
49	не менее	5	5
50	потому что	49	5
51	или в	2	5
52	образом мы	2	5
53	вслед за	3	5
54	один из	2	5
55	если мы	3	5
56	как бы	9	5
57	тех же	1	4
58	то это	3	4
59	что его	3	4
60	то мы	2	4
61	если в	3	4
62	как в	10	4
63	хотя и	3	4
64	и как	6	4
65	не только	15	4
66	на этом	2	4
67	об этом	1	4
68	его в	3	4
69	было бы	13	4
70	вовсе не	9	4
71	как и	7	4
72	с точки	1	4
73	тем не	6	4
74	на котором	1	4
75	ничего не	1	4
76	тем что	7	4
77	очень часто	1	4
78	в других	4	4
79	как мы	1	4
80	могла бы	3	4
81	подобных случаях	1	4
82	его самого	1	4
83	по отношению	2	4
84	и затем	2	4
85	в некоторых	4	4
86	другой стороны	2	4
87	там где	4	4
88	так же	2	4
89	а если	1	4
90	могут считаться	1	4
91	оно может	2	4
92	что в	16	4
93	самом деле	2	3
94	на самом	2	3
95	вне связи	1	3
96	и для	3	3
97	между собой	1	3
98	из приведенных	1	3
99	заметим что	1	3
100	независимо от	9	3
101	предметы и	1	3
102	но в	4	3
103	к чему	1	3
104	в целом	3	3
105	в нашем	2	3
106	он должен	1	3
107	и по	2	3
108	прежде чем	1	3
109	но все	2	3
110	вопрос как	1	3
111	входит в	1	3
112	из них	5	3
113	ни в	1	3
114	сам он	1	3
115	том что	8	3
116	в то	6	3
117	на него	3	3
118	того чтобы	2	3
119	живые существа	1	3
120	от того	5	3
121	такие случаи	1	3
122	на нем	1	3
123	если бы	11	3
124	в животных	4	3
125	но и	9	3
126	он не	1	3
127	во втором	1	3
128	значит что	1	3
129	к нему	1	3
130	в какой	2	3
131	их по	1	3
132	а то	2	3
133	друг друга	2	3
134	мы можем	12	3
135	что они	5	3
136	быть названо	2	3
137	из членов	1	3
138	форма в	1	3
139	но это	3	3
140	это уже	1	3
141	мы должны	2	3
142	только что	3	3
143	же в	5	3
144	в последнем	1	3
145	можно назвать	2	3
146	по отдельным	1	2
147	как это	2	2
148	относятся к	1	2
149	тем же	3	2
150	собственном смысле	1	2
151	что многие	2	2
152	есть нечто	3	2
153	время как	4	2
154	мы получаем	1	2
155	для наших	1	2
156	совсем не	2	2
157	друг на	1	2
158	а с	2	2
159	если она	1	2
160	более или	8	2
161	то в	1	2
162	животных и	2	2
163	состоит в	2	2
164	которое может	2	2
165	приходим к	1	2
166	в нее	4	2
167	и за	1	2
168	многих других	1	2
169	в другом	2	2
170	мы уже	1	2
171	где оно	2	2
172	большинстве случаев	1	2
173	это было	2	2
174	этого не	2	2
175	с тем	4	2
176	на друга	1	2
177	и тогда	3	2
178	или менее	8	2
179	для него	10	2
180	и при	3	2
181	что такое	2	2
182	таких случаях	1	2
183	ли этот	1	2
184	и более	1	2
185	а а	2	2
186	и наоборот	5	2
187	все эти	2	2
188	в таких	1	2
189	всего следует	1	2
190	с теми	2	2
191	не имеет	6	2
192	одна из	4	2
193	знать что	2	2
194	что ни	2	2
195	и его	2	2
196	так например	3	2
197	в каком	3	2
198	к себе	1	2
199	перейти к	1	2
200	для того	5	2
201	оно не	3	2
202	здесь не	1	2
203	в собственном	2	2
204	то время	4	2
205	и что	4	2
206	если они	1	2
207	не с	3	2
208	другой не	1	2
209	можно бы	2	2
210	о том	5	2
211	с одной	4	2
212	подобные же	1	2
213	можно сказать	1	2
214	можно заметить	3	2
215	по их	1	2
216	образом если	1	2
217	и только	6	2
218	того что	7	2
219	же можно	1	2
220	как например	3	2
221	хотя бы	2	2
222	на другие	6	2
223	что он	4	2
224	только в	11	2
225	уже не	4	2
226	в большинстве	1	2
227	или не	5	2
228	его и	1	2
229	никто не	1	2
230	должны будем	1	2
231	а эта	1	2
232	себя и	2	2
233	а на	1	2
234	сказать что	2	2
235	что мы	11	2
236	или по	2	2
237	к другой	2	2
238	одной стороны	3	2
239	следует еще	1	2
240	есть и	1	2
241	нам еще	1	2
242	но для	1	2
243	от него	4	2
244	или нет	3	2
245	же оно	1	2
246	не от	5	2
247	иначе чем	1	2
248	или при	1	2
249	но эти	2	2
250	к этому	2	2
251	точно так	9	2
252	по законам	1	1
253	например в	3	1
254	таком случае	2	1
255	и то	3	1
256	он может	1	1
257	применении к	1	1
258	словами и	1	1
259	сразу и	1	1
260	между двумя	6	1
261	как выше	2	1
262	быть достигнуто	1	1
263	уже по	1	1
264	есть не	5	1
265	ворона и	1	1
266	должно считаться	1	1
267	но она	3	1
268	что это	3	1
269	оно есть	1	1
270	не совсем	3	1
271	и заставляет	1	1
272	как причины	1	1
273	тем как	2	1
274	сколько же	1	1
275	одним словом	4	1
276	друг к	1	1
277	действуют при	1	1
278	мы будем	1	1
279	но как	1	1
280	не то	2	1
281	значение и	2	1
282	ответ на	1	1
283	тогда как	10	1
284	отношение к	1	1
285	отличие от	1	1
286	она есть	2	1
287	так та	1	1
288	которые не	3	1
289	отвечает ему	1	1
290	его не	3	1
291	который доставляет	1	1
292	если на	2	1
293	дает нам	1	1
294	для всех	1	1
295	так скоро	1	1
296	что касается	1	1
297	мысль о	7	1
298	узнает что	1	1
299	и наконец	1	1
300	но эта	1	1
301	его к	1	1
302	имеет в	1	1
303	это определение	2	1
304	следует сказать	1	1
305	этой цели	1	1
306	в этот	1	1
307	не меняются	1	1
308	втором случае	1	1
309	в которой	5	1
310	к другому	4	1
311	предметов и	1	1
312	из этих	4	1
313	одном случае	1	1
314	что пока	1	1
315	ему предмет	1	1
316	что так	1	1
317	не в	13	1
318	думать что	3	1
319	рассказ о	1	1
320	остановиться на	1	1
321	нами в	1	1
322	и тот	2	1
323	но во	3	1
324	во многих	3	1
325	непосредственно как	1	1
326	подобным образом	3	1
327	на то	5	1
328	что она	3	1
329	главным образом	4	1
330	время и	2	1
331	слова а	3	1
332	всех этих	2	1
333	свою собственную	1	1
334	при ближайшем	1	1
335	определение должно	1	1
336	здесь для	1	1
337	может показать	1	1
338	и независимо	1	1
339	собственно говоря	1	1
340	одно и	2	1
341	в каждом	2	1
342	то ни	1	1
343	связанные с	2	1
344	и может	3	1
345	же касается	1	1
346	к другу	1	1
347	них не	3	1
348	на все	3	1
349	к заключению	1	1
350	с другими	5	1
351	от одного	3	1
352	деле в	1	1
353	то все	4	1
354	и дает	1	1
355	например с	2	1
356	и тем	3	1
357	кажется что	3	1
358	известным образом	1	1
359	очень вероятно	1	1
360	от действия	2	1
361	из нее	1	1
362	о которых	3	1
363	превращаются в	1	1
364	друга что	1	1
365	на что	1	1
366	между собою	7	1
367	оно имеет	1	1
368	чем в	1	1
369	других и	1	1
370	этим в	1	1
371	убедиться что	1	1
372	том как	3	1
373	имеет ничего	1	1
374	и их	5	1
375	или точнее	1	1
376	относится ко	1	1
377	основные части	1	1
378	быть названы	1	1
379	в их	1	1
380	если быть	1	1
381	не столько	2	1
382	могло бы	1	1
383	что я	1	1
384	ее он	1	1
385	вопрос на	1	1
386	значение для	1	1
387	сходное с	1	1
388	которые в	1	1
389	такую же	1	1
390	при этом	13	1
391	но он	2	1
392	теми же	1	1
393	все это	2	1
394	не должно	2	1
395	бы быть	3	1
396	или если	2	1
397	для нее	2	1
398	видит в	1	1
399	есть всегда	1	1
400	тому что	2	1
401	то с	1	1
402	некоторых случаях	2	1
403	а от	3	1
404	для меня	4	1
405	следует определить	1	1
406	что с	2	1
407	она могла	1	1
408	самого начала	2	1
409	что ему	2	1
410	это дает	1	1
411	того как	7	1
412	и притом	3	1
413	не вызывает	1	1
414	появляется в	1	1
415	может только	1	1
416	вытекает из	2	1
417	же время	2	1
418	этих двух	1	1
419	или как	1	1
420	приведены в	1	1
421	на те	1	1
422	к развитию	1	1
423	как на	3	1
424	на тело	1	1
425	путем то	1	1
426	одним из	1	1
427	у нас	2	1
428	к таким	2	1
429	к отдельным	1	1
430	должны быть	4	1
431	чем перейти	1	1
432	к тому	1	1
433	не есть	6	1
434	что при	1	1
435	на это	1	1
436	где он	1	1
437	ничего общего	1	1
438	в применении	1	1
439	можем заметить	1	1
440	всех случаях	1	1
441	не делает	1	1
442	то она	1	1
443	сравнение этих	1	1
444	как не	3	1
445	это будет	3	1
446	будет видно	1	1
447	без всякого	1	1
448	же не	1	1
449	общим признаком	1	1
450	же например	1	1
451	с самого	2	1
452	и исчезает	1	1
453	вопрос что	1	1
454	с если	1	1
455	на основании	1	1
456	как с	1	1
457	те же	3	1
458	здесь как	1	1
459	при попытке	1	1
460	мог бы	3	1
461	во второй	1	1
462	и с	1	1
463	не отвечает	1	1
464	находится в	3	1
465	вероятно что	1	1
466	связанное с	1	1
467	при сравнении	1	1
468	то они	1	1
469	этих условиях	1	1
470	на вопрос	3	1
471	но мы	3	1
472	бы то	1	1
473	и просто	1	1
474	на каком	1	1
475	их в	2	1
476	как они	1	1
477	как отдельные	2	1
478	за этим	1	1
479	встречается только	1	1
480	место то	1	1
481	средствами сообщения	1	1
482	средствами и	1	1
483	в его	2	1
484	а потому	5	1
485	на одном	1	1
486	в другой	1	1
487	частью в	1	1
488	средства не	1	1
489	если это	2	1
490	к ней	2	1
491	как вообще	2	1
492	что часть	1	1
493	не зная	2	1
494	еще несколько	1	1
495	считаться существенным	1	1
496	но так	1	1
497	д и	1	1
498	с ними	3	1
499	что различные	1	1
500	бы показать	1	1
501	как нечто	1	1
502	и действительно	1	1
503	то прежде	1	1
504	что новые	1	1
505	который в	1	1
506	это видно	1	1
507	случаи когда	2	1
508	нам возможность	1	1
509	все они	1	1
510	со всеми	1	1
511	от одной	1	1
512	же и	1	1
513	есть в	2	1
514	и у	3	1
515	в нашей	2	1
516	еще заметить	1	1
517	этого нельзя	1	1
518	ее из	1	1
519	что не	5	1
520	не дает	2	1
521	а и	5	1
522	не так	3	1
523	всяком случае	7	1
524	узнает в	1	1
525	вопрос кто	1	1
526	в одном	6	1
527	второе с	1	1
528	оно так	1	1
529	у него	2	1
530	при отсутствии	1	1
531	которые могут	4	1
532	между прочим	4	1
533	как при	3	1
534	не противоречит	2	1
535	чувства и	4	1
536	в с	1	1
537	душевное равновесие	1	1
538	были бы	1	1
539	только на	1	1
540	быть названа	1	1
541	она начинает	1	1
542	найти его	1	1
543	другого и	1	1
544	со стороны	3	1
545	себе представить	2	1
546	или а	1	1
547	до сих	4	1
548	может и	1	1
549	на ее	1	1
550	именно в	1	1
551	а именно	1	1
552	его место	1	1
553	человека а	1	1
554	такое же	2	1
555	однако что	1	1
556	происходит при	1	1
557	два случая	1	1
558	от другого	3	1
559	ей не	1	1
560	ничем не	2	1
561	не на	2	1
562	как ни	1	1
563	при определении	2	1
564	для их	2	1
565	могут служить	1	1
566	этом основании	1	1
567	или одновременно	1	1
568	д можно	1	1
569	при других	2	1
570	уже давно	1	1
571	нет то	1	1
572	можно будет	1	1
573	быть продолжен	1	1
574	в одной	1	1
575	же с	1	1
576	но такое	1	1
577	приводит в	5	1
578	другу и	1	1
579	что за	2	1
580	не дают	2	1
581	на тот	1	1
582	в течение	1	1
583	это его	1	1
584	отношения к	2	1
585	в ряду	6	1
586	свойства и	1	1
587	к определению	1	1
588	быть не	3	1
589	что же	1	1
590	с этой	1	1
591	в подобных	1	1
592	происходит с	1	1
593	в формах	2	1
594	сих пор	4	1
595	не будем	1	1
596	только для	5	1
597	все остальные	5	1
598	помнить что	3	1
599	рассматривать как	1	1
600	согласие в	1	1
601	следует ли	1	1
602	указать на	1	1
603	но на	2	1
604	их например	2	1
605	не представляет	1	1
606	то не	3	1
607	е о	1	1
608	для нас	31	1
609	могли бы	2	1
610	и все	3	1
611	бы в	2	1
612	и ни	1	1
613	мы прежде	1	1
614	или вообще	1	1
615	том случае	1	1
616	и предметом	1	1
617	бы на	1	1
618	то оно	1	1
619	считать не	1	1
620	здесь только	1	1
621	и сила	1	1
622	и начинается	1	1
623	не будет	1	1
624	между ними	2	1
625	состоит из	1	1
626	предмета к	1	1
627	это на	1	1
628	нет но	3	1
629	только о	1	1
630	таким же	1	1
631	бы сам	1	1
632	может происходить	2	1
633	влияния на	2	1
634	случае если	1	1
635	предполагает уже	1	1
636	в таком	4	1
637	во всяком	7	1
