N	3gram	Bakhtin_fo_2	Russkaja
1	друг с другом	4	14
2	то же время	4	10
3	в то же	4	10
4	с точки зрения	8	9
5	в том что	3	7
6	на самом деле	1	6
7	для того чтобы	7	6
8	до сих пор	2	5
9	не может быть	1	4
10	не может не	1	3
11	в этом случае	2	3
12	вместе с тем	1	3
13	в данном случае	1	3
14	к вопросу о	3	3
15	в конце концов	1	3
16	той или иной	1	3
17	а следовательно и	2	2
18	только в том	1	2
19	что он не	1	2
20	в значительной мере	1	2
21	не могут не	1	2
22	по самому своему	1	2
23	и вместе с	1	2
24	о том что	1	2
25	друг от друга	2	2
26	с другом и	1	2
27	в другом случае	1	2
28	в большинстве случаев	3	2
29	к тому что	1	2
30	и в другом	1	2
31	в другом месте	2	1
32	и того же	1	1
33	к участию в	1	1
34	всем существом своим	1	1
35	никогда не было	1	1
36	то есть не	1	1
37	прежде всего в	2	1
38	в свою очередь	1	1
39	в том числе	3	1
40	то же самое	2	1
41	в том же	4	1
42	точки зрения в	1	1
43	которая в свою	1	1
44	и не только	1	1
45	с ним в	1	1
46	в этом отношении	2	1
47	никак не могла	1	1
48	том числе и	2	1
49	тот или иной	1	1
50	с другом в	1	1
51	только для того	1	1
52	для борьбы с	1	1
53	жизни конечно не	1	1
54	роль в истории	1	1
55	к себе и	1	1
56	сводится к тому	1	1
57	но в то	1	1
58	жизни но и	1	1
59	в борьбе с	2	1
60	но при этом	1	1
61	и должно быть	2	1
62	и в этом	3	1
63	своей жизни в	1	1
64	во всех этих	3	1
65	прежде всего необходимо	1	1
66	и как бы	1	1
67	самому своему существу	1	1
68	в связи с	7	1
69	эта точка зрения	1	1
70	однако они были	1	1
71	о которых мы	1	1
72	потому что они	2	1
73	в совершенно ином	1	1
74	точки зрения таких	1	1
75	с нею в	1	1
76	его жизни и	1	1
77	с самого начала	1	1
78	как бы ни	1	1
79	но все же	1	1
80	одного и того	1	1
81	тем более что	2	1
82	и во всем	1	1
83	только в этом	1	1
84	и прежде всего	3	1
85	всех этих случаях	1	1
86	нечего и говорить	1	1
87	на первый взгляд	1	1
88	и вопрос о	1	1
