N	3gram	Tiupa_Hudo_1	TeoriaLi
1	по отношению к	8	8
2	в отличие от	1	7
3	в то же	8	6
4	в том что	6	6
5	то же время	8	6
6	того или иного	2	5
7	не сводится к	1	5
8	в данном случае	1	5
9	состоит в том	1	4
10	более или менее	1	4
11	в конечном счете	2	4
12	в этом смысле	1	3
13	тем не менее	3	3
14	в свою очередь	1	3
15	так или иначе	2	2
16	с одной стороны	1	2
17	до прихода в	1	2
18	факторов художественного впечатления	1	2
19	как и в	3	2
20	не только не	1	2
21	причастной вненаходимости бахтин	1	2
22	в равной степени	1	2
23	в русской литературе	3	2
24	по своей природе	2	2
25	не может быть	2	2
26	тогда как в	1	2
27	с точки зрения	3	2
28	об этом так	1	1
29	а в том	1	1
30	внутреннего мира личности	1	1
31	места в мире	1	1
32	кругозора героя и	1	1
33	в таком случае	1	1
34	между тем в	1	1
35	в первой главе	3	1
36	в том случае	1	1
37	бы можно было	1	1
38	и потому что	1	1
39	по себе а	1	1
40	по своему происхождению	1	1
41	культуры художественного восприятия	2	1
42	в следующей главе	3	1
43	перед нами не	1	1
44	в связи с	3	1
45	если говорить о	2	1
46	в иных случаях	1	1
47	субъекты этического выбора	1	1
48	и в то	1	1
49	но в то	3	1
50	в первую очередь	2	1
51	в еще большей	1	1
52	до известной степени	1	1
53	связана с мотивом	1	1
54	еще и потому	1	1
55	это своего рода	1	1
56	в себя и	1	1
57	художественного мышления и	1	1
58	специфически человеческий способ	1	1
59	принципиальное различие между	1	1
60	и несет в	1	1
61	предстают перед нами	1	1
62	что он не	2	1
63	о том что	9	1
64	том случае если	1	1
65	человеческий способ существования	1	1
66	в пределах текста	1	1
67	во времени и	1	1
68	в русской культуре	1	1
69	несет в себе	3	1
70	этой точки зрения	1	1
71	как бы в	1	1
72	в том и	1	1
73	в значительной степени	2	1
74	том что в	2	1
75	вследствие того что	1	1
76	никогда не бывает	1	1
77	себя в другом	1	1
78	та или иная	3	1
79	второй и четвертой	1	1
80	в частности с	1	1
81	внешних и внутренних	1	1
82	в аспекте его	1	1
83	дамы с собачкой	4	1
84	с собачкой и	2	1
85	по сути дела	1	1
86	у себя в	1	1
87	противоположной по своему	1	1
88	содержит в себе	1	1
89	см в следующей	1	1
90	именно в этом	1	1
91	и по отношению	1	1
92	в чистом виде	1	1
93	в смерти чиновника	1	1
94	как субъекта самоопределения	1	1
95	в своей эстетической	1	1
96	пласт художественной реальности	1	1
97	как субъекты этического	1	1
98	нами не как	1	1
99	поэтому вслед за	1	1
100	не как объекты	1	1
101	состоит как раз	1	1
102	том и состоит	1	1
103	раз в том	1	1
104	том что он	1	1
105	об архитектонических формах	1	1
106	автора и читателя	1	1
107	в первом случае	1	1
108	как уже говорилось	1	1
109	ту или иную	2	1
110	я никогда не	1	1
111	этой жанровой традиции	1	1
112	в одной из	1	1
113	некий нравственный закон	1	1
114	к одному из	1	1
115	жизнь личности в	1	1
116	но как субъекты	1	1
117	с этой точки	1	1
118	как раз в	2	1
119	а между тем	1	1
120	личности в отношении	1	1
