N	2gram	Bakhtin_Pr_4	Marksizm
1	точки зрения	11	34
2	может быть	23	26
3	и не	27	26
4	не может	19	24
5	с точки	9	20
6	и его	6	19
7	и в	46	19
8	таким образом	4	17
9	языка как	1	17
10	в этом	16	16
11	как бы	19	15
12	языка в	2	14
13	в процессе	4	14
14	прежде всего	9	13
15	языка и	2	13
16	как мы	12	13
17	как и	12	12
18	и пр	2	12
19	и для	3	11
20	связи с	1	11
21	так и	4	11
22	если мы	5	11
23	в нем	17	10
24	и т.п	14	10
25	в слове	3	10
26	ни было	1	10
27	в самом	9	10
28	самом деле	4	10
29	для него	2	9
30	лишь в	2	9
31	только в	6	9
32	в результате	2	9
33	все же	4	8
34	при этом	5	8
35	сих пор	8	8
36	на материале	1	8
37	до сих	8	8
38	но и	12	8
39	то что	4	8
40	друг друга	6	8
41	не только	14	8
42	все эти	4	7
43	в связи	1	7
44	так же	3	7
45	во всех	5	7
46	язык как	1	7
47	в ее	1	7
48	но в	6	7
49	то же	6	7
50	точка зрения	1	7
51	в каждом	6	7
52	в направлении	4	7
53	слова как	3	7
54	а не	11	7
55	и здесь	4	6
56	того же	3	6
57	кроме того	4	6
58	с помощью	3	6
59	мы не	4	6
60	в том	9	6
61	в его	9	6
62	на почве	2	6
63	ничего не	2	6
64	другой стороны	3	6
65	так сказать	5	6
66	в пределах	10	6
67	во всяком	2	5
68	входит в	1	5
69	связи между	2	5
70	знаковом материале	1	5
71	рядом с	5	5
72	вовсе не	9	5
73	и все	9	5
74	не в	10	5
75	хотя бы	2	5
76	в конце	3	5
77	те же	2	5
78	того чтобы	1	5
79	отличие от	3	5
80	до настоящего	1	5
81	до конца	4	5
82	и потому	1	5
83	по преимуществу	1	5
84	именно в	1	5
85	этот вопрос	2	5
86	в отличие	3	5
87	за пределы	5	5
88	с другой	3	5
89	должна опираться	1	5
90	к этому	1	5
91	может стать	2	5
92	настоящего времени	1	5
93	конечно не	8	5
94	совершается в	1	5
95	мы знаем	1	5
96	вне его	2	4
97	еще не	7	4
98	вопрос о	2	4
99	что же	3	4
100	не менее	2	4
101	язык в	1	4
102	в условиях	3	4
103	по себе	7	4
104	системе языка	2	4
105	а в	2	4
106	между ними	10	4
107	в отношении	3	4
108	жизни в	1	4
109	что в	4	4
110	здесь мы	1	4
111	с этим	2	4
112	нет и	2	4
113	и на	11	4
114	как в	4	4
115	этой проблемы	1	4
116	слово как	4	4
117	в языке	2	4
118	не столько	1	4
119	отношении к	2	4
120	мысли и	2	4
121	далеко не	3	4
122	и эта	1	4
123	самого начала	1	4
124	с самого	1	4
125	и между	6	4
126	в ней	1	4
127	сказать что	2	4
128	было бы	3	4
129	не будем	1	4
130	только на	3	4
131	к одному	6	4
132	в данном	2	4
133	войти в	3	3
134	не становится	1	3
135	же время	5	3
136	должны быть	1	3
137	конце концов	1	3
138	можно сказать	4	3
139	место в	1	3
140	что делает	1	3
141	к этим	1	3
142	для всего	1	3
