N	2gram	Voloshinov_1	Retstnzi
1	не может	16	4
2	и в	12	3
3	общения и	2	2
4	социального общения	4	2
5	и можно	1	1
6	нуждаются в	1	1
7	которые определяют	1	1
8	и форму	1	1
9	и больше	1	1
10	то же	5	1
11	с другими	2	1
12	произведения но	1	1
13	не из	1	1
14	в ней	6	1
15	оторвано от	1	1
16	о литературе	1	1
17	может быть	14	1
18	социологического анализа	2	1
19	и не	10	1
20	в его	2	1
21	подхода к	1	1
22	ситуации и	1	1
23	это направление	1	1
24	может и	1	1
25	связи с	1	1
26	права и	1	1
27	этого общения	2	1
28	не только	4	1
29	с точки	2	1
30	не менее	3	1
31	для него	3	1
32	и тому	1	1
33	если бы	9	1
34	к тому	1	1
35	в особенности	2	1
36	несмотря на	1	1
37	смысл и	2	1
38	и все	2	1
39	в то	2	1
40	речь и	1	1
41	художественного произведения	7	1
42	так называемая	1	1
43	судебного процесса	2	1
44	но и	3	1
45	вполне понятно	1	1
46	точки зрения	14	1
47	и на	4	1
48	на примере	2	1
49	же время	1	1
50	а не	5	1
