N	3gram	Tiupa_Hudo_1	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	1	3
4	в русской литературе	2	3
5	он не только	1	2
6	с точки зрения	3	2
7	как раз в	1	2
8	не может быть	3	2
9	в том что	7	2
10	в е годы	1	1
11	в этом смысле	3	1
12	в соответствии с	1	1
13	уже говорилось выше	1	1
14	а тем более	1	1
15	в романе достоевского	1	1
16	преступлении и наказании	1	1
17	а также в	1	1
18	точно так же	1	1
19	в преступлении и	1	1
20	по крайней мере	1	1
21	может быть и	2	1
22	и в то	1	1
23	одно и то	3	1
24	войне и мире	2	1
25	едва ли не	1	1
26	так же как	1	1
27	к вопросу о	1	1
28	на первый взгляд	1	1
29	и то же	3	1
30	в известном смысле	1	1
31	а с другой	2	1
32	на свое место	1	1
33	с другой стороны	5	1
34	как бы в	1	1
35	тем не менее	3	1
36	писал об этом	1	1
37	в войне и	2	1
38	заключается в том	1	1
39	в то время	1	1
40	в свою очередь	2	1
41	это и есть	1	1
42	о том что	1	1
43	и в самом	1	1
44	между тем это	1	1
45	то что они	1	1
