N	2gram	Berdyaev_M_2	ViktorSh
1	конце концов	1	2
2	и в	46	2
3	том что	4	2
4	в том	3	2
5	в конце	5	2
6	и только	1	1
7	ни к	1	1
8	в другом	1	1
9	хотя бы	7	1
10	и не	18	1
11	все время	2	1
12	и его	5	1
13	потому что	12	1
14	я не	5	1
15	более чем	2	1
16	хотел сказать	1	1
17	не хочу	1	1
18	и то	1	1
19	самом деле	1	1
20	жизни которое	1	1
21	все это	1	1
22	по поводу	1	1
23	стоит на	2	1
24	же все	1	1
25	в которых	1	1
26	в значительной	1	1
27	в самом	5	1
28	для них	1	1
29	они тогда	1	1
30	только в	3	1
31	то же	5	1
32	о пределах	1	1
33	так как	8	1
34	к чему	4	1
35	но это	8	1
36	в этом	20	1
37	да и	2	1
38	то я	1	1
39	к этому	1	1
40	значительной степени	1	1
41	не хотел	2	1
