N	3gram	Losev_Vesc_1	KulturaY
1	для того чтобы	2	15
2	в том что	4	15
3	и т д	19	14
4	с точки зрения	3	9
5	в том чтобы	1	8
6	в самом деле	4	7
7	только потому что	1	6
8	с другой стороны	2	6
9	о том что	4	5
10	в зависимости от	1	5
11	в этом отношении	1	5
12	по крайней мере	4	5
13	во всяком случае	2	5
14	до сих пор	1	4
15	не в том	1	4
16	хотя бы в	2	4
17	тем не менее	3	4
18	более или менее	1	3
19	о том как	1	3
20	можно было бы	1	3
21	вместе с тем	1	3
22	не потому что	4	3
23	в свою очередь	4	3
24	не может быть	6	3
25	и того же	1	2
26	того что в	1	2
27	и еще один	1	2
28	у нас все	1	2
29	на то что	2	2
30	так или иначе	4	2
31	и потому что	1	2
32	я позволю себе	1	2
33	т д и	5	2
34	того что они	1	2
35	т е в	7	2
36	а только в	1	2
37	в свое время	2	2
38	а в том	1	2
39	нужно было бы	1	2
40	д и т	5	2
41	заключается в том	1	2
42	этой точки зрения	1	2
43	и в самом	1	2
44	одного и того	1	2
45	в то же	1	2
46	к тому что	2	2
47	я мог бы	4	1
48	крайней мере в	1	1
49	что иное как	7	1
50	что я называю	1	1
51	имеющая ничего общего	1	1
52	себе по крайней	1	1
53	в данный момент	1	1
54	заключается не в	1	1
55	то это значит	2	1
56	в действительности и	1	1
57	т е она	1	1
58	это было бы	1	1
59	есть нечто абсолютно	1	1
60	и в особенности	1	1
61	т д словом	1	1
62	свидетельствует о том	3	1
63	того или другого	1	1
64	имеется в виду	1	1
65	что нужно для	2	1
66	с одной стороны	3	1
67	как раз и	1	1
68	она имеет смысл	1	1
69	как раз к	2	1
70	ли в этом	1	1
71	что она понимает	1	1
72	сами по себе	3	1
73	можно говорить о	2	1
74	вбирая в себя	1	1
75	вовсе не потому	1	1
76	в себе и	1	1
77	в подлинном смысле	1	1
78	в собственном смысле	2	1
79	всего то что	2	1
80	что все это	1	1
81	и ничего не	1	1
82	д все это	1	1
83	с этой точки	1	1
84	и не в	1	1
85	не то что	1	1
86	так что в	3	1
87	одно и то	4	1
88	вещи т е	4	1
89	в применении к	1	1
90	в первом случае	2	1
91	что мы имеем	1	1
92	не только в	4	1
93	не может уже	1	1
94	т д все	1	1
95	потому что мне	1	1
96	тех или иных	1	1
97	нужно для того	1	1
98	и то же	4	1
99	конечно нисколько не	1	1
100	уже из предыдущего	1	1
101	слова и не	1	1
102	том что я	1	1
103	что такое этот	1	1
104	это не значит	1	1
105	в том смысле	1	1
106	еще и потому	1	1
107	когда мы говорим	1	1
108	само по себе	1	1
109	так же как	1	1
110	вовсе еще не	1	1
111	потому что они	3	1
112	что она уже	3	1
113	самом деле в	1	1
114	содержат в себе	1	1
115	это потому что	1	1
116	не есть нечто	1	1
117	вовсе не есть	6	1
118	от того что	1	1
119	не имеющая ничего	1	1
120	том смысле что	1	1
121	уже не просто	2	1
122	что в ней	1	1
123	дело не с	2	1
124	не только потому	1	1
125	нуждается в том	1	1
126	с тем что	1	1
127	одно из самых	1	1
128	можно ли в	1	1
129	позволю себе сделать	1	1
130	общения и понимания	1	1
131	что это есть	3	1
132	если бы было	1	1
133	во втором случае	1	1
134	смысла т е	2	1
135	что оно не	1	1
136	и не потому	1	1
137	было бы сказать	2	1
138	только о том	1	1
139	не что иное	7	1
140	потому что она	1	1
141	т е не	2	1
142	различных типов и	1	1
143	внутренняя форма слова	1	1
144	по сравнению со	1	1
145	все то что	1	1
146	что и в	1	1
147	только тогда когда	2	1
148	но еще и	3	1
149	я и хочу	2	1
150	тот или иной	1	1
