N	3gram	Losev_Prob_3	VrazhdaK
1	и все же	1	5
2	в то же	4	4
3	в связи с	7	3
4	имел в виду	1	3
5	он не только	1	2
6	с точки зрения	2	2
7	не может быть	5	2
8	дневник лишнего человека	1	2
9	в том что	9	2
10	общего ни с	1	1
11	далеко не все	1	1
12	равно как и	1	1
13	в котором он	1	1
14	что это за	3	1
15	у тургенева и	1	1
16	на первый план	2	1
17	еще не знали	1	1
18	до сих пор	2	1
19	в той же	1	1
20	в третий раз	1	1
21	не было бы	3	1
22	что в нем	1	1
23	но это не	1	1
24	точно так же	3	1
25	только при помощи	2	1
26	ничего общего ни	1	1
27	и гораздо больше	1	1
28	как он сам	1	1
29	по крайней мере	5	1
30	и то что	7	1
31	может быть и	3	1
32	одно и то	3	1
33	войне и мире	1	1
34	о том как	2	1
35	так же как	1	1
36	тем что он	1	1
37	к вопросу о	1	1
38	на первый взгляд	2	1
39	в конце концов	3	1
40	и то же	4	1
41	но при этом	1	1
42	быть и речи	1	1
43	и в этом	6	1
44	что у человека	2	1
45	или по крайней	4	1
46	все же не	1	1
47	во всяком случае	6	1
48	с другой стороны	5	1
49	тем самым он	1	1
50	тем не менее	10	1
51	что они не	1	1
52	нет ничего общего	1	1
53	в войне и	1	1
54	заключается в том	3	1
55	в то время	4	1
56	это и есть	1	1
57	о том что	3	1
58	и никогда не	1	1
59	не только не	1	1
60	на этот раз	3	1
61	на то что	1	1
62	и во всем	1	1
63	имеется в виду	4	1
64	речь идет о	1	1
