N	3gram	Savitsky_E_1	Marksizm
1	с точки зрения	16	13
2	не может быть	2	10
3	то же время	14	8
4	в то же	15	8
5	в связи с	1	7
6	для того чтобы	5	6
7	в том что	6	6
8	может быть и	1	5
9	но в то	2	5
10	в свою очередь	2	5
11	в большинстве случаев	2	5
12	смысле этого слова	1	4
13	и того же	1	4
14	бы то ни	4	4
15	то ни было	4	4
16	в отношении к	12	4
17	той или иной	4	4
18	одного и того	1	4
19	в той или	3	3
20	в отличие от	1	3
21	и не в	1	3
22	с одной стороны	8	3
23	к тому что	1	3
24	как мы видели	2	3
25	одной стороны и	6	2
26	в противном случае	1	2
27	более или менее	1	2
28	того или иного	4	2
29	а не к	1	2
30	но и в	1	2
31	или иной степени	1	2
32	в значительной степени	1	2
33	во всяком случае	3	2
34	до настоящего времени	1	2
35	мы можем сказать	2	2
36	хотя бы в	2	2
37	на то что	2	2
38	и прежде всего	3	2
39	и до настоящего	1	2
40	к тому же	1	2
41	из всего этого	1	1
42	только в пределах	1	1
43	нельзя ни на	1	1
44	чуть ли не	1	1
45	может быть сведена	1	1
46	дело в том	1	1
47	не говоря уже	2	1
48	в том числе	1	1
49	кажется что в	1	1
50	в соответствии с	1	1
51	в их отношении	3	1
52	гораздо большей степени	1	1
53	в нем и	1	1
54	говоря уже о	1	1
55	мы принуждены ограничиться	1	1
56	даже вовсе не	1	1
57	в этом отношении	3	1
58	независимо от того	1	1
59	к тому или	1	1
60	и xix век	1	1
61	том числе и	1	1
62	в гораздо большей	1	1
63	xviii и xix	2	1
64	рано или поздно	2	1
65	в этом процессе	1	1
66	несмотря на то	1	1
67	последние в свою	1	1
68	принимая во внимание	1	1
69	между тем для	1	1
70	и не имеет	2	1
71	не только в	4	1
72	этом отношении в	1	1
73	по сравнению с	2	1
74	не могут быть	1	1
75	во всех этих	1	1
76	в последнее время	1	1
77	хотя бы с	1	1
78	не относится к	1	1
79	быть сведена к	1	1
80	само по себе	4	1
81	но в смысле	1	1
82	хотя бы такое	1	1
83	с другой стороны	2	1
84	о которых мы	1	1
85	в таком смысле	1	1
86	эти последние в	1	1
87	мы видели что	1	1
88	на то или	1	1
89	каких бы то	2	1
90	к которой принадлежит	1	1
91	последнее время в	1	1
92	так и в	2	1
93	то или иное	1	1
94	в себе не	1	1
95	с тем что	1	1
96	и в идеологическом	1	1
97	и тем более	1	1
98	не имеет значения	1	1
99	в пределах этого	1	1
100	можно сказать что	3	1
101	тому или иному	2	1
102	друг от друга	2	1
103	не сводится к	1	1
104	и потому с	1	1
105	друг с другом	3	1
106	но также и	1	1
107	но не только	2	1
108	всех этих случаях	1	1
109	их отношении к	3	1
110	можем сказать что	1	1
111	нам кажется что	2	1
