N	3gram	Potebnia_M_3	Tvorches
1	и т д	3	11
2	там же с	6	9
3	то же время	5	7
4	в то же	5	7
5	по отношению к	5	3
6	до сих пор	3	3
7	не может быть	3	3
8	в самом деле	1	2
9	в таком случае	2	2
10	по самой своей	1	2
11	по крайней мере	5	2
12	на наш взгляд	1	2
13	в том же	2	2
14	с другой стороны	4	2
15	так и в	2	2
16	не в силах	1	2
17	и т п	2	2
18	о том что	1	2
19	в целом и	1	2
20	в том что	16	2
21	то все же	1	1
22	в чем не	1	1
23	потому что в	1	1
24	и по способу	1	1
25	так мы не	1	1
26	может и не	1	1
27	сих пор еще	1	1
28	может быть назван	1	1
29	сами по себе	1	1
30	а может быть	1	1
31	бедность и ограниченность	1	1
32	со всех сторон	1	1
33	только потому что	2	1
34	в том смысле	3	1
35	и что в	1	1
36	только то что	1	1
37	по мере своего	1	1
38	в первый раз	1	1
39	оставим в стороне	1	1
40	не зависит от	1	1
41	в чем же	1	1
42	не могут быть	2	1
43	в свою очередь	3	1
44	то по крайней	1	1
45	к тому же	1	1
46	нам вместе с	1	1
47	хотя во многом	1	1
48	потому что они	1	1
49	приходит в голову	1	1
50	по себе не	1	1
51	в то время	4	1
52	том что этот	1	1
53	мы не можем	2	1
54	том смысле что	1	1
55	приходит к сознанию	1	1
56	должна указывать на	1	1
57	ничего общего с	1	1
58	и если бы	1	1
59	именно потому что	1	1
60	и в том	2	1
61	как и в	2	1
