N	4gram	Bakhtin_fo_1	Formalny
1	в то же время	6	7
2	и в то же	4	2
3	дело в том что	2	1
4	мы имеем в виду	1	1
5	от отца к сыну	1	1
6	одних и тех же	2	1
7	мы не касаемся здесь	1	1
8	вовсе не являются только	1	1
9	одного и того же	5	1
10	в том числе и	2	1
11	более того если мы	1	1
12	и в других областях	1	1
13	мы еще вернемся в	1	1
14	по отношению к быту	2	1
15	и в том же	1	1
16	между ними не может	1	1
17	все более и более	1	1
18	в отличие от всех	1	1
19	в жизни и в	1	1
20	с нашей точки зрения	3	1
21	вместе с тем и	1	1
22	говорит о том что	1	1
23	в данных исторических условиях	1	1
