N	2gram	Tiupa_Disk_1	Literetu
1	а не	22	20
2	и в	16	19
3	может быть	17	17
4	своего рода	8	13
5	то же	7	12
6	и не	11	11
7	как и	16	10
8	в том	23	10
9	и т.п	12	10
10	но и	14	10
11	тогда как	19	9
12	в этом	15	9
13	состоит в	9	9
14	в то	3	9
15	в мире	1	9
16	же время	4	9
17	не может	9	9
18	такого рода	4	9
19	не только	28	8
20	и даже	3	8
21	с другой	10	8
22	слова и	1	7
23	том что	19	7
24	так и	8	7
25	и т.д	4	7
26	с одной	9	7
27	я в	1	7
28	то что	5	7
29	и на	5	6
30	в себе	7	6
31	при этом	13	6
32	однако в	3	6
33	не менее	2	6
34	себя в	2	6
35	одной стороны	9	6
36	в году	2	5
37	я не	1	5
38	столь же	3	5
39	но не	11	5
40	конечном счете	1	5
41	художественного мышления	1	5
42	в принципе	2	5
43	он не	1	5
44	коммуникативная стратегия	3	5
45	в конечном	1	5
46	в качестве	34	5
47	для всех	1	5
48	то есть	20	5
49	того что	3	5
50	вместе с	1	5
51	мы не	1	4
52	того же	3	4
53	хх веке	1	4
54	по отношению	9	4
55	отнюдь не	8	4
56	в рамках	5	4
57	едва ли	2	4
58	человека в	2	4
59	для него	4	4
60	точки зрения	3	4
61	не в	7	4
62	в русской	1	4
63	в области	1	4
64	ли не	3	4
65	еще в	3	4
66	в его	7	4
67	один из	3	4
68	и других	1	4
69	не случайно	1	4
70	каждый из	1	4
71	тем что	3	4
72	в хх	1	4
73	прежде всего	11	4
74	в частности	9	4
75	и.п смирнов	3	4
76	жизни в	2	4
77	другой стороны	3	4
78	что в	4	4
79	причастности к	1	4
80	речь идет	1	3
81	одним из	2	3
82	и то	1	3
83	идет о	1	3
84	тем же	1	3
85	в сущности	2	3
86	и он	2	3
87	я на	1	3
88	во всех	5	3
89	как правило	4	3
90	в противовес	1	3
91	как к	2	3
92	эстетической деятельности	3	3
93	поскольку в	2	3
94	право на	1	3
95	в этой	2	3
96	то и	1	3
97	в нем	9	3
98	обращаясь к	1	3
99	литературного процесса	1	3
100	в их	5	3
101	том чтобы	2	3
102	с точки	1	3
103	тем самым	1	3
104	вплоть до	1	3
105	не столько	1	3
106	никогда не	2	3
107	х годов	2	3
108	сознания в	2	3
109	и его	2	3
110	личности в	1	3
111	данном случае	2	3
112	в себя	5	3
113	не с	3	3
114	коммуникативное событие	5	3
115	в другом	2	3
116	всего лишь	1	3
117	а в	5	3
118	себе и	1	3
119	этом отношении	1	3
120	следует признать	2	3
121	и др	2	3
122	со стороны	7	3
123	эстетического субъекта	2	3
124	в равной	2	3
125	в данном	5	3
126	а именно	1	3
127	но это	1	3
128	в культуре	2	3
129	в начале	2	3
130	и как	6	3
131	что он	4	3
132	отношению к	9	3
133	е годы	2	2
134	в ситуации	3	2
135	и до	1	2
136	и за	1	2
137	являет собой	3	2
138	той же	1	2
139	это прежде	3	2
140	в первый	1	2
141	из своих	1	2
142	на себя	2	2
143	с ее	2	2
144	из того	1	2
145	в каждой	3	2
146	слово не	2	2
147	но как	2	2
148	если в	1	2
149	очевидно что	1	2
150	в е	2	2
151	в истории	4	2
152	все же	3	2
153	как уже	3	2
154	и к	4	2
155	но в	8	2
156	в противоположность	2	2
157	со своей	1	2
158	в целом	4	2
159	жизнь как	1	2
160	представляет собой	17	2
161	в нашем	1	2
162	и сам	1	2
163	свое время	1	2
164	подобно тому	2	2
165	на этом	2	2
166	одно и	1	2
167	в каждом	2	2
168	художественного письма	7	2
169	в жизни	1	2
170	но уже	1	2
171	в них	4	2
172	соответствии с	2	2
173	с этой	1	2
174	с тем	1	2
175	по формуле	1	2
176	как бы	5	2
177	художественного творчества	1	2
178	и без	2	2
179	не к	1	2
180	мысли и	2	2
181	по преимуществу	1	2
182	что было	1	2
183	тем не	1	2
184	по крайней	2	2
185	из ключевых	1	2
186	то с	2	2
187	не по	1	2
188	в основе	7	2
189	но только	1	2
190	не вполне	1	2
191	перед ним	1	2
192	уже о	2	2
193	могут быть	4	2
194	восходит к	1	2
195	все еще	1	2
196	для себя	4	2
197	принципе не	1	2
198	в виду	2	2
199	говоря уже	2	2
200	не могу	1	2
201	в ее	3	2
202	это как	1	2
203	коммуникативного события	14	2
204	еще не	14	2
205	о том	8	2
206	картина мира	3	2
207	и что	2	2
208	общественного сознания	1	2
209	а также	8	2
210	а потому	1	2
211	крайней мере	2	2
212	не более	2	2
213	впрочем не	1	2
214	было бы	1	2
215	и одновременно	2	2
216	одной из	4	2
217	в какой	2	2
218	друг друга	1	2
219	потому что	4	2
220	уже не	4	2
221	уже в	2	2
222	с другим	1	2
223	свидетельствует о	2	2
224	как писал	1	2
225	из них	3	2
226	равной степени	1	2
227	в одном	2	2
228	в конце	1	2
229	что и	3	2
230	граница между	1	2
231	при всей	3	2
232	как раз	1	2
233	субъекта жизни	1	2
234	наконец в	1	2
235	себя и	1	2
236	что не	4	2
237	не было	7	2
238	мы сами	1	2
239	до конца	1	2
240	было сказано	1	2
241	в россии	1	2
242	мира в	3	2
243	как это	1	2
244	в дискурсе	2	2
245	тому как	3	2
246	под названием	1	2
247	этом случае	1	2
248	и нет	1	2
249	при всем	1	2
250	не является	4	2
251	в результате	1	2
252	а к	1	2
253	хотя бы	3	2
254	не говоря	2	2
255	не знает	1	2
256	в свое	1	2
257	героя в	2	2
258	себе не	3	2
259	в роли	1	2
260	в своих	3	2
261	том числе	2	2
262	отношения к	2	1
263	сын и	1	1
264	это и	1	1
265	от своей	1	1
266	в первом	3	1
267	в строгом	3	1
268	культурного феномена	1	1
269	смерть в	1	1
270	начале х	2	1
271	из трех	1	1
272	обойтись без	1	1
273	текста как	1	1
274	мы имеем	2	1
275	и само	1	1
276	как мы	2	1
277	таком взгляде	1	1
278	в становлении	1	1
279	по справедливому	2	1
280	именно своей	1	1
281	и поэтика	1	1
282	но исключительно	1	1
283	равной мере	1	1
284	ему в	2	1
285	иосифа бродского	1	1
286	первого и	2	1
287	источником смысла	1	1
288	к общему	1	1
289	меньшей степени	1	1
290	культурной традиции	1	1
291	не от	2	1
292	он сам	1	1
293	взгляде на	1	1
294	в чем	1	1
295	истории в	1	1
296	сказать и	2	1
297	самом деле	1	1
298	целом ряде	1	1
299	герой не	1	1
300	в новом	2	1
301	художественной словесности	3	1
302	он пишет	1	1
303	отличие от	5	1
304	за пределы	2	1
305	посредством слова	1	1
306	именовал веком	1	1
307	писателя в	2	1
308	более чем	2	1
309	вследствие чего	1	1
310	как в	10	1
311	о.м фрейденберг	4	1
312	стороны и	2	1
313	есть оказывается	1	1
314	о жизни	1	1
315	есть в	2	1
316	власти от	1	1
317	когда он	2	1
318	это тоже	1	1
319	я к	1	1
320	и художественного	1	1
321	к числу	1	1
322	в действительности	3	1
323	не наиболее	1	1
324	от этого	1	1
325	в самом	3	1
326	героя и	2	1
327	что это	1	1
328	личности по	1	1
329	и пространства	1	1
330	в известном	1	1
331	рассказ о	1	1
332	и те	1	1
333	на то	1	1
334	в случае	1	1
335	не следует	2	1
336	и последовательно	1	1
337	всех этих	1	1
338	уплотнение мира	1	1
339	творческой памяти	1	1
340	к собственному	1	1
341	на земле	1	1
342	что ни	1	1
343	и по	2	1
344	или иных	1	1
345	дискурса не	1	1
346	таким образом	3	1
347	это позиция	1	1
348	быть описан	1	1
349	различие между	2	1
350	со всеми	1	1
351	жизни для	1	1
352	а по	2	1
353	необходимой для	1	1
354	мере двух	1	1
355	по выражению	2	1
356	сознания к	1	1
357	на протяжении	2	1
358	с другими	1	1
359	искусства в	1	1
360	это не	3	1
361	объективной действительности	1	1
362	по мысли	3	1
363	например с	1	1
364	в исторических	1	1
365	который по	1	1
366	более широкого	1	1
367	рассуждал о	1	1
368	в повестях	1	1
369	далеко не	10	1
370	в слове	1	1
371	мы видели	1	1
372	и читателем	1	1
373	художественного дискурса	5	1
374	это порой	1	1
375	ведет к	3	1
376	желал бы	1	1
377	и было	2	1
378	иначе говоря	2	1
379	момент зарождения	1	1
380	как замечает	1	1
381	эстетического отношения	1	1
382	в этих	1	1
383	в своей	5	1
384	с позиции	1	1
385	свое высказывание	1	1
386	что до	1	1
387	себе а	1	1
388	в отличие	5	1
389	от его	1	1
390	для дискурса	1	1
391	обнаруживается в	1	1
392	для многих	1	1
393	общая для	1	1
394	не привносит	1	1
395	как от	1	1
396	в историческом	2	1
397	и вся	1	1
398	веком героев	1	1
399	но они	2	1
400	стихотворение в	1	1
401	можно указать	1	1
402	т.п такого	1	1
403	не имеет	1	1
404	и притом	1	1
405	в дневнике	1	1
406	писал бахтин	4	1
407	и дискурса	1	1
408	адресата но	1	1
409	не могло	2	1
410	в отношениях	1	1
411	имеем дело	2	1
412	этих двух	1	1
413	по своей	11	1
414	во всем	1	1
415	и теперь	1	1
416	связи с	4	1
417	самоопределение личности	1	1
418	мы и	1	1
419	что на	1	1
420	того это	1	1
421	однако это	2	1
422	своего адресата	1	1
423	взаимодействия с	1	1
424	не могут	1	1
425	и вполне	1	1
426	же самое	2	1
427	приобщения к	1	1
428	числе и	2	1
429	с адресатом	1	1
430	и второго	2	1
431	к тому	5	1
432	ценностного центра	1	1
433	говоря словами	1	1
434	в последующие	1	1
435	предстает как	1	1
436	гегель именовал	1	1
437	и о	4	1
438	более не	1	1
439	но по	1	1
440	свою очередь	3	1
441	на нем	1	1
442	здесь не	1	1
443	говорит и	2	1
444	что делает	2	1
445	по сути	4	1
446	мысль о	1	1
447	в особенности	4	1
448	только то	1	1
449	в пределах	2	1
450	приводит к	2	1
451	на том	2	1
452	же касается	2	1
453	произведение искусства	1	1
454	не за	1	1
455	на преодоление	1	1
456	пристальное внимание	1	1
457	с позиций	2	1
458	мог бы	1	1
459	во второй	1	1
460	основана на	1	1
461	поэтому в	1	1
462	в словах	1	1
463	субъект речи	1	1
464	в определенной	1	1
465	составляет неотъемлемую	1	1
466	в таком	1	1
467	в построении	2	1
468	общения в	2	1
469	быть ни	1	1
470	сводится к	5	1
471	вниманием к	1	1
472	сути своей	2	1
473	на взгляд	1	1
474	при котором	1	1
475	все прочие	1	1
476	словесного творчества	1	1
477	одного из	2	1
478	на что	1	1
479	можно сказать	5	1
480	основе своей	2	1
481	самому себе	2	1
482	течения в	1	1
483	времени в	2	1
484	в эстетической	1	1
485	должно было	1	1
486	нет у	1	1
487	состоит не	1	1
488	во втором	4	1
489	литературной эволюции	1	1
490	читателя и	1	1
491	иного рода	1	1
492	отличалась от	1	1
493	чем и	1	1
494	поскольку как	1	1
495	еще только	1	1
496	понимаемой как	1	1
497	лица в	1	1
498	и мы	1	1
499	в литературе	2	1
500	с.с аверинцева	3	1
501	высказывание от	1	1
502	он стал	1	1
503	но зато	2	1
504	дело с	2	1
505	усматривая в	1	1
506	которое мы	1	1
507	принципиально иная	1	1
508	всем многообразии	1	1
509	на самого	2	1
510	согласно характеристике	1	1
511	нередко и	2	1
512	вопроса о	1	1
513	только на	1	1
514	а напротив	1	1
515	ту самую	1	1
516	творчества в	1	1
517	не все	1	1
518	вообще может	1	1
519	слова не	1	1
520	личности и	1	1
521	а нередко	1	1
522	в прозе	1	1
523	слова в	2	1
524	даже к	1	1
525	в цепи	1	1
526	человеческого присутствия	2	1
527	хх столетия	1	1
528	к той	3	1
529	нет и	1	1
530	быть названа	1	1
531	никого не	2	1
532	в исторической	1	1
533	в.т и	1	1
534	или иной	5	1
535	как неизбежной	1	1
536	что человек	1	1
537	этом как	1	1
538	именно в	3	1
539	оказывается и	1	1
540	к которому	2	1
541	и прежде	1	1
542	текст в	1	1
543	еще и	1	1
544	а с	5	1
545	таков путь	1	1
546	говорит о	1	1
547	к более	1	1
548	в соответствии	2	1
549	только по	1	1
550	стремится к	1	1
551	воспринимающего сознания	2	1
552	более того	2	1
553	однако и	2	1
554	где по	1	1
555	в ряду	2	1
556	не всегда	2	1
557	которой он	1	1
558	не об	1	1
559	такой ее	1	1
560	художественного целого	1	1
561	имея в	3	1
562	в творчестве	1	1
563	второго лица	1	1
564	по праву	1	1
565	из канонических	2	1
566	усомниться в	1	1
567	и потому	3	1
568	уклонение от	1	1
569	требует от	1	1
570	самое можно	1	1
571	сего времени	2	1
572	он говорит	1	1
573	является функцией	1	1
574	пушкина как	1	1
575	является своего	1	1
576	наряду с	1	1
577	с некоторыми	2	1
578	явилось одним	1	1
579	с миром	1	1
580	одновременно с	2	1
581	стихотворений и	1	1
582	что же	2	1
583	кто из	1	1
584	в тексте	2	1
585	дискурса в	2	1
586	в своем	6	1
587	всем что	1	1
588	в контексте	1	1
589	утверждение о	1	1
590	и от	1	1
591	в основном	1	1
592	до сего	2	1
593	автора и	1	1
594	удачной формулировке	1	1
595	в смысле	1	1
596	пока еще	6	1
597	о мире	1	1
598	не мог	1	1
599	эстетическим объектом	1	1
600	всего в	1	1
601	тех или	1	1
602	годов в	1	1
603	за его	2	1
604	искусством с	1	1
605	в конкретных	1	1
606	этом же	1	1
607	при таком	1	1
608	и другим	1	1
609	войти в	1	1
610	на самом	1	1
611	это он	1	1
612	которая в	1	1
613	но одновременно	2	1
614	об одном	1	1
615	особого рода	2	1
616	и все	2	1
617	др на	1	1
618	той или	3	1
619	ни к	6	1
620	данный исторический	1	1
621	самого субъекта	1	1
622	исключительно в	1	1
623	по рассуждению	4	1
624	в ходе	3	1
625	отношении к	1	1
626	в системе	1	1
627	не предполагает	4	1
628	нами не	1	1
629	дискурса а	2	1
630	такова что	1	1
631	доселе возможности	1	1
632	и представляет	2	1
633	исторической поэтики	1	1
634	к чистой	1	1
635	в свою	3	1
636	к его	2	1
637	переход от	1	1
638	о литературе	2	1
639	культуры в	1	1
640	и.п смирнова	3	1
641	и адресата	2	1
642	и рецептивного	1	1
643	и состоит	1	1
644	частности в	2	1
645	также не	1	1
646	являя собой	1	1
647	все того	1	1
648	бахтин писал	1	1
649	который не	1	1
650	дискурс не	3	1
651	к этому	2	1
652	они не	2	1
