N	3gram	Voloshinov_1	Komedia
1	к тому же	1	10
2	в том что	4	5
3	о том что	1	4
4	по отношению к	11	3
5	то же время	1	3
6	в то время	1	3
7	в то же	1	3
8	в этом смысле	1	2
9	в частности в	1	2
10	до сих пор	3	2
11	бы то ни	3	2
12	то время как	1	2
13	то ни было	3	2
14	с одной стороны	2	2
15	во всяком случае	1	2
16	берет на себя	1	2
17	можно было бы	1	2
18	в так называемой	1	1
19	нуждается в предварительном	1	1
20	как например в	1	1
21	мы имеем дело	1	1
22	в самом деле	1	1
23	вовсе не отражает	1	1
24	в том же	1	1
25	с точки зрения	2	1
26	имеет в виду	3	1
27	сих пор не	1	1
28	у нее не	1	1
29	с самого начала	1	1
30	но и в	1	1
31	и та же	1	1
32	в каком направлении	1	1
33	имеем дело с	1	1
34	на второй план	1	1
35	так как будто	1	1
36	одна и та	1	1
37	с другой стороны	2	1
38	не может быть	7	1
39	более или менее	1	1
40	но уже в	1	1
41	в свою очередь	1	1
42	не обходится без	1	1
43	мы можем сказать	2	1
44	но все же	1	1
45	он имеет в	1	1
46	тем не менее	3	1
47	и на события	1	1
48	может быть более	1	1
