N	3gram	Tiupa_Teor_1	Problemy
1	то же время	5	12
2	в то же	5	12
3	с самим собою	1	7
4	в отношении к	1	7
5	не может быть	4	6
6	по отношению к	4	5
7	и в то	1	5
8	в этом смысле	2	4
9	с точки зрения	3	4
10	бы то ни	1	4
11	то ни было	1	4
12	а между тем	1	3
13	он ни был	1	3
14	по крайней мере	1	3
15	но в то	1	3
16	с другой стороны	5	3
17	в слове о	2	2
18	чего бы то	1	2
19	человека с человеком	1	2
20	в той или	1	2
21	подобно тому как	1	2
22	сама по себе	1	2
23	в отличие от	6	2
24	все без исключения	1	2
25	по ту сторону	1	2
26	о том что	1	2
27	никогда не бывает	1	2
28	и в слове	1	2
29	той или иной	1	2
30	о мире и	1	2
31	по своему смыслу	1	2
32	тем не менее	3	2
33	в большинстве случаев	1	2
34	именно потому что	1	2
35	внутренней речи как	1	1
36	так и не	4	1
37	с ними и	1	1
38	всех без исключения	3	1
39	бы ни был	1	1
40	однако в отличие	1	1
41	он мог бы	1	1
42	и для других	1	1
43	не было и	1	1
44	что он должен	1	1
45	заключает в себе	1	1
46	с которыми он	1	1
47	но вы как	1	1
48	говорит что он	1	1
49	со всех сторон	1	1
50	к тому что	2	1
51	ибо и в	1	1
52	в значительной степени	1	1
53	кто бы они	1	1
54	в данном случае	5	1
55	отношении к нему	1	1
56	не в самом	2	1
57	и то же	1	1
58	то что они	1	1
59	и пусть пусть	1	1
60	может быть и	2	1
61	одно и то	1	1
62	как впрочем и	1	1
63	вмещает в себя	1	1
64	перед тем как	1	1
65	как и в	2	1
66	в свою очередь	2	1
67	и того же	3	1
68	не только не	2	1
69	можно сказать что	2	1
70	самим собою в	1	1
71	бы они ни	1	1
72	они ни были	1	1
73	одного и того	3	1
74	жизнь в которой	1	1
75	как бы в	1	1
76	речи может быть	1	1
77	а в то	1	1
78	для того чтобы	1	1
79	в том что	8	1
80	этом смысле можно	1	1
81	помимо его воли	1	1
