N	3gram	Tiupa_Hudo_1	Istorich
1	так же как	1	12
2	в этих случаях	1	7
3	точно так же	1	5
4	с другой стороны	5	4
5	не может быть	3	4
6	что иное как	1	3
7	в этом случае	1	3
8	в одном случае	1	3
9	не что иное	1	3
10	о том что	1	2
11	мы имеем в	3	2
12	то же самое	1	2
13	в таких случаях	1	2
14	содержит в себе	1	2
15	в связи с	1	2
16	тем не менее	3	2
17	а в его	1	1
18	подобно тому как	1	1
19	в том числе	2	1
20	что он не	1	1
21	мы видим в	1	1
22	том отношении что	1	1
23	в основе своей	1	1
24	и др в	1	1
25	при всей своей	1	1
26	может быть и	2	1
27	не могло быть	2	1
28	тогда как в	1	1
29	об этом так	1	1
30	в иных случаях	1	1
31	таким образом и	1	1
32	и в форме	2	1
33	и то же	3	1
34	в виду не	3	1
35	по большей части	2	1
36	не могут быть	1	1
37	одно и то	3	1
38	а в другом	1	1
39	ни к каким	1	1
40	в чем состоит	1	1
41	есть не что	1	1
42	не говорит что	1	1
43	в то время	1	1
44	это и есть	1	1
45	но он не	2	1
46	и тем самым	1	1
47	в том отношении	1	1
48	можно сказать что	3	1
49	к тому что	2	1
50	то что они	1	1
51	как и в	1	1
